"P","V","D","start","end"
4680,7350,2,423,424
3470,6770,2,1609,1610
44600,58600,3,1715,1717
4080,4080,1,3368,3368
15900,33490,6,3402,3407
3310,9690,4,3439,3442
11300,27040,5,3575,3579
4410,20940,10,3706,3715
15000,37410,6,3775,3780
4380,6520,2,3821,3822
5620,11150,3,3915,3917
8620,13870,3,4195,4197
23900,32620,3,4295,4297
7140,16670,5,4611,4615
7550,16090,4,4686,4689
5720,19770,9,4796,4804
6180,17830,6,6111,6116
10300,28220,7,6346,6352
3830,5270,2,6366,6367
3480,3480,1,6385,6385
8250,10960,2,6801,6802
11100,47680,13,7323,7335
9560,12200,2,7957,7958
29700,52190,6,8625,8630
5250,5250,1,8667,8667
6050,15590,6,8693,8698
5400,33510,12,8894,8905
19700,46550,10,9328,9337
8670,31120,10,9419,9428
8930,11900,3,9618,9620
8490,18500,4,9738,9741
6680,8180,2,9802,9803
5900,39950,16,9895,9910
10500,51120,18,10002,10019
7600,10120,3,10336,10338
29900,69970,17,10698,10714
5000,9130,4,10724,10727
76500,143410,9,11172,11180
3650,8660,4,11209,11212
6380,45960,22,11403,11424
5200,49220,22,11475,11496
3570,8220,3,11940,11942
3940,6570,2,11978,11979
4970,10100,4,12167,12170
17400,80560,20,12218,12237
15400,23220,5,12341,12345
5700,12780,3,12552,12554
17000,24170,4,13515,13518
3980,5300,2,13653,13654
17400,23030,3,13671,13673
27600,31900,3,13808,13810
4990,7670,2,14129,14130
4620,4620,1,14150,14150
7090,18370,5,14165,14169
6530,58860,28,14229,14256
23700,212210,32,14394,14425
32000,58460,12,14443,14454
17000,21170,3,14804,14806
10900,24680,5,15463,15467
56000,179240,28,16059,16086
24400,159480,51,16081,16131
16700,160820,51,16110,16160
4720,137240,51,16134,16184
15700,90230,31,16209,16239
3290,3290,1,16730,16730
5590,13200,4,16936,16939
3970,8480,3,17317,17319
13600,18980,3,17834,17836
8020,9990,2,17950,17951
8550,26850,9,17992,18000
4370,17710,8,18055,18062
69400,175960,22,18070,18091
11000,26770,8,18338,18345
4130,5570,2,18499,18500
15600,22710,3,18553,18555
12400,16160,2,19291,19292
3510,3510,1,19603,19603
17000,41270,7,19678,19684
60000,328880,31,19905,19935
17300,39820,13,20551,20563
13300,26860,7,20615,20621
4930,48090,20,20629,20648
9940,17930,5,20751,20755
23000,90280,27,20773,20799
9200,12330,3,21621,21623
9250,31210,9,21635,21643
16200,44250,12,21695,21706
15400,80830,23,21751,21773
40600,107750,27,21778,21804
5280,114320,32,21778,21809
6810,11740,4,22752,22755
3420,5440,2,22897,22898
39200,118780,26,24606,24631
9690,11760,2,24775,24776
11400,103230,30,24976,25005
