Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,37.35478340893782,41.229003476359686,45.370903280413565,34.011803335007826,37.63945044855841,41.318166178514815
6,2,26.743042711465048,30.069643949100097,33.583797159237164,23.39366022908108,25.453753005037782,27.5146597057388
9,2,21.871257749898728,24.322543960427687,27.191817916310317,19.713234698652972,21.164108869416733,22.740822853397543
12,2,18.401477848805108,20.372219060106858,22.52895052158054,17.18125323700363,18.59606699752519,20.07588201208497
18,2,14.406132046172662,15.86946774112514,17.410157944767548,13.320588866320445,14.420912153410388,15.705851360425548
24,2,12.188858494785393,13.5729916001956,15.208632470809064,10.967711425284424,12.264495451753199,13.59947806588228
48,2,7.512219720380786,8.37634939145248,9.267300487604277,7.262626271577626,8.005244831231606,8.856696889248163
72,2,5.424661574032152,6.089479683059361,6.839045647824696,5.539728421236243,6.225075355348199,6.914618318454691
96,2,4.415101399985408,4.958955087921797,5.578141391420495,4.260399034729211,4.783771024625395,5.458093983255763
120,2,3.8401971410348033,4.2891774944837255,4.825359378136979,3.6737776865348124,4.154999056744983,4.671173183776666
144,2,3.3596675051308225,3.7251262872134863,4.198055598556901,3.3429179969606486,3.6858826421456805,4.086751118429126
168,2,3.0320599364307546,3.3259018817702803,3.7344934727175425,2.957317693962745,3.2572788567093998,3.5739035302929576
3,5,48.05639046195304,52.784003439684355,57.77055613759768,45.09833974193376,49.754521523296376,54.35521635354293
6,5,35.13051630014567,39.41986127210744,44.01389693306787,30.303679438984126,32.97542798143523,35.84981079308247
9,5,28.509417226866745,31.735609461420182,35.48921759493408,25.117376788668395,27.075665614379922,29.08738337643348
12,5,23.588803249689416,26.608440220972085,29.610033492853738,22.171638383667755,24.013492485077908,26.058719536153525
18,5,18.438791269306094,20.734708836893684,23.031395420658765,17.440930473829056,18.91301438434507,20.710843224694344
24,5,15.977630956703308,17.685936835423412,19.68948023602713,15.049417226736502,16.82209986262017,18.698093582795494
48,5,9.730066324511679,10.960390071666971,12.249974592761461,9.388605835273628,10.367474734208388,11.471756098532389
72,5,7.1086614630435685,8.21792639238563,9.40415412073122,7.379204187006602,8.353235434499327,9.38427408463286
96,5,5.881928518528988,6.826105956779815,7.8736610167669845,5.9217792374519185,6.880194774835347,7.920854031174716
120,5,5.0300276943603555,5.875680989970706,6.863128087703588,5.070810181286419,5.959538315368342,7.071502669695642
144,5,4.362432244494646,5.113143631407173,5.9846634263012435,4.33240216796376,4.960280316302803,5.765486147207316
168,5,3.877134221164682,4.576647110093805,5.35261682351307,3.8524429078444835,4.398650879716001,5.102697838938996
3,10,53.47611548609642,59.074221940667385,64.95136659336694,50.83187019270383,56.60599456636564,62.88092115779479
6,10,39.67131114524393,45.093815520976904,50.64140537144461,33.81465540763317,37.41841308568608,41.454392787650846
9,10,32.21942115050287,36.28327816693724,40.84428456071924,27.952789409293054,30.531218309250484,33.44733479498193
12,10,26.697841713697784,30.57060960540411,34.533944602187866,24.84134592021239,27.465267851655987,30.44267470280898
18,10,20.667979183121,23.89018855343424,27.148472159975757,19.486086564667616,21.707798577266374,24.011816245795558
24,10,18.03143907363904,20.194402830639792,22.46142525892757,17.464984801901416,19.704935910796287,22.262666616819757
48,10,11.05510105929378,12.617120339552184,14.478204108899746,10.551398192449621,11.85737584533951,13.435809234214407
72,10,8.105397476428296,9.788186927419568,11.64319272273415,8.450839902588411,9.73765195305295,10.887271226587456
96,10,6.857117344505596,8.256491562451949,9.87611197083393,7.026932003213444,8.470515120236094,10.082382595820196
120,10,5.761563832446407,7.182886372774376,8.856881069063096,6.140110838909628,7.584832220043923,9.52100960371796
144,10,5.134165715648891,6.35899447721336,7.826011427438466,5.047924132843232,6.0528211861000925,7.391642877681427
168,10,4.53804021015312,5.727910224004793,7.18372077317116,4.524811090468459,5.425943189675644,6.750572192700723
3,25,57.45572616899916,65.74757347518934,73.62142669669407,56.39241149939516,64.19641946493948,74.12158703308077
6,25,44.55249712421488,51.723383875688015,59.54774032243131,36.95086151248418,42.54091926656966,49.1697288999578
9,25,35.65453896793231,41.6488346574458,48.57714940156511,30.195324337292874,34.47237057655198,39.256851727828014
12,25,30.044280610269837,35.39453300605844,41.958638279739006,27.193129051344393,31.724476190189655,36.8273943590641
18,25,22.83034768318703,27.803790013575487,32.90269607011146,21.564458910998262,25.07771881595093,28.896370377652158
24,25,19.851726972674005,23.138595961920466,26.945355687940186,19.881214132386194,23.237144538904953,27.340637703147543
48,25,12.37519654356947,14.650690696130528,17.840158900431042,11.627148075433801,13.679473218212637,16.155825519113215
72,25,9.276952513399955,11.976742529250894,14.91712913562995,9.64328536072349,11.475556765124004,13.269660905999821
96,25,7.918152628731574,10.31992054867331,13.549390506413935,8.220690579539518,10.776346529603888,13.712608948497458
120,25,6.728643411288829,9.199128689095534,12.817003179671495,7.517131500780211,10.348554315848785,14.384321396376412
144,25,6.130921410410741,8.439176909456304,11.287928795839957,5.970848967647062,7.8268458820776745,10.545085679374022
168,25,5.349149222645751,7.695795930126981,11.012892065822417,5.276691421969468,7.175225883092891,10.079745350590294
3,50,59.545487315997846,69.91918637166582,79.78917662199979,58.831281226837206,69.18658711642703,82.61383597213585
6,50,47.16871810622134,56.28015101781662,66.83430376753395,39.00235707389968,46.04670798132414,55.488903942638444
9,50,37.553046341209765,45.37208440909315,55.49819389892009,31.712217708309293,37.1375867715358,43.4793001138392
12,50,31.779144717121465,38.846229248534705,47.47571691240431,28.509419877470638,34.838805324669856,42.13873920915913
18,50,24.03931520121771,30.65512902150555,38.100512084595266,22.70565398760519,27.48423754890045,32.67101121123122
24,50,20.965444814508796,25.17121003665096,30.286485654129173,21.25830738838384,25.801734006842736,31.733310754773612
48,50,12.883880229425035,16.11739743329688,20.697224591460028,12.244837536959896,15.000951087335515,18.453295567443234
72,50,10.081529239218192,13.762128810569283,18.25905231877828,10.292429156176432,12.766458268559479,15.291039719767998
96,50,8.612362250944887,12.059948582014922,17.440461232407117,8.94469370541406,12.751694586514049,17.479846082239252
120,50,7.47593224344927,11.011989190061941,16.899940555121724,8.455161080343558,13.107329198790637,20.09505687677329
144,50,6.839106661288726,10.45625140708804,15.571439706112482,6.69619625067469,9.521980473634212,13.998293514988685
168,50,5.94304126805017,9.646911959190465,15.416297719942792,5.894774002167109,8.927201519412941,13.87063366095451
3,100,60.979336163299905,73.50211370126185,86.26815029321926,60.76324730399111,73.68660850049518,90.9914591557301
6,100,49.02181191334999,60.520075021309836,75.33365417943031,40.378207260377714,49.320204835064814,63.035444607309046
9,100,39.113187692475506,48.864462118825735,62.56944702652274,32.915024872527674,39.598305867157784,48.033231996180234
12,100,33.122328914460695,42.16908676959352,53.80698651338618,29.52082413495266,37.91346689712334,48.06184015218684
18,100,25.2189557801127,33.44235924460342,43.58845271474944,23.618646360501206,29.811172340166983,36.82529916906131
24,100,21.909073628297122,27.069564387969095,34.16286572307909,22.358013826936492,28.31854309812304,36.36666344226168
48,100,13.456236788264025,17.53889913112588,23.9279086598116,12.789433133950258,16.29747362753355,21.052277979980843
72,100,10.669820630102441,15.683472324235433,22.24812942052377,10.86328509590841,14.057102567992409,17.600918441954512
96,100,9.190280177598265,13.986184250870448,22.806440611908435,9.596186429946954,14.987279158155545,22.12860673740783
120,100,8.142367984040245,13.13201905405569,23.112617187969732,9.460800504346523,16.670058854553446,28.173755276410276
144,100,7.582686004678012,12.97305237551522,21.563271375358713,7.384695563009925,11.631099438634267,18.760966585173392
168,100,6.570216098911011,12.128461577262302,21.628777298910716,6.416299561285462,11.200676995502057,19.278747510750193
