Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,23.646205255685782,26.309146466428306,29.049982416503134,21.56710180019517,23.650974938377207,25.923054732910465
6,2,18.31748681035164,20.27751182538986,22.226682908186007,16.501889601978522,18.294213207330166,20.099503751360423
9,2,14.893025592654613,16.50240622100203,18.19519660801081,13.803941627670959,15.076841594610505,16.551985206938788
12,2,12.680651934197055,14.03474751848455,15.538112221090717,11.5497432992363,12.896337079863608,14.252565309066682
18,2,9.413667643769239,10.50632875533265,11.615945812788171,8.341195177318298,9.16013118822069,10.135795291763236
24,2,7.717043761618177,8.604168740364889,9.598045188788326,6.223872311823692,7.066877021781648,7.867078227564127
48,2,4.417921564799245,4.916313237351069,5.54114218938151,3.7891306845003063,4.176556982297207,4.6266043895453635
72,2,3.284901126768726,3.636388408801113,4.025161004163372,2.825727053267497,3.0578916041663105,3.302803556993948
96,2,2.683932475797068,2.967002547827505,3.307820981104703,2.083979383198977,2.2778400173302127,2.495952341161276
120,2,2.312207017511944,2.5889860547222785,2.890688641425564,2.04038707018908,2.218411619166904,2.398385545889358
144,2,2.0691971586184086,2.2777092578697653,2.5558602105531523,1.8860956700735074,2.030790739010979,2.20007024836668
168,2,1.8968910867732198,2.09096488615388,2.3215478517202888,1.7486780950062617,1.8546448215977165,1.9876273538332008
3,5,30.37511476675112,34.22896340369212,37.7111429845892,28.18057349970187,31.733937946823005,35.90693006846379
6,5,23.33472615185771,25.97504374612097,28.67570978536135,21.65714717244053,24.466938234141296,27.09426566275456
9,5,18.91577447849512,21.00510153873866,23.073981613752995,17.68606923762141,19.506046866190587,21.695623464917674
12,5,16.1312741815212,17.941375147420608,19.776425810309846,15.158490717208053,17.207291416712224,19.09637833672315
18,5,12.056577519532809,13.659121747234739,15.263535822040494,10.770982217073692,12.079196231973956,13.411950602605103
24,5,10.037362426024977,11.36889103089077,12.701602475082595,8.755238107227676,9.970820198381356,11.269665720366653
48,5,5.7536018018901816,6.613414623575954,7.654784682884467,4.962903823416168,5.664972468532295,6.424305158845298
72,5,4.255868544516473,4.847565156853618,5.479473850861499,3.7293941232215486,4.180491788323956,4.693097803318354
96,5,3.4986301166712677,3.9731918096091254,4.535695764610443,2.8656008472291665,3.1964491789359677,3.6404584592754023
120,5,3.0108048040276105,3.45514483833446,3.9389931945415055,2.595369977281314,2.855061866395713,3.1406106579499182
144,5,2.6850214143041384,3.0284152109692863,3.374877742322345,2.3621911794107753,2.611918035946319,2.9006335424917626
168,5,2.4202468210217267,2.7404421173607405,3.1176252566428992,2.1930053568110406,2.3874391548814837,2.600041116896416
3,10,34.21329526914812,39.20349443071767,43.68238355541146,32.7763712977866,37.78138545287141,43.88675720251867
6,10,26.169226549382444,29.285972058750453,32.734810090911225,24.950982958390675,28.955656021445876,33.6405663843604
9,10,21.110230909494813,23.58670411098783,26.010996754410314,19.821897403106544,22.346333092376128,25.17980024687585
12,10,17.98685983835626,20.177865637923617,22.322026603784288,17.47164724492925,19.9606864850494,22.66518697793935
18,10,13.68788311938643,15.61823218524701,17.728048397966656,12.391886357123703,14.079075545812954,16.087839980122357
24,10,11.432196544459032,13.141598302755785,14.875279204309017,10.130070760203662,11.897239107991,13.759610693736033
48,10,6.590497663927605,7.8581599500757955,9.251094495944027,5.704823778433756,6.8614240167312435,8.127031662783576
72,10,4.927295117373989,5.743251753911455,6.6460235677205635,4.370263306773471,5.18971644031711,6.083775604572086
96,10,3.9814621049281325,4.696465283873378,5.458427667796552,3.384169172785909,3.9260061539153166,4.617900772377835
120,10,3.5055708357341597,4.073533216258396,4.746341314722318,2.908209046497872,3.3055279917515312,3.693466345931603
144,10,3.091129617362145,3.586434575061425,4.151699630783863,2.677697245591298,3.0592433615173356,3.5376559852997085
168,10,2.7638036099565326,3.217693103122377,3.784437019176996,2.484416155014168,2.824825858162992,3.2194686817845835
3,25,38.5337951371517,45.19803240775891,52.460599009720355,38.45576431549031,46.40330652577756,57.274671004075714
6,25,28.780629771730723,33.00804057490617,38.06295582259425,28.47036037781136,35.21670594624434,43.182428949439064
9,25,23.12012642963798,26.454352784328997,30.24441078065393,21.99195090346247,25.87067656675521,29.858887582025165
12,25,19.710752346647848,22.65885286972204,25.44806972011748,19.681803024399358,23.362286337237762,27.44963496614204
18,25,15.433408477981896,17.956388500088043,21.099192854025993,14.094471962884967,16.712360667999807,20.10933943245545
24,25,12.848442798192018,15.317674635581692,18.02517511960714,11.541093657097964,14.359478403623797,17.48740019067475
48,25,7.64407545129295,9.583817313254215,12.122534437350978,6.591667483136723,8.695381975728539,11.3158011000952
72,25,5.595069323922889,6.994345854238075,8.792462019610824,5.098503458890932,6.9054756628278735,8.955480946938202
96,25,4.540874472177213,5.6809561759942895,7.036189767167603,3.97025362161963,5.027335098554094,6.38318385583608
120,25,3.9528481695342803,4.910061534352317,6.065636423241093,3.291525841632946,3.9159858226734556,4.627642191856079
144,25,3.4835436074587713,4.369536513229876,5.472071974800205,3.0492880978214125,3.7154450628337816,4.69791643391584
168,25,3.1220319103648877,3.880457614206105,4.917805521376758,2.8470829278107965,3.5056323097952036,4.349661571315116
3,50,40.79842714095506,49.444538071960906,59.7157487849922,42.047995295330004,53.64943857519311,70.34168685423793
6,50,29.978475950401823,35.47133544243631,42.197194438057764,30.53992029826732,40.384453627318166,52.76735701504563
9,50,24.029821172170426,28.329993222774746,32.845833869952564,23.147552510759123,28.461846506257608,34.272682066398914
12,50,20.626407722266613,24.27946372979917,28.207757404457645,20.779296431772863,25.851004006244874,31.503820368487553
18,50,16.33336864461417,19.59719752236409,23.609745703245558,15.087182380456621,18.76285477993261,23.74929667690543
24,50,13.622885868021061,16.887268035130035,20.83316485290976,12.246896160905777,16.221189452121433,20.66784044731557
48,50,8.339839700404958,10.984371431482487,15.066406288848153,7.232072820248067,10.356606223139574,14.743146994880707
