Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,25.66815607935756,28.96234143660935,32.54332264216368,28.56427814491947,32.003411039932026,35.90985107664464
6,2,19.17909871677692,21.79385459803379,24.726695918739043,21.770907857352924,24.44703276751612,27.78441654447564
9,2,15.252628820964357,17.183906608485053,19.497357335967727,16.542270280008754,18.30686889440368,20.462996006588448
12,2,12.670353129601114,14.507969864425913,16.402507107335197,13.832467301741737,15.631295549505658,17.839338693330163
18,2,9.425016639859894,10.873591960339777,12.63917765356031,10.906914366198887,12.181434208547103,13.756734619979941
24,2,7.7561298795303735,8.862249609514407,10.347921095378389,8.271803601139705,9.365283727156346,10.570486996077841
48,2,4.475783154883726,5.17096166332452,6.062105957590234,4.784562967534208,5.472265744463327,6.35851318499339
72,2,3.276839278488871,3.7322389142390224,4.348249843289206,3.756086471191561,4.334859135262141,5.017794443228085
96,2,2.559863214651322,2.9543996140193327,3.4565753984370122,2.8636109287032996,3.464538060132715,4.173630263379373
120,2,2.217518831720818,2.5479316217701666,2.9152860275483308,2.3515133541923547,2.7684630524193587,3.27101050912854
144,2,1.9306809023355878,2.2527031898329413,2.605742393277398,2.064380677716011,2.467754869386831,2.9533371517083333
168,2,1.769023141618916,2.0322404879339535,2.366464368294788,1.6869906494515567,1.9683033766882148,2.3036186441799504
3,5,34.36063459341601,39.951228769017646,45.7977413055514,39.80246043319045,45.53943788518808,51.01173260090643
6,5,26.457724607704108,30.514953155982553,35.35993956292488,30.36977966818982,35.1630118227185,41.305659010061845
9,5,20.796414844522246,24.356907643807396,28.409369020832955,22.671174241850622,26.332995414163953,30.404306982237642
12,5,17.533590841965864,20.731114653102168,23.865537305874906,19.220396744119093,22.614522743092778,26.686074312591316
18,5,13.23050011747237,16.01978423986834,19.07843312441981,15.258600806599972,17.7303561541229,20.704225433373335
24,5,11.149356406281196,13.368333466770967,16.19452558002494,11.855919314653402,13.935816225655628,16.747474713767676
48,5,6.530100645530718,7.8390629278548545,9.377524676077089,6.9515613984172715,8.385732372968672,10.116699870881103
72,5,4.599014017558007,5.581272012415601,6.697341289087907,5.834433123427141,6.987466465713037,8.404117384160655
96,5,3.5803292110311027,4.444516163642857,5.316528400521717,4.799606005562049,6.1283191840050435,7.744905033000871
120,5,3.1651766811371287,3.7928995625106126,4.54045782025088,3.9883928440648346,4.902486286545558,6.217831632600381
144,5,2.7626952942841645,3.36348381384141,4.009471743405996,3.412711148349861,4.279392918226557,5.296374165732531
168,5,2.4945468617320854,3.0039872840816235,3.5876349893259656,2.8232992692832495,3.4034539063088474,4.084316615115034
3,10,39.95325379953678,47.874549362375916,56.82200767079486,47.798153919324626,55.86434647547729,63.73413779361856
6,10,31.152332361329854,37.02433835183071,44.66741702133217,36.154186762436126,44.04501343040599,53.32347420429721
9,10,24.615284930470345,29.995349785425194,36.404766390805285,27.471171633253924,33.47642648572363,40.01992428326082
12,10,20.86110512919796,25.69994435979286,30.541668812362996,23.394808409480213,28.551616142221434,34.55717687324609
18,10,15.80647546794232,20.390168289960787,25.457239740410557,18.14866881045059,22.507693175929237,28.24977060540951
24,10,13.368560929796196,17.340702989211028,22.376834965603607,14.244436915212265,18.059423809436446,23.169841033262834
48,10,7.913479477096994,10.169928408294844,12.989874100111866,8.498923122400146,11.13097986047172,14.050822052803564
72,10,5.577877637422263,7.209672231690999,9.109755642784993,7.447116923072615,9.463091884180589,11.925779817097629
96,10,4.272463252887861,5.778441244628677,7.358640923070659,6.513551574683259,8.915116565613854,11.986459114269469
120,10,3.8223957212671213,4.871411298061983,5.957380871296341,5.5041473281782025,7.1515604119025795,9.264468714490507
144,10,3.2867013622126025,4.309311137965121,5.437021753163785,4.581014545876838,6.078720825167849,7.7842072526606945
168,10,3.0430737031644295,3.8120509039530086,4.8017415831365895,3.73584547013291,4.821001873281325,5.9989348660319814
3,25,46.90683645898078,58.68955117555932,74.1571639571779,57.048346842069606,70.82110969784287,84.83144477181199
6,25,36.23318182497201,46.193764512991734,60.82907768247672,43.284932064370615,58.014664792487196,75.74314920490791
9,25,28.962061443692704,38.323474800413486,49.767895128693326,32.838055357284254,45.44993825608435,58.35030091246692
12,25,24.837998723275284,33.145132243853986,43.41918659983701,28.65288651355879,38.08649923106742,49.89300579187534
18,25,19.372295044569363,27.32201431371457,39.42620387366804,22.289528222441106,30.306649731405777,43.190828768770515
24,25,16.426880747076815,23.86319202463544,33.359338991505815,17.485075214581478,25.112348418810953,35.65121260411805
48,25,9.65105534330462,13.965061220949558,20.034297089318045,10.663871627889314,16.020240999955842,23.360729886169345
72,25,6.787706037967141,9.88096711856786,13.945653751375403,9.534153033801777,13.80457671989262,19.332647987692372
96,25,5.378605183531696,8.000151552119647,11.53632064672848,8.87575638570313,14.376774889499096,21.649230630455307
120,25,4.710980842534107,6.613821974032398,8.966485636809718,7.533105996899829,11.573449228115638,15.836582717336558
144,25,4.0338053088153085,5.813163997833866,8.203389409547448,6.069031247216138,9.42475451946387,13.121532140406082
168,25,3.660904218116849,5.069024278588195,7.094134499792631,4.981754277890689,7.44463560399052,9.88385360847311
3,50,51.15881509689057,67.33629222246083,91.56636401729484,63.69057415418422,83.5652375964542,103.81517587602494
6,50,39.34476814876383,53.75103958688697,77.51786103830241,48.47394010220826,70.9522991597162,99.31558014433224
9,50,31.463561937411875,45.507337959894784,63.83078624629722,38.15736975400389,57.20827330416379,78.26830659570939
12,50,27.489297912579808,39.65635093828953,56.67554140986779,32.40891105399509,47.076882361459425,65.84700268390036
18,50,22.043268737516257,33.72304009521826,56.02060036815935,25.294460792409488,37.80558405613003,58.45760186939037
24,50,18.286163431886052,30.088008778127993,47.07245717966977,19.802063089193936,32.21846129940394,52.06697666908315
48,50,10.76582496256275,17.558130504709908,28.67298482617285,12.495406172483225,21.136987646343403,35.47134447941633
72,50,7.70622364609175,12.42810183723397,19.88985273304482,11.399470739901409,18.258982474178286,28.00438801527209
96,50,6.173857475924626,10.149383420846497,16.20577673805701,10.88888303500784,20.611725180063022,33.42700146009041
120,50,5.346649220019564,8.251275128853955,12.301639713267193,9.065412052649876,16.62165032223041,23.998780987888146
