Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,19.874519947099387,22.383620217407376,25.520138627284062,20.179244698989052,23.31003290413831,27.153569367406625
6,2,15.663298966053024,17.471480170587864,19.618035759160367,15.362969150927372,17.314288925196816,19.7436544457808
9,2,12.630180917050096,14.232127972441905,15.8771771156227,12.246364632077654,13.675299504817033,15.180793344158943
12,2,10.60183553266511,11.79647387193699,13.272907329794997,9.93453627005432,11.103004412929739,12.316182181509657
18,2,8.030481803568916,8.886633318457001,9.837325733126042,7.699145048180716,8.555196684443509,9.592833976950498
24,2,6.5679907053852045,7.278059971808741,8.182806394472012,6.335022854197849,6.983058544745871,7.735470701411668
48,2,3.70506710797415,4.172086834966854,4.737098902944698,3.5954505810754833,4.039191461650597,4.534503380287527
72,2,2.782240609776605,3.068503092739447,3.4599338266999724,2.6219095472756413,2.988939964082075,3.4035733765857463
96,2,2.2743930811482316,2.5230435461157907,2.808676503332544,2.263399766328953,2.5415238450612647,2.8934571102654996
120,2,1.9356467089592932,2.1500328556633788,2.4250058820678477,1.9055234701921038,2.118098427084563,2.3601387710446375
144,2,1.7230148233181777,1.9227364986940478,2.17211165768988,1.6653628470953237,1.9229598596303938,2.216628966177708
168,2,1.5864484865691482,1.7667166375399617,1.978678315485033,1.4631046484079115,1.714957948610564,2.0119635517699384
3,5,27.102472436953143,32.068572552251965,37.84312464755717,29.185467660893103,36.105333190124675,44.318280254193354
6,5,20.60338392644337,23.599150084812116,26.756444151370047,21.645218675075157,24.43865910512165,28.21378956909372
9,5,16.705486628416555,18.94688939407148,21.166337040204823,17.512190750947205,19.475326940487108,21.579264591921675
12,5,13.913167675306724,15.8205776153223,17.89497905949684,14.096846144081145,15.8064526959901,17.745361145000718
18,5,10.406250475357576,12.052524156787484,13.935916167449118,10.601476628605333,12.177430561631105,14.114368715172393
24,5,8.611237100406989,9.8828042360905,11.342387412662884,8.894492851295734,10.116790598335543,11.45705246449658
48,5,4.944210347688168,5.750686191413305,6.6237776359739335,5.018616954899409,5.772494601564415,6.659692188817262
72,5,3.641073418512131,4.2130529060456485,4.810206460627235,3.7140927350574398,4.462461700659384,5.276667856865685
96,5,2.9752621221943554,3.4560357073756647,3.9459252118788974,3.1754660376060118,3.660376337532692,4.30342316961923
120,5,2.539596760814958,2.919993019277945,3.348478994172636,2.6278113721642753,3.0147517551847516,3.4885682192428566
