Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,15.529054838928474,17.378924321827544,20.091667583185853,14.816325331520012,16.524756005298865,18.556021648621837
6,2,12.147161376361932,13.643217237346096,15.408600279905329,11.600756748766877,13.637349147084816,16.06351101881504
9,2,10.250145693898471,11.514294284570148,13.101368591289908,10.412987345463492,11.828754978570686,13.541542412149727
12,2,8.867452680761257,9.859779219526343,11.054428285225907,8.884683461880915,10.257028490559783,11.731695556237309
18,2,6.960086758847924,7.786579551423005,8.733860223700034,7.475636424702444,8.445302371806216,9.430406454612399
24,2,5.875753788450968,6.559075159222408,7.382102869850167,6.607136459782565,7.369110976605885,8.212796452012684
48,2,3.7088383073152027,4.176639183082101,4.626814453437699,3.9709818023075263,4.484213506929886,4.9874329587569015
72,2,2.8020502386271797,3.0949078421252594,3.457649041721268,3.107133072911112,3.442937500503853,3.808388363850411
96,2,2.2585637431825933,2.515510746106446,2.7882397158304633,2.477180296705667,2.7286207882551365,3.0116113054606473
120,2,1.9557530266471397,2.171105222746025,2.4226068190930437,2.1047113869702283,2.326676159673112,2.5660094258052006
144,2,1.7396471197435246,1.930040689022278,2.1435687597156456,1.852731409770529,2.0443701893419726,2.243001340576612
168,2,1.5952163074105359,1.7683865383325266,1.9393844056039518,1.6890052332708771,1.869768546276708,2.0501652869940163
3,5,21.322412953703953,25.376351365294646,30.73302329567931,20.887348950982144,24.712695337694264,29.49286120094549
6,5,16.458928885934725,19.725665027121153,23.25761172987957,17.643590854268602,21.890165158652263,27.464721550322636
9,5,13.729576033836494,16.23927538005649,19.15255135830505,15.172354368151435,17.996051706658168,21.23575121293226
12,5,11.77589974891687,13.59101877815122,15.581514714417558,13.056886261877079,15.414845868081478,18.394068871656767
18,5,9.186310798696379,10.559691861505918,12.077261214718211,10.316774084144168,11.85347789477616,13.637065160595846
24,5,7.6843596524960915,8.870472653527365,9.96602741887809,9.090439909652176,10.33106659907571,11.688774498915018
48,5,4.856876666416827,5.512670242950106,6.190899929642529,5.39471672032579,6.123827756796354,6.836199735051748
72,5,3.6203677883029464,4.05702026721524,4.552599893069594,4.18303761708602,4.7594892183516535,5.408012274963971
96,5,2.9397082646657444,3.300343041502696,3.7053752650243856,3.2253852349192305,3.5970863969174873,4.0202155064276575
120,5,2.5362613373468164,2.832931914852018,3.1875731724987304,2.7277644294396595,3.081792469535734,3.431730645133058
144,5,2.227254281809566,2.5059204894363987,2.792964061141968,2.3855417763534557,2.665786267516109,2.9594785740315688
168,5,2.0265318919594684,2.2638477110286868,2.5002986030175602,2.214851773212695,2.461779557370881,2.703384067757672
3,10,25.658429615547632,33.0822047177211,42.8943905368338,24.503881094910028,33.089097588258916,42.86925859680515
6,10,19.602127541784796,25.30526575313676,31.843420130402933,21.970818580331297,29.908714241138057,41.00312171755217
9,10,16.229247008424277,20.13777879920155,25.062946182651366,18.308036380890034,23.717986240723548,29.291955517957906
12,10,13.772261910788963,16.500533745069106,19.716257354409137,15.842026183260288,19.812078977269458,24.648097348108713
18,10,10.551803264131276,12.543810355583695,14.904875431494053,12.219716064509509,14.489040062121672,17.19985542757061
24,10,8.921359686311913,10.426137876285573,12.000560328108513,10.69422083546954,12.676455112535269,14.725853375257486
48,10,5.498836693374782,6.366292156146745,7.24717665570129,6.243569900888293,7.2267938888411365,8.167515545663013
72,10,4.130966189959962,4.683760161368703,5.317251481503567,4.918394418243272,5.800286380944739,6.67043960026345
96,10,3.3018615833197424,3.8297030136086443,4.403133667071201,3.612290910932823,4.2203749351838376,4.84735640311545
120,10,2.896756849207686,3.269306992376069,3.7345778155086125,3.143000569690207,3.628389096625049,4.184416130786606
144,10,2.5208057150747263,2.8802391800154203,3.2544029679510045,2.6718892614680936,3.0851550286564757,3.5264000688987336
168,10,2.260245345482691,2.5755275376816975,2.884712077163342,2.5106517653611187,2.8765312779900407,3.244622909324537
3,25,31.550316794240928,46.82981144754868,68.74302558712853,29.377912571267565,49.394444366422505,76.6830847001421
6,25,23.769497446877153,34.81233549572842,50.89563503044981,28.31022232685539,44.66787380262291,71.55588619599195
9,25,19.14326361446048,26.158460981848155,35.25950930113002,22.408871141300125,33.751304457274074,46.72105844459848
12,25,15.902397238688074,20.766388972224476,27.228029375601146,19.285616696352847,26.90360546961056,36.825683572129975
18,25,12.261807824356001,15.233101864228692,19.385833971153897,14.216809000017543,18.372442661356203,23.67255601432341
24,25,10.016263224831999,12.42104802100003,15.131965684761393,12.455948814863998,16.201925773363595,20.16871540261822
