Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,12.281085472514079,13.741439589425566,15.521044294939527,12.158521795242105,13.98299033331338,16.02297219471643
6,2,8.905098323324061,10.004586644956962,11.261203554813402,8.484187161785675,9.655258691532632,11.001273463323239
9,2,7.228508940766933,8.183004807626677,9.378459785470959,7.179482004357427,8.491220123553868,10.041029092290156
12,2,6.083353301991372,6.944088820846389,7.9325520773875,6.163633046962035,7.176310021268728,8.369921000945011
18,2,4.614712156492501,5.32717006096119,6.155666999641532,4.78174520075221,5.4713142766342395,6.204041419264156
24,2,3.7354784682948186,4.290214592812936,4.948274387514994,3.809686616804936,4.45435535270989,5.225312516276643
48,2,2.2343836737239533,2.546251844877495,2.951019898378127,2.160017056839421,2.4991195317407446,2.89543423973935
72,2,1.6234689495597285,1.8584881340915373,2.0978275816961007,1.4995224264180003,1.7399970211339322,2.008944755091256
96,2,1.3262331110827341,1.4965307705189566,1.7098773638330358,1.3001215961186363,1.4918242376949367,1.7303655295344091
120,2,1.1223022917545713,1.2868424578409874,1.4885629792515498,1.1103864457417558,1.2695068702981682,1.4328233497079506
144,2,1.0091075542234482,1.136959750357732,1.295513714589765,0.9599331490199268,1.1079643880011951,1.2604790177419696
168,2,0.8982812309243543,1.0154659805126838,1.1549966855005593,0.8421448924778165,0.9730111079969874,1.1092045202899898
3,5,16.438800623829724,18.79745435437383,21.63956722501932,17.575335637875213,20.63761783294387,24.218467319610603
6,5,11.951291407569702,14.098079968903939,16.651755334963024,12.7450715016992,15.7639230538135,19.285528690700694
9,5,9.772960329518106,11.738063164267496,13.59459526187667,11.086538721446061,13.915075379248755,17.187413613896524
12,5,8.432051896939086,10.013523003881275,11.682232321844424,9.211277458086386,11.057602424117492,13.207469464692302
18,5,6.431904825642711,7.644550043107493,8.928805515623528,6.891830488361242,8.129331669598159,9.48166143237172
24,5,5.20548210931727,6.184367771138236,7.321848422843905,5.743542925508608,6.79157644025161,8.150798128441657
48,5,3.069852695127568,3.652727315440049,4.271763743395694,3.0569693415403476,3.612366451681389,4.25355893369641
72,5,2.268362344352265,2.6500541281654932,3.0409375690027067,2.169926680412945,2.5571491108266415,3.013784862849442
96,5,1.8261151552539157,2.1077717783854153,2.4321115430007314,1.8893571921442232,2.204910786991879,2.5727334512752558
120,5,1.5465083752595827,1.8072503367732757,2.150901050474193,1.584895119209651,1.8243104967986452,2.100108263840606
144,5,1.3889150714895833,1.610131495790954,1.872098994373237,1.3891195093397788,1.640379235865347,1.9054761977288226
168,5,1.225240502576483,1.4372562328229754,1.6428482396588424,1.1703196500100914,1.3716022485538462,1.5949296022324977
3,10,18.90655285313551,22.464544263924537,26.376472238859016,21.188943361364572,26.327232153304948,32.11490872031919
6,10,14.153147611099763,17.51093804598638,21.89285551189029,16.181132132549845,22.084399852958214,29.13267802235122
9,10,11.557475878223759,14.671666657107355,17.929579607499452,13.809455623098472,19.36337923771079,25.91809936065227
12,10,10.034784225419603,12.480979817290159,15.195029334561006,11.373073915534006,14.398133839509784,18.056567754995424
18,10,7.533555313055838,9.406520036595696,11.326982704358105,8.157734600650999,10.140652274857725,12.34776287771001
