Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,24.300410545075046,27.252124592479866,30.66997795957149,23.863451723047906,26.746244205533575,30.300759574460173
6,2,18.712183878593123,21.029032445558958,23.867026644725126,18.95575921730017,22.2015138566575,26.205663423088666
9,2,15.748041570922755,17.37950947048863,19.368638139482997,15.907049799463493,17.898749396360955,20.410328968041565
12,2,13.582943500748204,14.967356753119542,16.755409007834015,14.070415179248648,15.640878030031363,17.67838718889893
18,2,10.894771981331239,12.15655685277589,13.403544103981634,11.377725611553084,12.691623021793255,13.968075918971383
24,2,9.121469018164632,10.16910284412237,11.197401113427649,9.5600447003703,10.60723673549783,11.768467773304465
48,2,5.396458726362686,6.048014231286413,6.696680483668642,5.397223224415683,6.115820076731039,6.943417812967297
72,2,4.052469476601983,4.505211337404438,4.955030343627305,4.500410128413605,4.988514081384106,5.44678048845424
96,2,3.276934296371893,3.6537454821813564,4.102611423853005,3.575262662688983,4.006762840073318,4.435541415396646
120,2,2.7427113119470343,3.054833198742357,3.3954966358830028,2.877247039619627,3.260826042043788,3.618516761521481
144,2,2.394045362487077,2.6848514029883006,2.996768156547951,2.4428676824535955,2.725874821596717,3.0903777267166026
168,2,2.1363362090489773,2.4073163013387986,2.722030408356934,2.3088621051995384,2.5821293970019386,2.8812612146128362
3,5,31.977609619006845,37.73111388792406,44.60545928517507,32.77291286738932,37.909734034865394,45.07148868739826
6,5,25.224355984819496,29.02111929030397,33.839812467153294,28.71893968451953,34.79208146125837,42.36002533807746
9,5,20.38371274105561,23.4413981387572,27.083754607781067,21.410699230830232,24.780097086282893,28.81500151207032
12,5,17.474158133307256,19.939414288243576,22.653153504823162,18.902638763118677,21.31336011193068,23.85783202946673
18,5,14.153579736505662,15.825854692530585,17.330928586503834,15.160099481682689,16.69336168773411,18.323665104841496
24,5,11.751478762002755,13.05883085601527,14.271003847391608,12.593556365579875,13.911355781221275,15.266068307198701
48,5,7.071261350166938,7.735503338861458,8.395166542123066,7.3389005839763595,8.301690138192148,9.182299142367539
72,5,5.171033315101239,5.789735987214397,6.37638412740197,6.030688108781703,6.693012706834905,7.31650853761059
96,5,4.322330983327124,4.873464602384017,5.506661348181693,4.7325928923554255,5.355655170690211,5.966700295306833
120,5,3.6509319861116847,4.115247970468702,4.628440075642787,3.8848566620097245,4.429452381663315,4.9210543366033805
144,5,3.1848472879088714,3.6025490137122143,4.061400505059085,3.259708408474217,3.688127714652711,4.17049542653636
168,5,2.851737071009534,3.2670503499931023,3.71009621932802,3.156735975385177,3.550928639961096,4.010172656896687
3,10,37.59373808833308,46.562883782934485,58.57667691329293,38.797467219853836,47.41860286469549,58.9767478865316
6,10,29.290628247234615,35.515006290309245,42.80424679412127,35.80955937413191,46.17118742287278,58.6838872152296
9,10,23.430051911714855,28.064034342951203,33.49998023471823,25.298141144158677,30.05169951358635,35.70442834052316
12,10,19.77045954887067,23.48223376816551,27.4989134995691,21.845120087951308,25.296842658157345,28.83233705304088
18,10,15.892920077857013,18.039390575590314,19.962016950010486,17.075939062458083,19.03518941337308,21.070604715542814
24,10,13.138323286273955,14.702184500629862,16.171248770420565,14.351748452170023,15.826050950212679,17.566896065680247
48,10,7.854474562069065,8.643717720283565,9.419942413167085,8.440307073503948,9.581671442917305,10.573075258395821
72,10,5.773345889855026,6.523581709150752,7.253646760889183,6.933480131908411,7.749248876759761,8.582404059802434
96,10,4.955965665395716,5.640067685823275,6.4572152939030545,5.418863546679532,6.210022729814264,6.995397446553913
120,10,4.152678228172608,4.839406739183051,5.595493622881106,4.498926680669582,5.229408841578731,5.915961506747064
144,10,3.655918444716328,4.216570955142906,4.850910456615619,3.744933160207064,4.312733395784397,4.942008754417923
168,10,3.2631501664076636,3.861457476300411,4.527621066851937,3.6790231484270874,4.227966597200458,4.847851417068219
3,25,44.12466324721471,60.472655530789865,86.29759092794697,45.843096937188946,62.803453219700856,88.94418881630139
6,25,34.211649658928906,45.403265569041295,58.79299085296281,45.28415839693402,65.54145374626374,92.55021611684826
9,25,26.942054069194427,34.70457082912029,45.06117353668592,29.003002967570957,37.7533402183681,48.792997972152456
12,25,22.288081882415746,28.26627809882222,35.73357727662305,25.109001907726373,30.67035549482403,36.85185539516751
18,25,17.74133154498997,20.61214567438281,23.74590399750565,18.88235086401008,21.71134939295691,24.614217387110273
24,25,14.384301803926286,16.51444678662432,18.713271108636917,15.927338025667346,17.993013938870977,20.603504959125345
48,25,8.577031834842469,9.597601116397236,10.671262443147281,9.531260134600956,11.042511196049018,12.430581249978513
72,25,6.32899171099865,7.336150916341964,8.293086306754686,7.776745519858503,9.0176019391122,10.281468027200098
96,25,5.579984070875129,6.5643818817724915,7.80020378710894,6.083642175174896,7.259213153141896,8.455044392326297
120,25,4.726920538633827,5.780321388536354,7.02993916851095,5.202658242014438,6.280257032315006,7.386616223026869
144,25,4.089435572295811,4.99978804495123,6.028847729771121,4.236904112753009,5.095253516900199,5.995260189555935
168,25,3.6541085078718103,4.642461952796819,5.821563426971256,4.270423769269471,5.134732582366695,6.279922953479872
3,50,48.13349509540953,73.23131967092793,121.04151663044229,51.5366462234458,77.48634002349638,123.62094037128395
6,50,37.725797472069104,54.185442664860744,75.89715392314855,51.89825480860418,84.86138104749993,130.7228474226293
9,50,29.164539853229996,40.281784974964296,56.667653812781715,31.307015150531555,44.395774448909755,61.528119069253066
12,50,23.872899455075775,32.051622984843654,43.84901372997116,26.92050901063304,34.95945351984182,44.27367157033714
18,50,18.847282761984616,22.37140606980301,26.908330937127175,19.889641014026367,23.52624470491376,27.705731506066037
24,50,15.036522616504353,17.691374612660105,20.742674545788375,16.75866457196482,19.447528530386784,22.9580712753247
48,50,8.899701408483224,10.18798970602237,11.599069393005013,10.075020520055176,12.030432210649767,13.97121998064678
72,50,6.6255915318532335,7.865968000895743,9.183875152316329,8.279704192471883,9.919278962172974,11.596841871574526
96,50,5.8718484953856365,7.21952364768716,8.975974456481502,6.443661830723679,8.023066183025609,9.69772118473291
120,50,5.0424580206815195,6.497554590641032,8.5175737210344,5.638484064583002,7.095610154074974,8.768446708942708
144,50,4.362311505129881,5.586208039834312,7.059519552997891,4.516981376483657,5.6752743399559105,6.9403854739024045
168,50,3.898847819708525,5.244284828441904,6.958116802221504,4.629034898731723,5.851911027520755,7.446700203934211
3,100,51.038228721815585,88.40909245691121,167.06880343726044,56.08274750624339,95.7727761691053,175.72982459173193
6,100,41.18453608552208,64.34809910156574,97.51004784142043,58.22027281371881,109.75535670969904,181.5013092786196
9,100,31.32580455506944,46.43460230712865,70.29488710598491,33.98507186837535,51.956645638898365,79.00413216333284
12,100,25.28874004921268,36.02059261223337,54.224728584073546,28.46630328967509,39.52636880220764,53.379289966749894
18,100,19.56390429822893,24.00121864223219,30.316703558658013,20.665402560644207,25.207301883024314,30.768967641772015
24,100,15.494287626884383,18.735235948742343,22.997455122831184,17.25089074149333,20.782213231255266,25.38686245816823
48,100,9.132468244820316,10.690840112704482,12.612251906255604,10.530543993698915,12.942146990091763,15.716494772421939
72,100,6.886088685661221,8.337470126462769,10.066906327380119,8.68074738974865,10.787427401432609,13.115972514618417
96,100,6.120266315898222,7.845168427858395,10.273725871008647,6.612723837493746,8.774576393309884,11.087719228477107
120,100,5.289104387914125,7.226095341762582,10.317296612660115,6.005895137752304,7.941284869409184,10.28407191432326
144,100,4.587831792409685,6.172873976007359,8.452667296992368,4.762908463682471,6.254009910344786,8.01910394036872
168,100,4.09953203522649,5.8612510562967115,8.321385712581257,4.9382344631205495,6.608235276414452,8.86631031080903
