Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,26.409853344026295,30.837837964331342,35.68867107541206,26.28225871026493,29.026422694269442,31.957890174435335
6,2,19.38212068661454,22.785374634906795,26.036235946617303,18.575757989788933,20.820169001372953,23.24250390628903
9,2,16.28205708031628,18.400866398458497,21.124050150408923,14.650765996856052,16.402615957524592,18.12575293427229
12,2,13.57820575856763,15.503837214388344,17.597931669819587,12.638920266573031,14.043252105326179,15.825367861886319
18,2,10.429250257802536,11.915926063783942,13.572466842770549,9.278242868505606,10.510151211761217,11.743552342339534
24,2,8.553743819787755,9.743043633412025,10.970049857253487,8.228799055007979,9.082411344918905,10.133258201867239
48,2,4.989262485523039,5.780331203430048,6.700033897237105,5.125825384773698,5.8235623891344455,6.6263019595418085
72,2,3.6818903986186937,4.2092493367313715,4.891085365199321,3.5671138066705765,4.110245458593334,4.630680200194413
96,2,2.981806695911369,3.456405447343794,3.9951986494273184,2.9997158198766076,3.4488773738353435,3.908858223823416
120,2,2.563919655885392,2.9423440566355046,3.3346785296377774,2.6987707138359447,3.0057482600301335,3.3419092675915767
144,2,2.2085358043718157,2.5531562340723415,2.9376116499609974,2.2553377834122115,2.506802104432222,2.7797965096386728
168,2,1.9884386493927024,2.2950664419338995,2.6469084196619175,2.0041951988837567,2.2533620970885346,2.5504461359872264
3,5,38.13623998111123,44.742037334576736,52.13594414100126,36.994963492254854,42.11321107455769,47.438335727269084
6,5,27.434375568345878,32.58907010918929,37.28607760817082,25.88942806156647,29.079074439027,32.47454263796579
9,5,22.630434463425996,26.01124709596226,29.98853687973117,20.93331140448635,23.537813990252282,26.09299524390609
12,5,18.640300201194265,21.909805921029108,25.401218006020073,18.329721123422104,20.71966417454881,23.890176621399213
18,5,14.452304980045636,16.59074146013684,18.97157542732647,12.96795674631808,14.606348443098144,16.60556407228471
24,5,11.787836123043004,13.482465789117047,15.399678966870646,10.928798060412205,12.198470566687106,13.653887635441123
48,5,7.106382287324678,8.190803101058856,9.447723672095925,7.211022091740356,8.068141793161201,9.1073787138495
72,5,5.166056979578572,5.887626411155388,6.683157584621853,5.169135527733965,5.796974069895297,6.413064921285791
96,5,4.243270528839222,4.834600355342682,5.443052014366435,4.403421277711044,4.863518004690328,5.33623198158284
120,5,3.562091789599222,4.11576121087539,4.621563642343673,3.659567386032786,4.004288162970939,4.3681631126358225
144,5,3.1172404504943714,3.6066072040138506,4.1373532353584475,3.0245350113354856,3.3852495006562924,3.7482116135975687
168,5,2.762653348157932,3.269475853510651,3.7816717179985435,2.7520526558636678,3.1397948191916956,3.582709370676041
3,10,44.92346989093655,54.9409171415563,66.8330779696254,44.68558417005477,52.449869754079685,60.74745668641155
6,10,32.15358129601168,39.35267180086074,46.28799352124493,30.191888165688155,34.44752684667574,39.565651843175836
9,10,26.45186103155929,31.105700193716796,36.494812250844646,24.256660600502986,27.98455143190934,31.853332401420282
12,10,21.63859026656424,26.17030144081673,31.205599550532057,22.580046362784465,26.154055375514815,30.577143046745228
18,10,16.797732231167004,19.633693618756368,22.766449827779667,14.956590971566524,17.23863250918303,19.986292607329986
24,10,13.641459504909168,15.943241247526469,18.381249346151783,12.450117771142626,14.334971809485921,16.592644912916125
48,10,8.343815243550326,9.76562495481306,11.493538378943235,8.237138042255626,9.419943117993371,10.654614253727875
72,10,5.967978964120898,6.939444973056679,7.924579192608755,5.926133946961578,6.750490965215821,7.502633405385376
96,10,4.871184954749991,5.691872680267236,6.506436361202001,5.12167332331326,5.642744854437051,6.124111396879554
120,10,4.127188626103334,4.852290907765655,5.566500312873729,4.098644513216568,4.520503492073491,4.942496047467841
144,10,3.6742913307729355,4.296059815343795,5.014001832850886,3.4682706334221556,3.9219706263022642,4.397428615764667
168,10,3.264968199996879,3.92278445089001,4.622099188835216,3.1959680008416367,3.750111063224984,4.337380978086834
3,25,52.559561877696396,69.08117443601108,89.66335400595179,54.158718539008916,67.89836359658683,82.15168257808213
6,25,37.70874119363315,48.22226764734924,60.24457561866947,34.21843674370456,41.18581393215271,49.479434595477386
9,25,30.456578223659626,37.60673647216653,45.62880168575956,27.095675464977187,33.35552132735384,39.51024366876779
12,25,24.53790482788871,31.57540650772382,40.164586553091574,28.245159556205802,34.49103153792158,41.34574809055855
18,25,19.29237436434356,23.420027186782658,28.494456361055676,17.052029745688998,20.512056515095566,25.04364261465504
24,25,15.462379220459507,19.035399256677692,22.77851258902853,14.051151419978229,17.147645266013225,20.658935402263467
48,25,9.702120364446712,11.731674333798662,14.398756184939813,9.162152419384439,11.005806145453246,12.782295205452243
72,25,6.783916825568467,8.204357568173556,9.846703457821247,6.672274187225016,7.805260540742479,8.783731374229763
96,25,5.505217528905862,6.7159478113073945,7.9562129205947425,5.7585762524513395,6.48445384645726,7.107440237536746
120,25,4.73409226217948,5.739294840517002,6.830436227020359,4.447146105879384,5.048612920306084,5.647395427551916
144,25,4.212747241893337,5.1581495131308275,6.253071750384064,3.9257794806238255,4.558779122288877,5.222666310232577
168,25,3.7830328396887563,4.757661318051494,5.911709862809701,3.689455927770709,4.557927183008455,5.515892982428969
3,50,57.60784605532595,80.55827851108461,111.25341198900287,60.78591775456462,81.45360434918027,104.83360513007631
6,50,41.299972260180326,55.04410498567249,73.63340659660668,36.983973490966996,46.19208059779407,59.014835614282845
9,50,32.942638345875466,42.47630674768304,53.9983812978104,28.93332903320616,37.19736350603716,45.89691677553475
12,50,26.05627364056702,35.60112162481158,47.77975474634011,31.88004652797209,41.98219867357081,51.51485609903078
18,50,20.36562732613708,26.187393126615206,33.63565185347657,18.33384046880988,22.92470470356145,29.411683382627828
24,50,16.483819123886438,21.317112150639723,26.627857631395123,14.929067651342496,19.335422783969605,24.366044473714958
48,50,10.405638710769036,13.173269111369933,17.158050848513607,9.609416344070375,12.109652506422933,14.680870344688572
72,50,7.268680697851373,9.098637471232385,11.334688034393649,7.041776328880154,8.497054434795771,9.770018201165588
96,50,5.913364485995169,7.435240399342781,9.28182087327136,6.079516307960338,7.023366828692309,7.875998508104638
120,50,5.036836858272574,6.3672658466649334,7.843551700695624,4.661343792796611,5.369515592112235,6.1426487999817105
144,50,4.5520444688449615,5.791243173697351,7.435119199292973,4.1223613695286545,5.006443373991004,5.94505358049192
168,50,4.084955314838296,5.383888358461489,7.030398733569467,3.94234574317629,5.190514112336393,6.581201689340698
3,100,61.373984098298465,92.85615258136025,141.4541494163683,68.54663513104558,97.05012168807498,131.5791380263555
6,100,43.88765655112469,62.02641165618601,89.0489758204344,38.98566679421724,51.19949949256669,69.85072803066163
9,100,35.06052892430579,47.349647568269326,63.80133199433662,30.46229131026698,40.916898439036714,52.70902167338875
12,100,27.285136472197188,39.61055534768951,56.66094524437574,35.288618295407865,50.76933699871158,65.08720346649838
18,100,21.318912759774538,28.899813151824635,39.29300835459734,19.40183824539679,25.32395726279392,34.3629329596599
24,100,17.457404806910755,23.571729791036034,31.331212087357223,15.691107629492297,21.609762399484875,28.52967821710206
48,100,10.995137928662231,14.590112357166483,20.10514500551513,10.024512103977091,13.154994654901918,16.778116030245926
72,100,7.665425738666677,9.95081936454927,13.285008018836185,7.315769029747129,9.119223589118379,10.918370978056249
96,100,6.2053856771437115,8.116889536971035,10.81232130438828,6.3273874990697685,7.4980274495663375,8.68632171136002
120,100,5.278009233556261,6.966376963898615,9.07526523450943,4.80356485257749,5.640310899135349,6.606169039998042
144,100,4.849986614232863,6.414277672115148,8.698167996507966,4.339797411607603,5.43359224165386,6.715507628369766
168,100,4.3151598279106125,6.011337529658586,8.392355519820944,4.241973003620279,5.85282137840238,7.949796810117836
