Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,25.883641247686416,29.3171516029213,32.94736859792905,29.491349820223647,35.32542630573445,41.65860647470714
6,2,18.932641969359523,21.610250122168882,24.66211525512952,22.403916295205626,25.28523299511595,28.92168229515559
9,2,15.045891622892508,16.977731844833873,19.57741263868144,21.06388618210444,24.669375311858015,28.549512060539705
12,2,12.49002852298398,14.287002649655758,16.315643567430634,15.725707239254824,18.787321740087123,21.699570399090376
18,2,9.555635979788809,10.99512296918818,12.50834134028349,11.577106632650134,13.052024752943472,14.71493898604972
24,2,7.661750042598678,8.794857783237244,10.139395125986734,10.4613116798952,11.845823798336026,13.365840385542374
48,2,4.471313648743454,5.125589598634437,5.858874646898435,4.98936890319762,5.662409611018802,6.394791122842441
72,2,3.193220319001269,3.707058334670343,4.195480734542693,3.200611063003013,3.73815955130946,4.253460115596738
96,2,2.6684704011209224,2.9925033592197843,3.3498649344289477,2.9306628535601265,3.3200374325388244,3.729093590157383
120,2,2.303611576944629,2.6036537999424425,2.9877362057172676,2.447845936892138,2.8822345420709685,3.312822724637043
144,2,2.0089648887729563,2.322726003350007,2.6252061669980833,2.2568072205481133,2.618050354667633,2.981332284622155
168,2,1.883189252521123,2.1536243150328014,2.4458164140104026,2.110954379155722,2.384021352683603,2.681357689363394
3,5,34.58617006762283,39.40049118328106,44.38350835860831,47.06875163569895,56.73182718180321,65.72133565709201
6,5,25.89814773114172,29.54119570159392,33.6197904386453,32.66378025737372,37.423836064393086,43.55295922500995
9,5,20.261426492542117,23.839709810329424,27.634520057436767,36.87755982128096,43.74297631971448,50.89755380137974
12,5,17.519901795171187,20.296652626333888,23.733317156007235,24.721496060570587,29.762041869945513,34.94518449236334
18,5,13.22709427463838,15.541642466204951,17.79844139866564,16.268972222984555,18.5102297205978,20.924343443230168
24,5,10.783003105584907,12.500404311543827,14.319409060086429,17.56269917758436,19.97212058999666,22.473915779365527
48,5,6.17710835928021,7.188441622166801,8.225790110568642,7.016853792713915,7.995643345494859,9.073746738387445
72,5,4.471915004388545,5.085154068147595,5.762182578024155,4.768390969755924,5.435905232402987,6.114979348015098
96,5,3.556011549334775,4.040156742550856,4.527877702040742,4.348533111502653,4.88845756381711,5.423325252074512
120,5,3.1220633819608112,3.5349676802431595,3.9801429608955115,3.5907179532753446,4.0900472123660565,4.590170144892516
144,5,2.812092021830905,3.2144817948848883,3.6336903764360984,3.2270637148244994,3.6318818193160767,4.049373911236741
168,5,2.560808693734243,2.9256132027314123,3.2661487735155896,2.8660130980136556,3.151025016759756,3.4229324756982646
3,10,39.50722146104694,46.00040257911853,52.775666116823416,60.858699489464605,73.2033386296566,84.99173925014416
6,10,29.624979888837792,34.79441491983749,40.84551321672329,39.16999311528693,46.32344872564404,54.58287210422166
9,10,23.921406538556944,28.701099373806123,34.27462679167431,51.278772035473594,60.84861871167768,70.78927007104195
12,10,20.731091835303296,24.56527405416454,29.542680238068897,31.16192371710229,38.56458439648713,46.446611386854
18,10,15.452524017037948,18.63397806817319,21.717480925080643,19.03185450147621,22.053209801958356,25.41646866807809
24,10,12.672637217834964,15.013243481089901,17.63160124630887,23.42310023210566,26.731783518814325,29.57467251331257
48,10,7.2149242998615986,8.502506725230518,9.849969721479571,8.148877652393306,9.50497739786607,10.90000342010568
72,10,5.199709887105264,5.950258550031123,6.80178166884712,5.540018980671711,6.4410447657793695,7.2981125514834275
96,10,4.030927909038166,4.6936819622120485,5.362024518548451,5.33555935626044,6.0079816794929535,6.611296318012153
120,10,3.5942176997967095,4.099271841391602,4.6117255750167665,4.19802089622722,4.802049426692316,5.372399972133945
144,10,3.2424013971695986,3.765422530058769,4.311478105250664,3.7408291858729976,4.195531028037327,4.655905214497903
168,10,2.919863117134351,3.3733671560850365,3.7963479801998163,3.2099274889405387,3.525849328722879,3.8305953940775694
3,25,45.10758220030152,54.25366058491966,65.76003379379263,79.39654189210052,97.19541680786564,113.99432051106768
6,25,33.49385269173041,41.43442792790897,51.4476155586259,46.103658985549984,58.75869990441996,70.74057934583251
9,25,27.82379448359592,35.23141807132481,45.25189829198067,75.20156355560397,89.46053299199218,103.1968175483081
12,25,23.883508847604965,30.31285821758118,40.22846969607872,39.69849555127876,51.904923784524144,64.08108964471761
18,25,17.659681487259014,22.637295519354662,27.57902467779089,21.442920416198,26.49607737468137,31.817566835375878
24,25,14.644855599709832,18.25759025472469,22.61006037046301,32.50604493544823,37.27739611354752,40.77302317322408
48,25,8.34216817354887,10.10614160928839,12.08337530671389,9.407435806078535,11.390572546420346,13.70950009429415
72,25,5.949524229428415,6.99221576930457,8.443810294530975,6.3058435784853195,7.599942353648668,8.903142647335109
96,25,4.534145629813319,5.476360432173572,6.442366401794008,6.501136069462888,7.530598205039123,8.339369231055773
120,25,4.002926886562298,4.7577396847963875,5.523793106650184,4.78250035791568,5.620070910068838,6.349499046058087
144,25,3.6653035659764113,4.419571366245597,5.22282265744016,4.176306997058003,4.810220088847764,5.448005236011372
168,25,3.2870134838946305,3.87586185581704,4.492082878941508,3.4728373220577646,3.891606829034393,4.284257972080322
3,50,48.14245278849053,60.3151473431612,76.56757927786617,92.06431452867986,117.70724804327563,141.79100782847428
6,50,35.55018390305736,46.36221368915312,60.62547420359561,51.05237793273329,68.99439944039314,87.7366008874601
9,50,30.24318463519964,40.37241712627187,56.99712549827261,95.74896003361894,117.30871672381548,136.57624649166158
12,50,26.013365381034284,34.84797544707371,49.53563854601521,46.23339917851143,63.767130306314826,80.85066017050022
18,50,18.790773897556086,25.678141817950006,33.0071643296243,22.87933193123743,29.794953196963764,37.50997434539562
24,50,15.972833396906704,20.715497852498164,27.507888561451153,40.142240462757876,46.883255967953666,52.392288168674725
48,50,8.97483821321568,11.256236677276938,14.153364640325943,10.148675132316995,12.784990587232738,16.161337150713972
72,50,6.3017563327047785,7.729965212464343,9.76493811624702,6.714305440343432,8.39180678275207,10.210365630145372
96,50,4.7907604448709,6.027472147664273,7.391116512598334,7.323789399765847,8.749206944127092,9.877215403338258
120,50,4.234279117955668,5.209741506054684,6.364719760472502,5.081363363614296,6.177176820633408,7.161890052956577
144,50,3.931240124958837,4.876311210418811,6.090489820377941,4.420348005258017,5.207931074446973,6.032659686531256
168,50,3.441635113149045,4.207858828707499,5.095311431469339,3.5716563592727795,4.104044943495751,4.605680715030387
3,100,50.44205262247141,66.28076916333546,88.94170415618967,103.6780739793031,140.76567869895902,175.24330818171802
6,100,37.83981045177739,51.25516804197872,71.73049627042253,55.287705645993086,80.15267824215645,107.34947491865904
9,100,32.36279104317587,45.739640208982145,70.885843168485,118.68864969392311,152.22858765994673,181.04568844580936
12,100,27.95822002487862,39.59185119187431,60.076112352131545,52.9989520968369,77.57226120307858,104.36533390854328
18,100,20.11249770055635,28.7576618704363,39.367695255553194,23.965532490786522,33.09380853995352,44.138438739677696
24,100,17.02575962474154,23.199139156706828,33.324676342793445,48.32333591635809,58.26238387622656,66.82473715895823
48,100,9.489588931940917,12.365556550566094,16.32777899545832,10.803874167642157,14.174313110865572,19.158527757753564
72,100,6.5854128071651505,8.43387133386274,11.278282816033226,7.1083440758414405,9.129244765259878,11.572323864893445
96,100,4.991454143189624,6.550845064744873,8.503508258504127,8.014210551206155,10.044217675478368,11.79502835441227
120,100,4.411275363529876,5.6298513765057905,7.207718717835666,5.316817657669856,6.69458178775089,8.071706541845554
144,100,4.139470813438443,5.30697616420098,6.952267895180254,4.569812376909379,5.561636492025386,6.613192186617703
168,100,3.5950437723802975,4.50662542172725,5.739027632364843,3.6505261472080015,4.276890075383208,4.91150160281393
