Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,21.719868809247743,24.175203912734524,27.1512778208957,15.479466146524398,17.325622618553048,19.519889554456903
6,2,15.900961833505734,18.041354832912592,20.378704871646576,12.369434537046011,14.160574902913169,16.449328159320203
9,2,13.031580910354872,14.915076178421998,17.134341675521068,9.53716134575291,11.15359431063592,13.06731532304493
12,2,11.002616018874502,12.567555617740961,14.274230130077184,8.236899536092327,9.5759622721818,11.169379964087573
18,2,8.344224330476708,9.410644129651903,10.618738845329265,6.760001678774057,7.7605095594679225,8.689894969420779
24,2,6.666282835944797,7.5741351006017865,8.330522673278724,5.829640084533272,6.724234227792774,7.656821524003346
48,2,3.914762804792999,4.386225233768138,4.907864648459247,3.2000048730582353,3.5808482162418285,4.0257356698096665
72,2,2.819732242942644,3.2408191524796894,3.736185870532865,2.2884441681236516,2.536379221303573,2.8228437410517166
96,2,2.2707668630822795,2.6042404394672953,2.987741075296209,1.885460357679365,2.07348917492207,2.318392152759343
120,2,1.957632582441967,2.2373773522090272,2.5668531477910754,1.715250419002566,1.931694402883466,2.164098530734238
144,2,1.7248997953907486,1.9826540362090426,2.2610925841006657,1.5490147771330391,1.7020888732826882,1.882940109714545
168,2,1.5900382191935702,1.8042912061688714,2.0455687899207726,1.5624630600625,1.7536901959122797,1.96727241942335
3,5,28.70177988662526,31.860071244375717,35.14849338539947,21.877427751292217,24.795941419108303,28.201397455813634
6,5,21.57257575746172,24.482590021627992,27.545492955775316,18.360642830418797,21.158739111498658,24.540058268860832
9,5,17.905052954511056,20.296361035696812,22.989090235717526,14.36270805653913,16.988396090950616,20.064716450922745
12,5,14.911868292934411,17.169135920770586,19.15453537335508,12.44428392256059,14.417141658883093,16.660902236367235
18,5,11.231713445124626,12.682957672468905,14.221464805675668,9.398551810016336,10.627549884956215,11.948455124254822
24,5,8.98165893858077,10.029748500902397,11.058586626820995,8.043570872361792,9.160538695612468,10.374968990132029
48,5,5.286471910568091,5.901416923617263,6.592037752518786,4.35224947755847,5.025622969411806,5.8087921360835075
72,5,3.8963222800888024,4.44959652652365,5.072342191875461,3.0674383133371563,3.506620919852901,4.0189032796516155
96,5,3.092050375177526,3.6026134573874105,4.166243520043983,2.5102049233793715,2.8551775528885894,3.298627213235613
120,5,2.7199263910407554,3.1127694252516447,3.549673607172242,2.394405217299772,2.7094515248387614,3.0986706871155762
144,5,2.423090434826016,2.7869703993215387,3.214790586388679,2.0115698536719857,2.2650192424112636,2.546594281074011
168,5,2.1701972873514705,2.531074199522979,2.919393577062489,2.1384202545406583,2.450392099601102,2.7821091137180574
3,10,32.175823896053906,36.352289883076885,40.462054952462864,25.379925842627436,30.3523027499301,35.43673787987502
