Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,25.143568093734125,28.309824679339364,31.970721130728133,24.920951060508557,28.817472168098043,33.558975155604834
6,2,19.744534879343995,21.97378892384667,24.846480854574637,21.281571836292017,25.362174251689154,29.263066975032785
9,2,16.320456156048156,18.106740753036128,20.15641803747644,17.552335282970745,21.17496032276361,25.29565454045332
12,2,13.586705829172264,15.305341835612396,17.05189292274962,12.655274861898452,15.183573558809297,18.155878722089717
18,2,10.868107631173679,12.06394857439518,13.392093664678022,11.5490511751061,12.80115657196448,14.167830059829203
24,2,9.04793536240614,10.01187566759954,11.075728493224663,9.559002064894415,10.415922548726341,11.452672892838951
48,2,6.0418545689573495,6.69592509326238,7.362140785705066,6.174213757291179,6.9646944994425475,7.748482337870888
72,2,4.640639085924294,5.026925762412527,5.529710292105714,4.722157613845728,5.129929500274715,5.604729438472183
96,2,3.6932215514516527,4.025318723262194,4.39072705561982,3.9908448759596,4.334120291229823,4.716716690193271
120,2,3.160121703756544,3.442608205055661,3.7837814649845525,3.1716357280971437,3.4656501917664664,3.7965349569916995
144,2,2.7509566678442496,3.0237384495317885,3.3127683846052767,2.763446416315773,3.010778524913424,3.2919862562697855
168,2,2.5249905872357994,2.733842713051261,2.9749018045073745,2.621617304193392,2.840859418056003,3.077922127654983
3,5,34.283050580261786,39.088844590585204,44.33000883913278,38.369392940456144,48.2232670498383,58.41254733879876
6,5,26.185173349234965,29.48860396142392,33.62066563753726,34.29573849960195,40.84796318841893,47.68011919512351
9,5,21.420426561584623,23.8735735220707,26.534669599498194,28.066055188419533,33.9188084816034,39.719977595636294
12,5,17.81186588331192,20.217864804226586,22.776097609320956,19.934846039950344,24.293180904587217,29.551863750435018
18,5,14.3593991562599,16.035837421872976,18.014231748964985,16.65473482345783,18.67732215149453,21.02979692828119
24,5,11.592482063916123,13.253529618058344,15.018523086524763,13.575928682105609,15.551167417521025,17.72090409731703
48,5,7.880064104672201,8.720695348560763,9.696772674769754,9.120597631971592,10.195408015829933,11.308085333654422
72,5,5.833327316346671,6.354200545475578,7.034893812667299,5.964438020776184,6.581027560044624,7.199508304212131
96,5,4.554836031416374,5.057325239123825,5.5765429041912,4.951535933689683,5.434904237003412,5.9912036611360975
120,5,3.9399237815174404,4.311116556390271,4.75167412325109,4.02695717042652,4.523672284288388,5.098834518458766
144,5,3.4770308271506893,3.8054566250935054,4.134378549959884,3.4909562103494003,3.912638736149686,4.346233473856197
168,5,3.126005081317285,3.4246359844447585,3.7303269362051523,3.301760563536675,3.645571273675763,4.01144257255287
3,10,39.56033969105263,46.82620485452311,54.6893491034911,48.80010254210283,67.0002699336411,85.46341291574618
6,10,30.101235791042463,34.51035563292407,39.533949649437076,44.17686624237266,54.291944749737056,64.06913004008521
9,10,24.35654532982953,27.473876258620493,31.016114426002552,36.14168299217686,43.280653421628024,49.37089977434567
12,10,20.470011983293112,23.380067104009427,26.801996825920206,25.181901579054568,31.594641587014785,39.20106444513422
18,10,16.470414951332263,18.809402417984884,21.81258321620164,21.0650233549536,24.14168747947721,27.097311204702663
24,10,13.304900568756366,15.61905862574455,18.16419245535748,17.49114987712648,20.74491894915049,24.044477407242802
48,10,8.890851901439772,10.01574944820086,11.257806966072263,11.170293712273502,12.591601421269782,13.92883372651955
72,10,6.476293007308025,7.180417975670538,8.049995998828873,6.693161421660031,7.56033085611044,8.32338431046542
96,10,5.011786296563309,5.715987025690764,6.4607038843588995,5.481946020203014,6.166856285725846,6.910299781004737
120,10,4.313920939762337,4.853384164052383,5.411275172761247,4.668095930650113,5.36153851199974,6.159040011010483
144,10,3.8553850845290203,4.291785973240349,4.749614818034019,3.920174630320859,4.566296994830396,5.2818837868704165
168,10,3.452765855195862,3.8372129243895663,4.228728778786319,3.7152943464350217,4.2424023493710665,4.725328140994003
3,25,44.82460772840389,57.344562888235615,72.16369197312494,61.34195237648767,100.90412615586575,133.2291547577106
6,25,33.87461675875866,40.90858006964195,49.65148776587027,58.54538793416857,76.14637200313163,91.56486361671148
9,25,27.04551028623441,31.788867731610218,37.182896673691516,46.68324880789005,56.311925671449316,63.71517120507127
12,25,23.024604333437026,27.275488370125608,32.86987180365239,31.998215605994304,42.62336495473606,53.799867117010066
18,25,18.479104709808706,22.486656998927543,27.637811901304055,28.075851172557176,33.60952533753998,38.256307580591574
24,25,15.157393450458322,18.883343409991134,23.52329188533868,24.084977407080995,30.473993704496674,35.92739715518917
48,25,9.883925752862133,11.601958825164191,13.59915088002085,13.66049777436342,15.964750033020366,18.054931910439997
72,25,7.078494121078279,8.168058411222194,9.477162482884923,7.513846902145351,8.831692096903298,10.049978568239112
96,25,5.49047327666349,6.521175724838981,7.626822302657521,6.021319615545371,7.105588837159264,8.196359354044253
120,25,4.731709823856765,5.5033471755423635,6.42175126438417,5.375163041793392,6.620665721477552,8.011104985700294
144,25,4.200007048611195,4.872828735167568,5.615597438022195,4.345263870079468,5.476365965880094,6.8254057337812215
168,25,3.7937036626439298,4.3124788014041915,4.885268958621493,4.125375626869706,5.0874121190881185,5.882599949581833
3,50,48.58640055841718,65.72119728371925,89.58934175631671,71.542646659464,136.5015784399674,186.59788253741362
6,50,36.216951312246636,45.693846309581154,57.68002966924921,69.15840117794527,96.87165497200161,118.50485946862372
9,50,28.686696970346524,34.8293933610077,42.79019894067622,55.33896577085104,66.95181435053102,76.05285108125626
12,50,24.69445772586394,30.094886203244158,38.28500278229595,37.112123949902255,52.37692058041288,67.25630629183401
18,50,19.675824389551682,25.34511559993814,33.89483088899232,33.92885868229045,43.147284746309595,50.26736866245575
24,50,16.199491956845286,21.52082920653969,28.841617145281802,30.96855156355261,41.01693534102952,49.38197470771658
48,50,10.422331333537041,12.743609685832627,15.883421138560191,15.546966698061969,18.754437153695335,21.834204590111852
72,50,7.3920197985228295,8.86221496523234,10.674436969567468,7.97433717509868,9.8077235942002,11.679702090064705
96,50,5.809819168172524,7.0996099464728974,8.605885460529727,6.3136923861830265,7.818389025874788,9.325003888056568
120,50,4.963365230120516,5.961373708213892,7.224191699576727,5.837456090143992,7.734093462302794,9.864836089034076
144,50,4.408499010877861,5.281002399480128,6.361744598479779,4.640004557935947,6.22685674170884,8.2815486878046
168,50,3.9567431260134023,4.634635058775836,5.419492604058678,4.4395297856401355,5.793046039100923,6.9510778577618915
3,100,50.949136173397164,74.55272013710592,111.80575403571729,81.9699353983822,184.26216967004402,262.91015036916735
