Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,6.155424381914289,6.941143573505176,8.301427202902522,6.090658011817437,6.771235778898355,7.484131850361129
6,2,4.718039900517287,5.261926464780228,6.101552987381233,4.800750516570254,5.382093583650644,6.018930033216627
9,2,3.6911085644257033,4.1437722256118805,4.938551652614437,4.001452624222564,4.359076400681585,4.758001048031571
12,2,3.0062568740851177,3.3670698242919155,3.8773144720122934,3.258499506931771,3.565073204854409,3.934698115900721
18,2,2.2384346711029917,2.4918554472583523,2.9152307078447395,2.3613394995815393,2.5718726378451646,2.8094778327898102
24,2,1.790928852591136,2.037396986596247,2.3845146585440506,1.9514211341013397,2.155304474745144,2.3796638519904665
48,2,1.0075052930711506,1.1537971668909301,1.3650702552158491,1.0660500703470925,1.1753818318931741,1.296102737415589
72,2,0.707421903905075,0.8031255036106004,0.9702988495489271,0.6574470097041527,0.7278605959999912,0.7997492124052992
96,2,0.5584235025773425,0.6232103059689321,0.7499849197601209,0.551492472065766,0.6135449968136417,0.6822761792929799
120,2,0.4615269206861551,0.5189815385963112,0.6410055322732502,0.45267572653170324,0.5053892284469832,0.5597667700379728
144,2,0.3936120651704774,0.4447426315591382,0.55671983390412,0.40166585044304237,0.44165129171486306,0.4841641134625416
168,2,0.3550627362020641,0.4055987270202112,0.5083118358246458,0.36033686790650843,0.39847550927059283,0.4406370883819569
3,5,8.531845133186135,10.70057407344905,14.003528772850956,8.542908912176658,9.847827280159919,11.355692899506021
6,5,6.3973521172314225,7.974629652698701,10.151946766084667,6.678494991486177,7.786082868122151,8.98062019312141
9,5,5.109022540762732,6.329391235945126,8.076957333779179,5.196378880575195,5.701673826016528,6.275427320746251
12,5,4.085838413538764,5.1148142453386285,6.39419508160133,4.246773525761717,4.673101482819069,5.186615797948084
18,5,3.036891602485911,3.791363127515463,4.622978261593552,3.0055893280796466,3.328021641905277,3.6493499144005526
24,5,2.566015332078064,3.16788148070175,4.015908978868199,2.5529947328571705,2.84404966580702,3.1340053789688245
48,5,1.4238828732842266,1.8388620737151058,2.3763693755786526,1.473155187569068,1.6557756833710133,1.835930887862356
72,5,1.0164036355170614,1.3047502469914172,1.790201279609171,0.8625783805180691,0.9651092901725266,1.0714016673504274
96,5,0.8270907430586094,1.0381962392240505,1.3837744103662062,0.7268972334747045,0.818283899077064,0.9167475208320315
120,5,0.6846413324568239,0.8763921257613887,1.2206498378570831,0.5886868888730545,0.6604146844352257,0.7310195091773932
144,5,0.5664226999917507,0.7605919863960644,1.1080859972946637,0.5133802681193881,0.5674895124649975,0.6291124530611171
168,5,0.5170062779556603,0.7037558900654418,0.9997911444706062,0.46998634591588584,0.527912897753348,0.5956944660048933
3,10,10.533960815695238,15.041643032660819,21.666285559340658,10.444635615672379,12.663915398587129,15.29150656420957
6,10,7.777854515230953,11.052108420729665,15.034902401246264,8.02097274997492,9.752123079460572,11.575411393553685
9,10,6.254385491013025,8.795684215475308,11.627696924290136,5.756236780728562,6.592226069253569,7.422217279829159
12,10,5.058134384843772,7.081227150664304,9.495728617289593,4.807823788277582,5.402481631943173,6.114866497388581
18,10,3.729728529182245,5.2393410978092465,6.6965996481548915,3.358159703382692,3.7936315943476466,4.263085224387005
24,10,3.185367338972287,4.38814587616444,5.889008293287272,2.8875432646196164,3.268972322902607,3.6499769897079783
48,10,1.7650325109057552,2.602940456765811,3.570358112411536,1.740801073509941,2.0036861985607675,2.237204524260468
72,10,1.3166162798032495,1.9122863244464257,2.885372095511405,0.9787430793784966,1.1242971309720593,1.2659175929023174
96,10,1.0630480484657605,1.5469975132882237,2.244933582152056,0.8318536468437946,0.9532043928836822,1.075987004073589
