Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,26.83786725912616,29.662663188475456,32.47700590753941,27.331316848107825,29.768148967497474,32.608993473134625
6,2,19.960596295285953,22.37772023893773,24.58111119971911,19.71747686370898,21.821269178920357,24.034128969805366
9,2,16.352211106484322,17.980837249177497,20.059741661878007,15.836642578604463,17.186880180130593,18.87784773312049
12,2,13.833423727882295,15.17011020213932,16.748577128040655,13.924938450154643,14.893782105836632,16.06276050237722
18,2,10.597401711258156,11.884417267236987,13.254480136814365,10.594362018046056,11.627606399033077,12.759630041222767
24,2,8.865720569282697,9.830771793030927,10.909195639675595,9.025313450633172,9.795033587421718,10.865154105803054
48,2,5.543727269106005,6.156189529779434,6.954859543620358,5.502626042632479,5.992324826373061,6.579512554544301
72,2,4.1851399122518185,4.655026804083496,5.22132500611388,4.050611734121803,4.397208927364416,4.772579877441908
96,2,3.508827371273644,3.856929989773135,4.338822239667067,3.567883278278348,3.851292294858837,4.129378485368373
120,2,3.033971574268916,3.3619121954913163,3.7344706494540034,3.125238408579434,3.347981449463051,3.5926858143570697
144,2,2.70111764293258,2.9933364072198443,3.316693234237234,2.758920037785131,3.0252842692316975,3.321166059783973
168,2,2.495640285343806,2.723405026833575,3.0840118282927387,2.462797350161919,2.663516943697931,2.9166163314858826
3,5,34.27007057247398,38.024363909240705,41.803626588165514,34.4996093445759,37.61289697857094,40.651436439409494
6,5,25.548128654683474,28.956370583389205,31.971354257008496,25.755765428534275,28.533256426373924,31.430597035738913
9,5,20.738319910793777,23.278219790689093,26.13525794075219,19.568937054601534,21.912995698807617,24.614963377025425
12,5,17.721341737508574,19.900899748416965,22.197489183754286,16.80723011523546,18.68283337140876,20.774627611842178
18,5,13.747112765659699,15.997680912538357,18.183779335907854,13.390159214438373,15.2978434411927,17.538484784346444
24,5,11.722417688390058,13.342397037269873,15.312150013592678,11.394638995662138,12.749826475945051,14.779495171801685
48,5,7.377438142493121,8.448294643503953,9.742978153284986,6.973940372458641,7.815301192921158,8.71614160714431
72,5,5.451472099161236,6.310870491663989,7.39345354334724,4.997596949549751,5.529352694983136,6.154353822300163
96,5,4.491866689639596,5.20492907144855,6.03947211600682,4.442254304713502,4.8867807134374415,5.371452364116495
120,5,3.8993640840212724,4.489794148180103,5.198336303520395,3.835136472098836,4.162749319948325,4.498301543700784
144,5,3.4944578009923406,3.9971174949402366,4.590360785014759,3.4692444180360735,3.8505351187714254,4.235246067261637
168,5,3.1807125022066627,3.6062278298665333,4.225168716901269,3.0192197214085503,3.337826447476902,3.6826028120029246
3,10,38.34658530167454,43.35467599137142,48.938595402809156,38.26711878968841,42.088627585792494,45.56920995612539
6,10,29.222187736755068,33.1096369692545,37.112819658982744,29.141492339951093,32.88813479185001,36.524618795497105
9,10,23.536157441632547,26.924946541104987,30.717231885421967,22.09241387428071,25.492115162109933,29.422188592108338
12,10,20.315910277711573,23.357169412318747,26.958393343653427,18.880071753798305,21.624498475881207,24.78676201430583
18,10,16.006099598941923,19.181915332895255,22.77615375095212,15.382109020791578,18.373863796703443,21.843106083801967
24,10,13.429268007722271,16.17331535073888,19.16699085896724,12.836507181085643,15.19340411100684,18.05653823197114
48,10,8.551484499091622,10.403341395502814,12.751915614332706,7.925704757856474,9.188028177991042,10.794207269415125
72,10,6.375059321654323,7.744931967312468,9.62556795488618,5.594477310799564,6.349655831748745,7.245496706476579
96,10,5.236922089275101,6.370545057125238,7.815975775126978,4.982763909339658,5.596036640011873,6.309739124498051
120,10,4.490808956947764,5.426984662043038,6.574230643133362,4.251684304455973,4.704824216189789,5.210085536309819
144,10,3.9949929430893976,4.813884329430612,5.769856277981063,3.880445937321933,4.394827622981843,4.9559395227698015
168,10,3.608846960243564,4.333130518201264,5.287034797662242,3.3370844263235,3.800619292475342,4.2457048902934185
3,25,42.84243841923073,49.86374627975222,59.12775024710277,41.40336530012421,47.09016471620114,52.75811526842759
6,25,32.54425768269947,38.13747386269631,44.801330043184834,32.67723415831509,38.34737887350505,44.22841147375081
9,25,26.375768876505354,31.697735603124222,38.5327597505906,25.353770942457192,30.646713858871184,36.580091244688006
12,25,23.15775854088006,28.131737065773073,34.87693464838239,21.235385984964942,25.97085622047141,31.46389589443104
18,25,18.54702902897542,23.81962799645967,30.44590067916969,18.065218598450624,23.2570489915783,29.420172139497158
24,25,15.516405747713335,20.452775366367813,26.598856901763334,14.75204808090901,19.030963865495035,24.555952563923093
48,25,9.86238149507805,13.516739950293722,18.53729974553122,8.886318009022803,11.176097959924052,14.580366382319646
72,25,7.498326292330749,10.061173015621788,13.947166660530067,6.220652858816021,7.488253647865185,8.948271766740561
96,25,6.158533454686653,8.250462164402306,11.197526918310778,5.4666557579256825,6.531535831473628,7.820051942708851
120,25,5.276209795504838,6.88380304183576,9.182978209540968,4.666417872436057,5.400824495206733,6.346002454553167
144,25,4.5878056802053795,6.059199454922594,8.030446263833733,4.33492564549481,5.087315511198087,6.026677498974823
168,25,4.151784027842437,5.453595841581134,7.406417625829132,3.7155566732185146,4.411147334418507,5.176056320360325
3,50,45.13200237290947,54.53483417565141,67.81912293396691,43.39067982743604,50.40828586942408,58.09584329554653
6,50,34.669516325662336,41.71512137596683,50.722796147259714,34.474395063229544,42.40021265080465,50.45399299971703
9,50,28.234823322263033,35.36159932973782,45.79812029393528,27.736946008626532,35.01719947455856,44.43323505185532
12,50,25.060442337786874,31.993507159655906,42.829407364960446,22.712332426503686,29.756895678345558,38.34969145708254
18,50,20.344151733738826,27.766653053923545,38.350590108638215,19.891707275114815,27.817614864260264,38.92483238546511
24,50,17.02022504446897,24.227221970457187,35.62337285283739,16.276320607464427,22.58257199683969,31.858841876701618
48,50,10.704936420702401,16.40277697368747,25.047318821199738,9.448177831310353,12.885775002436679,18.29838041128598
72,50,8.113635082713941,12.23736760154464,18.54544949635511,6.667480423026537,8.42273217371832,10.699539160383223
