Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,17.72876694060286,19.32530651072029,21.31633628125857,17.28341414192542,18.845942524543116,20.610336260502073
6,2,13.516504638903303,14.845211626950526,16.246864376180923,13.005926425542643,14.205517319910491,15.490945337185519
9,2,11.415715447542668,12.40768586320343,13.59210323521927,10.783173962848604,11.95230956904267,13.238382642583037
12,2,9.811556035135423,10.664863277062267,11.525824229634228,9.74076307062517,10.794264594783337,11.860095542870432
18,2,7.719391349317327,8.425678471795742,9.230525617925245,7.490659603698243,8.213409082910042,8.885799397067844
24,2,6.435726170220533,7.06713350860331,7.714642687907595,6.591831941007573,7.306759859001149,8.044956240753073
48,2,3.8435457274961964,4.258878301767212,4.730746941458369,4.130669343347477,4.606066010732371,5.147128812472907
72,2,2.8005146456436685,3.1109113217101303,3.42011535109674,2.9526716795363708,3.361971734397409,3.79646883558589
96,2,2.3536426477955636,2.569028974921521,2.8197022778054803,2.373687520851913,2.712263345969439,3.072400211719244
120,2,2.000458145675349,2.2249961977138906,2.4855000138222425,2.3118033854419062,2.653073230912642,3.0131924208653436
144,2,1.8171892027603813,2.008658918257814,2.222714459151339,1.9691833442194633,2.2452229921543614,2.576190393308917
168,2,1.6144347076011412,1.7959447737377898,1.9833702873214258,1.9169901609619133,2.219699808874709,2.5416905902656035
3,5,22.20294877432815,24.90962666240364,28.215701584982796,22.554795644964788,25.093144808980355,28.605003791087476
6,5,17.165047554759344,19.102809356172205,21.64084620735954,16.778044822481863,18.698859013325105,20.706287320968652
9,5,14.216196779985832,15.670561152045657,17.381399125003842,14.133617076685098,15.82007111935776,17.797929236519185
12,5,11.976224653725026,13.29319128053023,14.499448800029473,12.630540255459522,14.026633062691005,15.61982583751546
18,5,9.495590551693715,10.580174956998485,11.7395487929507,9.436968531638732,10.351557101189751,11.398523351887107
24,5,8.160591142422698,9.086051282482924,10.062700891966895,8.539574268634805,9.523891121957405,10.552927274656486
48,5,5.050639391729449,5.645176359341267,6.35232674115443,5.420222595231616,6.103925814525585,6.8861553379108695
72,5,3.5808436659513774,4.071000618755031,4.608749222456433,4.2360294008595405,5.008462197211356,5.972715928482578
96,5,3.0078468167065378,3.404325843205001,3.8434972174093014,3.4356545956445665,4.098341883565827,4.842880213021402
120,5,2.5875126997831597,2.9701485244095225,3.357384397695287,3.59459102792854,4.298790780956679,4.979187919279582
144,5,2.359623256301412,2.6637411702482074,2.9939506350595066,2.9669319360376236,3.471081931800647,4.1042008562675045
168,5,2.1061405300427696,2.384133807561171,2.6879070263370597,3.1140911180015807,3.6302116385590963,4.176890088485625
3,10,25.182519230968488,29.363777421186988,34.49461415907278,26.110693955841334,30.125805757205647,35.57212939900276
6,10,19.319629824740687,22.17476464269578,25.71461752745892,19.034888616921695,21.92068785623868,25.006041195093005
9,10,15.819041316505174,17.852720117720445,20.332013372147564,16.11833354997311,18.369592038581104,20.705890984398426
12,10,13.315178655450186,15.051549397038553,16.88162449262837,14.258432575876292,16.0948982810978,18.138709075032494
18,10,10.553797481023347,12.02234514045718,13.645778469147533,10.520673984171978,11.68948734281874,13.08400828177221
24,10,9.188669508232707,10.448466461203083,11.859048982170435,9.618477350860196,10.910208250256833,12.201968870607917
48,10,5.744863665920642,6.613638680943918,7.573724466929887,6.115488667118019,7.091134773788762,8.175202489943079
72,10,4.059635568164639,4.805634464674359,5.617852851427824,5.120892149158809,6.491438362315709,7.964975047471
96,10,3.4189779853291427,4.034956371781935,4.686730709157263,4.265407265678874,5.3042823604783615,6.449982675562678
120,10,2.976870446431028,3.530689925375927,4.129872293818607,4.760713482063014,5.778479861787623,6.786261484406425
144,10,2.687403404069773,3.1333869798150946,3.6220136068437343,3.811079689969895,4.58329106100937,5.475465547111577
168,10,2.4153617474033098,2.8022407462520116,3.253793333469087,4.163441086399978,4.866104280579501,5.5527656325893915
3,25,28.257730962148216,36.031432900761914,45.84781625084424,29.937111628900823,37.83187551055695,49.12098548487245
6,25,21.725079956867734,26.370462495023858,32.41356250049014,21.60375422743685,26.343895229672906,31.71525570869283
9,25,17.666146574472222,20.635030584741436,24.439094803732026,18.06628490804199,21.60872143005221,25.211455184707
12,25,14.736813847291266,17.294163647220834,20.24267501109214,15.805718844776813,18.65378403344527,21.741709644003805
18,25,11.615009582068025,13.862621561754352,16.444634575840624,11.56036538217663,13.311519247216726,15.421908007661006
24,25,10.20044748912009,12.199743570456182,14.860126683105793,10.744601691398929,12.589859874889724,14.475533744455415
48,25,6.598009956886951,7.898143310638773,9.66709315382806,6.854007120679917,8.346748923829109,10.051283089871937
72,25,4.637034877394498,5.864245649114115,7.319268562559586,6.152345832948027,9.003315011513491,11.728657235825693
96,25,3.908092322524796,4.932618137342352,6.241207820201035,5.33747920496399,7.277944849199043,9.426001240537854
120,25,3.357996485904091,4.325950358247209,5.336451511810777,6.355779332312993,8.263044512933599,9.804057526133468
144,25,3.044579987352421,3.7711151748484104,4.597006147767165,5.0307909720052315,6.468510562821349,7.980865321490283
168,25,2.76817333907974,3.3656015204057024,4.16950598055493,5.865383102064882,6.890259666346438,7.865342366913887
3,50,30.61907291451181,41.857342929641135,57.407167594744976,32.550962750321176,44.786977787603554,63.93435442669761
6,50,23.148023513079835,29.726994379942475,38.514398024030655,23.128791351542212,29.93141322030843,38.49226178527692
9,50,18.71983405220292,22.717402229611253,28.140555903723474,19.44322988376565,24.043230223051896,29.10183743098285
12,50,15.560779350226934,18.97308992784776,23.46969659937563,16.792980227819335,20.52799985773289,24.999531001224952
18,50,12.348626710527617,15.241014897442128,18.849610187868652,12.155767072797815,14.476114534919098,17.53512846059174
24,50,10.898141771003417,13.520832915997069,17.175282573939715,11.412948855666793,13.795213724441922,16.522382161484863
48,50,7.084016301839254,8.8970068396511,11.716687320531058,7.257247576509874,9.292332516531653,11.667035331125913
72,50,5.0321928330347525,6.756010980439921,9.09158489794375,7.032171438212131,11.492557947682748,15.822887020859678
96,50,4.2087358008590465,5.679930995635962,7.675519248219747,6.155504014173999,9.168696539265627,12.556335081021633
120,50,3.61965304490619,4.985909348316548,6.649205050555745,7.670869291812025,10.69275008759301,12.945485129757303
144,50,3.269796333169296,4.2784373194645555,5.4209667961689485,5.970052507562185,8.32996084030271,10.573522749206163
168,50,2.976055177643852,3.8104184866849296,5.057095645839856,7.222383351210065,8.82217871741511,10.195811358120453
3,100,32.6528186786747,48.505477572813234,72.60602300208404,35.09981585295294,53.019454612751275,84.23853425970569
