Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,21.266481430250543,23.167997202001263,25.21396758858245,21.06739604160783,22.87564117253213,24.747600984608425
6,2,16.418730181553812,17.412517507232387,18.755166679345763,16.298933817425958,17.58144941377829,18.839189498660666
9,2,13.140666448059061,14.089667728932131,15.166222969162158,12.583264760692838,13.477769931957909,14.467017097001925
12,2,11.493563958611436,12.315125692591725,13.283560952509426,11.040783495006371,11.80480734209277,12.685099459819313
18,2,9.283854914772748,10.066779958030523,11.030447304446625,8.715265854345194,9.7514021718156,10.861684508668517
24,2,7.739940001734405,8.442867395107221,9.282519140182295,7.206619600219863,7.924954180580471,8.7840109002155
48,2,5.182081604561133,5.69529672621542,6.223190970354631,5.062610892432824,5.6159993175416725,6.165566548438704
72,2,3.839905156778471,4.274553992990338,4.701027485507714,3.7127120548289927,4.122695314982417,4.536011572349423
96,2,3.1159193159132306,3.401103251569162,3.7137859382971086,2.993956665413523,3.3313796410497334,3.668064740933989
120,2,2.7170664207469843,2.967159914798586,3.265096253680005,2.720296086330406,2.9943644597764854,3.292832602174116
144,2,2.359381045452572,2.5974485515835917,2.8624569513993117,2.32194312046014,2.5674360811508095,2.786391439761746
168,2,2.165760317745607,2.385739346065078,2.6312796997311554,2.168628756640524,2.398531265953471,2.6337964423535585
3,5,26.212290553769968,29.00905862271972,32.072701146780865,26.71542326253642,29.727600724538085,32.96949840010782
6,5,19.47715292989669,21.100850794547362,23.140726297437574,20.93687223667068,23.213073169409224,25.750967949504073
9,5,15.670921388137586,17.176443617142976,18.660387713266484,15.71466237951311,17.152757289266564,18.81103156552609
12,5,13.967663323449678,15.207127322901268,16.64525103385739,13.374675140358008,14.590603929088346,16.07560532801767
18,5,11.6202012583605,12.735037947055034,14.120180818881813,11.504311366693845,13.20584036210746,14.84458795638639
24,5,9.690371533386488,10.748273355126337,11.855462812106424,9.558976620529421,10.611736446220407,11.835318930803021
48,5,6.53819534021685,7.2170383452630595,7.844169921387421,6.735408850093999,7.269813845267999,7.81339652547449
72,5,4.891539308813208,5.446981229572472,5.994768337639857,4.83328650854323,5.284610763451931,5.728179510204828
96,5,3.9005257370460695,4.336823282892873,4.8349192595858845,3.9827023857397057,4.503192636956184,5.057380743705448
120,5,3.3885844392747515,3.73781552716299,4.126623895925046,3.6101112994167397,3.9953946282928365,4.394966518985505
144,5,2.966470709005816,3.340239429627836,3.7234019918342875,3.07789655187571,3.407873478126306,3.747981794453679
168,5,2.754374382261319,3.113891769145537,3.5081338350451308,2.836751020320622,3.18757682399728,3.5610979697874234
3,10,29.175050944524628,33.1471503193095,37.34494091490147,30.224903937168264,35.145842230571496,40.22590165201438
6,10,21.19208564088987,23.671890394323164,26.60914410745447,24.384179824911193,28.341740601361998,32.71365642386071
9,10,17.39482643352465,19.35341265644017,21.543054385705243,17.600826002105343,19.92101686662748,22.786347877685216
12,10,15.370474110362265,17.12076956514268,19.19103146368412,14.699812219721842,16.479083383268545,18.586698593763828
18,10,12.874010179445795,14.454492846696287,16.299704570681374,13.37321085988568,15.838453650578604,18.144644931618814
24,10,10.812024522122968,12.288395921167108,13.883921942727756,11.025690726483955,12.490045565157985,14.125493973162943
48,10,7.235569941436053,8.107599564563674,8.884324245476932,7.533816668162293,8.145328385060024,8.695566270547722
72,10,5.560440298151354,6.171339450507119,6.870436300475278,5.336091403782031,5.895306368418736,6.381366429008024
96,10,4.3605263028260195,4.977526134135261,5.696285843390399,4.5847969211101605,5.291705808239301,6.114536789735293
120,10,3.748140795250316,4.23802123259896,4.75805381121192,4.086379307252971,4.636799997143908,5.215934040033394
144,10,3.2853019720786976,3.860243824910298,4.405990470856136,3.5025930888320937,3.975990539323396,4.451400843262778
168,10,3.1233555114558627,3.6304978917609176,4.2199208307765605,3.210556355201083,3.707437786907831,4.221771841830135
3,25,32.20953970906349,38.70582872513228,45.89925115603596,35.35283631886479,43.266212145049664,52.017866122824884
6,25,22.893340301929847,27.07521005128848,32.04135172445719,29.43372763458246,37.0950074663577,45.857237111112795
9,25,19.256390983574278,22.265761586457376,26.50159254028764,19.645103200702533,23.90328778473159,29.69828021874772
12,25,16.8382374742521,19.537392683943484,23.077504154805816,16.090498638167894,18.946964029825875,22.551742773326403
18,25,14.23575869789233,16.57473403178219,19.302673201105478,15.743014388166056,19.65448139361942,23.550122017116315
24,25,11.739223968603596,14.250143117000533,16.815806226857486,12.62226208640057,15.006564655586256,17.98414554273208
48,25,7.906209669485236,9.115045616736898,10.340712713727195,8.262784177130865,9.059034900047955,9.776119245843269
72,25,6.1379565372562865,7.031407344587255,8.137261760617074,5.734055613011661,6.530107760979309,7.251225447678005
96,25,4.834460058108597,5.812006069530559,6.962377528165861,5.134107229668661,6.317354655995281,7.670103408778463
120,25,4.107493741414848,4.8588249634949925,5.731068795707072,4.6047887247534955,5.432400369722167,6.346346415018685
