Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,29.40847093623264,31.78819269553758,34.69554071716147,32.45012441262402,34.72755702917699,37.29668368165126
6,2,22.84833410862798,24.712743035864243,26.961028296684162,25.666290227622113,27.530565290398336,29.372784374492774
9,2,18.664703188176066,20.394010060117445,22.196604039596522,20.38241761699464,22.053151765216917,23.802187795092067
12,2,15.861620884018546,17.449801429522324,19.22792718798255,18.130759582642398,19.668884335879337,21.249169378644417
18,2,13.069479278820483,14.334377769364963,16.034114424931854,15.574765469708382,16.822016958797796,18.161732448675977
24,2,11.239928277496684,12.342936982317209,13.534467108542774,13.001568040533037,14.075680352146819,15.197515789843404
48,2,7.554386270915181,8.348455569088477,9.276639236925472,8.927666013117124,9.988724374044816,11.128602900279018
72,2,5.867076607139443,6.495596014669365,7.302331516485674,6.37499595897388,7.235860360827553,8.210118556290402
96,2,4.867598192746323,5.41568097170568,6.0026138445641966,5.640720705263545,6.432057064512943,7.206460364498222
120,2,4.248178182530042,4.676688388336974,5.199515818167681,5.253510185103113,5.735450096771706,6.329162694112257
144,2,3.790055473914249,4.145079439830575,4.510035302752613,4.581965297227784,5.101057112165291,5.630404142054482
168,2,3.424734483735196,3.752284246786104,4.097162368207922,4.090912332003879,4.614511528318957,5.13323339185332
3,5,36.12780932898799,39.58828824391028,43.906411646962894,39.5269382886552,42.77349441772771,46.03140384073369
6,5,28.31045868010836,30.915878997708973,34.00976045163374,30.960331134675997,33.14136294606381,35.36673234535684
9,5,23.182073623356867,25.861942458064227,28.23105554837715,24.93278066599301,26.669816570362798,28.576254571782194
12,5,20.0482778282083,22.701519304585513,25.548486371072748,22.45293395866259,24.100245703893506,25.95802184728153
18,5,16.712988763727196,18.628558194127237,21.00707875823881,19.383764768327115,20.720222936622335,22.013733041445647
24,5,14.265466135919445,16.05109546586767,18.05325942231677,16.3034826009095,17.515210397803823,18.664206711047655
48,5,9.629460297750386,10.967804706251346,12.485097180928857,12.207440392267824,13.713354175989156,15.398202953457934
72,5,7.603747254802069,8.615579377446695,9.869250035967285,9.17512702143761,10.713825138993313,12.590366305094616
96,5,6.289438072876074,7.1377922108002405,7.960954183565402,8.350784853174813,9.689465420015727,10.932222106450812
120,5,5.3724603801371975,6.115605787112916,6.953980138722212,7.2991585344887815,8.187764375146752,9.084475559500234
144,5,4.750004032674994,5.366644268900856,5.93219922990872,6.399149773254409,7.099294908739305,7.771000803774424
168,5,4.367116701569991,4.841489233615917,5.328246056105787,5.922438813621358,6.669342220819645,7.4064301463093445
3,10,40.06241560234426,44.867944465629115,50.94692661863003,43.79177330199843,47.675525544922706,51.46907369319246
6,10,31.28276330919209,35.128621649061515,39.21673254229109,33.726426106055555,36.27784563794948,39.039100706751825
9,10,25.677797601379382,29.53613048156722,32.92343075101856,27.0210526077255,29.046818381163654,31.196217385229033
12,10,22.77735809187147,26.56019544537982,30.536021478044944,24.450303727154513,26.485471881801587,28.69477849928129
18,10,18.871700113601687,21.69825013305892,25.31543547257666,21.22014698991993,22.723917890402593,23.978731432143764
24,10,16.144580886230877,18.721773988664346,21.755338783081054,18.11526218428414,19.409250240640187,20.616659809214724
48,10,11.040721087515392,12.966337180269948,15.418342332661343,14.467329428827668,16.406061839869118,18.69683706027812
72,10,8.600790884244727,10.173324929531352,11.968051578474828,11.54709619845491,13.728361771264655,16.26403291527761
96,10,7.142193453951588,8.353027251328092,9.475039415773253,10.531803111827177,12.435801749802755,14.175203536548945
120,10,6.027700033968002,7.141945080390652,8.295742896812827,9.05827405487994,10.198753602773708,11.325274685909278
144,10,5.3012809503449505,6.219963813758964,7.117041732243026,7.60681044106835,8.49683739880865,9.281070832550206
168,10,4.918115706129836,5.58925516716204,6.356809010836026,7.251876807991492,8.232260138888144,9.046237485587717
3,25,44.414253316297035,51.673116791462576,61.584983999188985,47.51739986576379,53.473176835531916,58.918471437138166
6,25,34.361617078651264,40.574991429661836,47.2283404007065,36.10635214859455,39.716047208687556,43.53799326723332
9,25,28.29882133860381,34.24084689249412,39.15631795089808,28.696964180426022,31.473856282708937,34.13016256271002
12,25,26.033201688649342,31.918271220338475,39.52177957721954,26.13128393771217,29.015340760031556,32.17398288085856
18,25,21.410974593116627,25.85558086835718,31.656329521656414,22.784673700044305,24.764788394702872,26.57664479937972
24,25,18.01669065762779,22.363398177403454,27.789336823803822,19.698217735504336,21.456344388260714,23.14322769575371
48,25,12.670400900217548,15.838708916745247,20.17916316986522,17.07099324431738,20.116547900536194,23.429491688487268
72,25,9.887789344361098,12.336500468559203,15.668563494979406,15.048763600287629,18.628577377067444,22.48869158770393
96,25,8.059439325478213,9.979624684405522,12.049511486235865,13.47290354007166,16.78094283734362,19.478493631214693
120,25,6.793899014408205,8.529144524591937,10.374385075338306,11.46416650662,13.30059819792237,14.96812242335725
144,25,6.022164265549955,7.351677543759696,8.888498375832201,9.087944749795522,10.360978781248177,11.443672351793063
168,25,5.545797171625953,6.565505802812318,7.8653879410770955,8.925735594220594,10.481243692157163,11.685726369994224
3,50,46.681214225874314,56.82030181761522,71.32561761475893,49.60615687433845,57.534360382049556,64.94562444806351
6,50,36.423245752193026,44.70649273016889,54.132982855806716,37.2893108120541,41.95266354725488,46.82945143730808
9,50,30.082306397547804,37.77663250177361,45.861843535898416,29.516035727736437,32.94778747437333,36.36283402617136
12,50,28.11988778923017,36.273649507232015,47.959670401845266,26.893185205501105,30.60909273222655,34.497601790083166
18,50,23.08913609012135,29.15438030755692,38.41886021242031,23.619087238604493,26.000234915726246,28.393454595837024
24,50,19.421419067645523,25.272040656224085,33.43271605230463,20.52503793545072,22.768607908677215,25.09620935319999
48,50,13.852321193626643,18.252293240909296,25.458960208736897,18.940589631959682,23.12746953182989,28.049745080288915
72,50,10.626637012363817,14.094961042138218,19.092874819470456,17.766160536354562,23.281204331172802,28.755157922254295
96,50,8.696313771540112,11.25573986494101,14.43661524648505,15.85677912381318,20.79711182412448,24.673356202223538
120,50,7.1990463566912695,9.627739376987682,12.491354580621236,13.360022485661904,16.099307476203563,18.63941816666304
144,50,6.311489088349875,8.231671936992136,10.391980836882068,10.046731068472273,11.824004225994242,13.497485425438729
168,50,5.9671052638264355,7.313137704390801,9.333215706579786,10.193611321985774,12.3793779195185,14.12741967695078
3,100,48.34512048733771,62.01418263599405,82.48456449436435,51.40318107392437,61.396597942352386,72.10176580505089
6,100,38.02748902584287,48.88584589859174,62.485177147744515,38.20485206128522,43.95156520079322,50.66415998370296
9,100,31.715755844380425,41.3251631569024,52.946961705887226,30.080928193254856,34.192385397894874,38.63842157419305
12,100,30.083964612232272,40.94638140107557,58.76250056992549,27.415841686560697,31.995912449477608,36.89784111751247
18,100,24.65945564357593,32.621559886369425,46.226410737124226,24.198071273005137,27.03997038573376,30.269448092311062
24,100,20.762434591224128,28.34630377128319,40.60041170211561,21.154488080512813,23.926162874902154,27.06874737821954
48,100,15.01224164189906,20.916061837153556,31.77992589301374,20.614575237962946,26.368036588572387,33.49271765924905
72,100,11.162519666877524,15.981639716254904,23.236281824776416,20.706252425892316,29.003025413522227,37.151475180903205
96,100,9.172876784110377,12.584090095299892,17.437286662935712,18.560302195561583,25.619120936708278,31.383551366525808
120,100,7.579585547691702,10.78050371526309,14.874396017875846,15.198238082322284,19.391251389836736,23.26516531017517
144,100,6.574093736028635,9.140775008684017,12.237540664466348,10.865050978447728,13.352050541691735,15.838184384880629
168,100,6.289453657262309,8.075558807792468,11.004744940890642,11.546906051628858,14.487847005454057,17.12707380671662
