Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,31.779777719651776,35.54073613603978,39.5251555791625,29.350560195647525,31.65643351771738,34.51080981896187
6,2,23.409634810002927,26.20652471090301,29.279874995792255,21.556062156101245,23.73400167038089,26.37898724242912
9,2,18.79486196260329,21.03747475281922,23.404218221808303,17.39587417581505,19.425003987299405,21.770635858966028
12,2,15.947169628940532,17.774219326190504,19.931986200005515,14.138127695019175,15.841985785220299,17.781943061004938
18,2,12.051322915968221,13.556194571929208,15.217375580385784,11.341417438816682,12.393026189455565,13.674684806840247
24,2,9.692937639905079,11.00897518209906,12.323508080733237,8.926315155787462,9.774355095242415,10.763408141537301
48,2,5.835155585923978,6.6594989510833145,7.5476086377964595,5.364331647918121,5.908071097866233,6.548614942714432
72,2,4.525259430489682,5.0327112351937515,5.679741207826028,4.438179762584024,4.883329012176806,5.432629958759603
96,2,3.7610776473006853,4.269684031704796,4.908306491770251,3.5037935622572736,4.0287398981164095,4.598227351804189
120,2,3.1600833484503146,3.600942773429289,4.070210323796015,3.1375027771630535,3.6614295793503997,4.282097643601809
144,2,2.793525836817052,3.15708368110988,3.576679579710369,2.626637436531012,3.2711950027632186,4.112810934878773
168,2,2.5482532002378804,2.871875790997533,3.248925726177135,2.5916129392088245,2.922123109890265,3.3571852078229814
3,5,41.27394420008359,46.8650665074835,52.4070787893193,37.43030543243114,41.53887743700558,46.50657011012743
6,5,30.036305314866986,34.393986132216476,38.41019936580451,28.527908044417522,32.70138457906416,37.81107527537462
9,5,24.465038033547216,27.909678418856327,31.522835150979496,23.234499272459892,27.206771335695727,31.34639213827043
12,5,20.915662783183933,24.005456719087896,27.216471093212064,19.346543781041788,22.558375010564724,25.953786400159785
18,5,16.0438270343403,18.643839791626995,21.20152040995631,14.615860127090098,16.54866311257258,18.829303038757317
24,5,13.292528637056302,15.380684416740337,17.8194465640172,11.485506847208779,13.158058934012999,14.995027547502017
48,5,7.916656705184426,9.50717467318811,11.022087967567572,7.174191975717747,8.287364839417927,9.818548399330954
72,5,6.070829643741533,7.069727214747546,8.082122630381832,6.0335036134196205,6.82397862456653,7.868434448151291
96,5,5.140350113772925,5.960824350137057,6.827331446636743,4.903859599834002,5.809171825643913,6.942676226462012
