Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,16.93553191004859,19.426848446363465,22.240053775123204,17.150633656091365,19.224185339914122,21.45458722276573
6,2,12.904408995780717,14.590400817454272,16.351218478255124,13.335111394210308,14.815447494046802,16.258205652181317
9,2,10.442146424995029,11.686358649000198,13.247303587709524,9.882058642293511,11.070082775199705,12.230007093878417
12,2,8.67041027358514,9.811293435583574,11.23815886857307,8.281034498526054,9.188667505075921,10.072792847802031
18,2,6.720398044767892,7.573367734460584,8.568209795692242,6.011923308468878,6.7140839293735795,7.391062097061306
24,2,5.395780177916139,6.073747608292395,7.008713862375334,4.929918707941185,5.446605235449951,6.072406435965897
48,2,3.1256672104749406,3.5458409038519685,3.985849656268689,2.9456511365329856,3.2407335355662763,3.5642143341754515
72,2,2.1635784384968595,2.4532560135231485,2.7352633140874674,2.0184980466813607,2.236823004042897,2.4832627733505848
96,2,1.6903888698705551,1.9393715591708882,2.2102901299180266,1.4271936379638996,1.6281163593928807,1.8721552911251242
120,2,1.5043384938715492,1.704732121116534,1.9240039806363924,1.3826190176216668,1.525984446888668,1.7019829472270733
144,2,1.331023626929744,1.5066792022372995,1.6955759148864273,1.1896586148057686,1.3259045739711492,1.4652919712898858
168,2,1.2185263363624195,1.3771458175707834,1.5525784159017189,1.06727650007141,1.1813847175334296,1.3315463086806476
3,5,23.407055711244368,27.494103227977668,31.528987407319427,23.469281286092574,26.537754669907677,30.139403991514996
6,5,17.224273878114964,19.74811550384264,22.1680982975656,17.416687271820393,18.78090690576814,20.156109474788774
9,5,14.051363122277095,15.880329219382379,18.125606946553006,13.081248036199494,14.722532445938466,16.26205944445827
12,5,11.827589886908303,13.539285369714918,15.536027987423003,11.216571165561854,12.439186248311795,13.796447232122393
18,5,9.17169530084861,10.454247220741117,11.96067388397116,8.679889830557546,9.889566617885023,11.019740543711025
24,5,7.313644086367741,8.36132457089186,9.697425912732037,6.84297503287968,7.712779788248588,8.666652512359637
48,5,4.213487866208295,4.713043844721358,5.267752237201456,4.042672795781176,4.444364122567211,4.905075143475313
72,5,2.965709079414694,3.3385031414176014,3.750008084383727,2.683971733142714,3.038035375327971,3.4218000673187747
96,5,2.3575536039838685,2.7065037539620027,3.1105830650164075,2.156621538381254,2.568431480859116,3.0970083297916204
120,5,2.0332164109445423,2.3463081044404497,2.652130397972324,1.8444547125598894,2.080360575092045,2.3500914460175424
144,5,1.8163499075129508,2.0622621585657868,2.346713798123626,1.5751610203876627,1.8158310851073767,2.0437764295798635
168,5,1.6404802179909557,1.8724839765577417,2.0847935294372757,1.4183157159395283,1.6433218289842308,1.900247550068089
3,10,27.176583658495517,33.114140476310894,38.914671919052914,27.28444849428263,31.25166755319612,35.96408861509321
6,10,19.879745398128744,23.134800532181966,26.480115061550315,19.119657243573947,20.71650501288227,22.288140030892507
9,10,16.016886631893502,18.691312327703542,21.616855889989402,15.031805748026551,16.928909950335587,18.98341076379041
12,10,13.629513160655193,16.159294046172917,18.791947220223676,12.836492696931,14.624865993195236,16.55672344276001
18,10,10.653585278475704,12.406703694747012,14.531650962664571,10.790584311128717,12.534221459730368,14.118536737272219
24,10,8.488604075737463,9.899560325017127,11.628729528212556,7.947437755300744,9.359914213678769,10.751377146268329
48,10,4.7828357687966285,5.41759480466569,6.093372578903302,4.710990116784912,5.247560264370502,5.8431404667047
72,10,3.4259832228760434,3.9099928709587957,4.450267804310199,3.0814282677745894,3.6093402116626043,4.160309016658245
96,10,2.717853869005645,3.226477031934804,3.774183082826567,2.59616461266907,3.401815508472625,4.241425298735857
120,10,2.352991566801977,2.7859832776878717,3.2329072377278116,2.1430007082364497,2.5240727650651458,2.9764812408533476
144,10,2.0905383756990803,2.441140741296745,2.8430559985344295,1.859804172106538,2.1931897351896548,2.5366768763894307
168,10,1.866475850417503,2.194860125417207,2.479183655956634,1.659687522586883,2.0193656187531226,2.415206639683643
3,25,31.239945650022356,40.54934292303423,51.606016045344305,30.799826031394257,37.12813445376707,44.55361288495339
6,25,22.770862577250107,27.38205770856176,33.33661284953645,20.534674449511442,22.603570705161978,24.580119259702734
9,25,18.26933653503023,22.282451562584402,27.18242350044921,16.753559400401397,19.519826918331514,22.478200809667104
12,25,15.552521282175483,19.653232213619653,24.190761241287362,14.71029786420813,17.45325504501666,20.434695528942918
18,25,12.314548219556242,14.926192371746243,18.234885119158037,13.39950352073673,16.68040711825722,19.35426828100904
24,25,9.749066796051913,11.870502912559665,14.562188936074511,9.147181568730147,11.650012427253227,14.015599059318774
48,25,5.333761663972034,6.236924483149338,7.2878124591628755,5.348287955925185,6.278489720495381,7.1987020902353365
72,25,3.894339856858325,4.615831064333627,5.480337768104266,3.529670074084563,4.390112297044723,5.34937579933151
96,25,3.0930552532789823,3.8975370678773817,4.762291691578886,3.1460180291142743,4.796691568768818,6.414660907641062
120,25,2.6388142300933684,3.3590811403744434,4.131354818552524,2.459446162580456,3.2012026785494014,4.1812733149933266
144,25,2.3474140584712764,2.932803806586838,3.6404322796939765,2.158723194111035,2.7466331057906936,3.4612240269110295
168,25,2.1047977600570387,2.595933707946177,3.0712554194593285,1.9119018355866357,2.602837413601507,3.428934762752654
3,50,34.08254566530722,46.316990928600454,63.73071014704428,32.61223272873531,41.46761788501095,51.73041221562853
6,50,24.390408128074895,30.510118348729016,39.333076515476236,21.09599684040687,23.698805292898104,26.297921343586076
9,50,19.46144785935747,24.97532107340205,31.570006943352848,17.752181102065194,21.32246257311602,25.19694662108482
12,50,16.816326938286025,22.384534316826525,28.813208103541953,15.661032591403426,19.618282467466432,24.198726551688143
18,50,13.229830074052831,16.833962290193313,21.757635697156076,15.403275699147386,20.485834739148235,24.713525126744038
24,50,10.443616968724225,13.352670804089477,17.045285473965087,9.89738995151868,13.530087424772873,17.305122842433057
48,50,5.611603990488068,6.797481670686352,8.235668419277928,5.713281043195662,7.060399608677898,8.451448483506207
72,50,4.168402147642207,5.127996180556477,6.343927584632092,3.794094023811282,5.0206672431408235,6.459664390237201
96,50,3.355441756635839,4.4057231998420185,5.751291394698516,3.5503304584528657,6.16667697386384,8.881496347018015
120,50,2.8601418462808383,3.7972865165818335,4.865060908877563,2.6649207688389107,3.8115398902029947,5.503833529866465
144,50,2.510695317102353,3.307125754081112,4.364332809309381,2.3634271021160003,3.2252708338175586,4.422610793667631
168,50,2.2490790713424453,2.8890303450281793,3.5988422473450457,2.0794812200116617,3.137516112056157,4.513758062089956
3,100,35.85345716649917,52.26332959776629,78.44805293841824,34.00503711940469,45.78739370657393,60.11935751331155
6,100,25.647969206321385,33.596009450086136,46.64136270424987,21.50270180100412,24.589526041030396,27.974020097433232
