Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,27.78653508885435,31.687643273309547,35.60132289774873,32.685405770491556,36.801041860126055,41.127278180750906
6,2,21.39264527922238,23.902907719079927,27.05809118170832,24.54816657322185,27.320677594058537,30.29157491665689
9,2,17.121227070600323,19.285052557889422,21.781808994255794,19.278979174317016,21.986958870110673,24.87490577774588
12,2,14.578541382154373,16.345642154114337,18.69082414875153,16.43076933496232,18.588010277447903,21.47292117775613
18,2,11.465266589870057,12.782854861365394,14.786554370243177,12.956228334772105,14.803019251655762,17.0833713809674
24,2,9.69987723117201,10.785425726255397,12.152155778817164,11.309397885282568,12.442233990771122,13.849659897603157
48,2,5.763784626600891,6.401496323758195,7.188982479949633,6.737319993889546,7.530889223258644,8.39126275873642
72,2,4.147612692605885,4.580900260272075,5.101049682868425,5.36332133050377,5.810118956921874,6.289954523210559
96,2,3.3088451879415883,3.667122395517551,4.125645398455053,4.385695784304502,4.74678502264389,5.1442435641009165
120,2,2.795679780031352,3.085302586217038,3.4255412833012535,3.49368663060471,3.8730086573557463,4.233122521570994
144,2,2.4479259105022906,2.703269779988091,3.018907238624465,2.823443081865283,3.0977282760503133,3.4044928628793363
168,2,2.2450742454537305,2.4521669279263643,2.707779739608938,2.4648632361585507,2.686457652705328,2.9436929822441567
3,5,37.03853486256321,43.040054659242145,48.92480864854571,44.36685961316772,50.358215998628836,56.129316523197616
6,5,28.27225941918615,32.75043857839192,37.976113716457846,33.02803540882098,37.3536993830273,42.2762288204697
9,5,23.031234465706774,27.034385239901532,31.4669596303947,26.80278036785961,30.892613585789178,36.275072988125835
12,5,19.71609134716652,23.12992467550061,27.512969594556267,22.829566910619494,26.866241230402785,31.55953862494208
18,5,15.32786639844133,17.983586530336414,21.25797128319813,19.00814558718586,22.588788159493763,26.774817556276098
