Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,21.643712949458077,23.525409783262326,25.628622863548927,22.374367445744063,24.393440170782007,26.72795928938656
6,2,16.93649323902885,18.583528865255083,20.136250928520774,17.031062146224656,19.079594313461037,21.306459706050816
9,2,14.284924862222667,15.634903285132147,17.204929551035953,14.919986976491662,16.14493512901093,17.4817338715963
12,2,12.49178084791421,13.852469030113042,15.413029260657751,13.102084221926987,14.619162714170958,16.270965242766756
18,2,10.013647726195384,11.14417222115863,12.43188580767935,9.708539089148891,10.739922317204561,11.831752160499997
24,2,8.49096332802539,9.52561357662157,10.49277901718077,8.02838193140705,9.079807910649391,10.170444448157848
48,2,5.473663361905885,6.221997380818395,6.866219250093424,4.39486815482216,5.345149526358622,6.372348943268399
72,2,4.042160366036885,4.571021972317528,5.12662561583124,3.260962909297092,3.835280758154574,4.461615941852485
96,2,3.232248304866185,3.6421965840943598,4.1166821952497115,2.6349007824223305,3.111022796545752,3.581927434601373
120,2,2.7854241528447528,3.1704622412904615,3.580432573185337,2.530626444732435,2.8426922488396587,3.169744906592234
144,2,2.392800518319226,2.729405655601476,3.081579605224019,2.1177204321581207,2.3786932653258535,2.6562380844921942
168,2,2.185472937818836,2.474340420621523,2.812912945698616,1.8908884396352148,2.139973339025878,2.395425909366077
3,5,26.895290582096642,29.866140643561955,33.34310173496336,28.251672041691037,31.722544609211994,35.55556000980751
6,5,21.089515294774074,23.349813961393043,25.760507177537313,25.199179855590085,29.194558747878595,33.116653017729256
9,5,18.06311573765214,20.021932933243153,22.27195672736627,23.58183764240693,26.167219884558115,29.131016882322335
12,5,15.8935515125453,17.84469662070987,19.85224625157487,20.424855749263678,22.875193786316785,25.29786574377296
18,5,13.086127178117508,14.468386553815693,16.029195784306697,15.402430503110526,17.25639566735121,19.0363794663479
24,5,10.976306221149997,12.050995511224492,13.040698943426715,12.367319925873112,13.847750770257633,15.339253622445494
48,5,7.191421146535966,7.921876406437741,8.5578522789719,6.915189271726431,8.056615266792448,9.164033650190177
72,5,5.345336484541906,5.9795706130314485,6.5995006816714845,4.942755874192976,5.721084278159691,6.569279011468223
96,5,4.328293323414247,4.8826706664003785,5.430165445747528,3.9993829100810627,4.555718419973303,5.13214297475812
120,5,3.734090480771572,4.240121423746436,4.763937703053065,3.4539387701538233,3.873004848726836,4.304133003438111
144,5,3.2227953961777933,3.751325378914813,4.210065396126435,2.9593756669448603,3.420126142013098,3.888524206787431
168,5,2.9726748100059135,3.4038724624066035,3.8523323605296156,2.651458164482416,3.082957547156718,3.5731117561405483
3,10,30.340764058309837,34.527363418641634,39.86901356400688,32.615504220929225,37.36008645999599,43.00331188609512
6,10,23.392046908249764,26.546916229938155,29.887492998146968,32.76974119946472,38.50816496070748,44.38547330292731
9,10,20.40673264319037,22.94138053249849,26.146179949821047,32.73689242323104,36.88999334546771,41.09953396793102
12,10,17.984025259600898,20.278610477576986,22.72557630309779,27.298709610855763,30.372482993288855,33.275855979380275
18,10,14.725450796107886,16.42002037558645,18.283906747885343,20.86563375845846,23.19431577527113,25.338907578054027
24,10,12.030024952392672,13.365419397866148,14.492148802643426,15.840433141944803,17.551002310826107,19.1350780409007
48,10,7.996300539858375,8.736038648966103,9.404413147076863,8.281420935643911,9.614457307761004,10.759204441289619
72,10,6.015881600555851,6.732133130664106,7.419703906228056,5.942513922705357,6.881643489250628,7.859941727790481
96,10,4.9324104004460985,5.601915495368085,6.248221680358412,4.7801480320245435,5.437847892040375,6.121510042772401
120,10,4.257168359015686,4.88173292221665,5.51731033284112,3.9800268812784005,4.528106883751139,5.156187910776266
144,10,3.7023522390257697,4.4459054777385845,5.0947947232690955,3.6161522840469704,4.311486468422522,5.066045162308885
168,10,3.449882149294326,4.036690876229138,4.684059046409062,3.0842365781684205,3.8031317860772837,4.5575306019607
3,25,33.612477592660206,41.00287635796161,51.571510765668236,37.43281358171815,45.60630581641295,55.39651362678268
6,25,26.012931982084126,30.634256550126203,36.140238693276956,44.255930690692495,54.4912425949003,64.09541430696532
9,25,22.755425308611393,26.647117430234175,31.80697504417112,51.03118220973771,58.022861851639036,64.21640801896525
12,25,19.919268866845,23.13432910557144,26.810149868011326,39.29073810764297,43.05173495224652,46.14907490848624
18,25,16.073903621535052,18.634088703175294,21.584156732117613,30.2096673030636,33.26816051379606,35.7729035457292
24,25,13.106679895617217,14.705798204227268,16.186537611184757,20.56586323545143,22.978760200850395,24.866923900235594
48,25,8.653782254493345,9.507927687687005,10.44346818504295,9.580766286549192,11.363300268344368,12.891324564228631
72,25,6.614050657743977,7.517451757173729,8.538964716379041,6.876905796438657,8.265333200262564,9.477511909970596
96,25,5.550765810133039,6.408862225949012,7.346617342664871,5.488379706171842,6.481596078422694,7.391090255990369
120,25,4.7866438737488615,5.6236792712383386,6.590248719941458,4.461068505349441,5.334336666620611,6.358792227796878
144,25,4.228290721002001,5.344539156491399,6.523936586006192,4.33207991916241,5.75419251403537,7.012588702071068
168,25,3.949555908993073,4.856628266104474,5.963249689518703,3.5423925805727956,4.85794429327259,6.480137640200699
3,50,35.575826496861225,46.268959840730425,62.34710856445365,40.979545397841264,52.71155815705812,68.06502115571274
6,50,27.365743476536444,33.70133750996795,41.754257224542854,54.37281028642113,70.44284363304207,85.1626769893393
