Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,27.30321448358699,30.37555727027753,35.0847949446446,21.837872618101642,25.495092038671793,30.19902504728489
6,2,20.957462831938628,23.92992770128291,27.56802549316435,17.0166171169945,20.29938743521766,24.19718901968634
9,2,17.43931100315634,19.94516717160958,23.06057940103284,15.462897519509255,18.29077156729976,21.70482156367694
12,2,14.746398071105325,17.201912339748567,19.875077934373685,13.201758619036578,15.821718468352888,18.900517026194144
18,2,11.497015672808041,13.265175528263189,15.361339968353851,9.669499378417854,11.598198737486243,13.691184776299258
24,2,9.216739935476788,10.71002501028901,12.279151684969467,8.016558488904574,9.646252211552081,11.551255088088604
48,2,5.089862070397244,5.989955206181457,6.9926933628827275,4.412543709264652,5.138906537047351,5.973256828503239
72,2,3.605108628019506,4.222431231257646,4.821022004202652,3.010484008710944,3.5385001015889967,4.159132361665363
96,2,3.017673811992129,3.4651047796734837,4.098967653014337,2.442618750225149,2.891631191930899,3.401205697488969
120,2,2.5328780548598417,2.965019115988174,3.4717262464985357,2.018107597828156,2.412617814320319,2.887410197829318
144,2,2.285074362006526,2.663225640196627,3.0891557141671973,1.9563289822592655,2.27405637603571,2.6079473765573633
168,2,2.04629770186238,2.3736323634786776,2.7531161962839175,1.7960132177000172,2.100495703427521,2.455218293157179
3,5,38.26721426120175,44.62896132023002,54.36032367880868,34.55080730811514,43.04625575716211,54.51615834798433
6,5,29.21663546269395,35.1642480626644,42.476277170688164,27.67425137561179,35.07232162515557,42.8579878839756
9,5,24.38712938045711,29.242617666015605,34.84462926509627,26.41451559554701,31.80147876413801,37.52483663552032
12,5,21.27599791064417,25.502663862813414,29.67544512085191,21.799779333189754,26.268295595860344,31.48981197009256
18,5,16.7141205332783,19.67594837283137,22.975704047757823,16.3571699932745,19.191666218296753,22.270925090630765
24,5,13.530293944361233,15.790559422567497,18.221470922476897,13.753741752783121,16.160710888963802,19.156271573316637
48,5,7.437309907866911,8.757121668462618,10.291391938078398,7.043280647013972,8.04878683687272,9.256941027027665
72,5,5.291664599763871,6.2254777919141215,7.220682123673512,4.773701983974318,5.734704980925539,6.732459834892877
96,5,4.43198794831882,5.114700663555115,6.008827912939173,3.9135764023896296,4.643010662945886,5.4129451740515995
120,5,3.712054525802543,4.3014325724313265,4.961137237535896,3.3312352841774215,3.9642149684673402,4.67916204746795
144,5,3.3033889399519065,3.800208134729715,4.419778385904416,3.020437375931028,3.503012045736714,3.998682102783122
168,5,2.8898841552226475,3.3674310946713684,3.8690019713117114,2.7887911176497924,3.2476624320707286,3.684184753373755
3,10,46.35125441041779,57.24317402045118,72.92673050249779,45.43483890250799,60.845659428516356,81.67315014675373
6,10,34.613428370317536,44.903153224344834,56.47822659081427,37.33585596677112,49.557561769981845,62.996041688103915
9,10,29.193673989437443,36.857649123136355,46.64943752520937,34.513253145815625,43.566410023492104,52.929607000518786
12,10,25.58530630778938,32.07035980450145,38.591865396868194,27.53413767714749,34.14211783582704,42.63985136476744
18,10,19.81986090954784,24.5148171085703,29.233780749577427,19.981528749325598,24.74232570090907,29.750317104389644
24,10,16.204332248693888,19.490190199861118,23.56872627729844,17.312098873237243,21.010344427530022,25.62220560807623
48,10,8.758959094859483,10.640326568399667,12.623127301074108,8.514560361141175,9.979381808511635,11.62221855664315
72,10,6.286783105493782,7.607361909215538,9.049248280549227,5.9349797367029895,7.253255248716866,8.69790566121277
96,10,5.208447555169835,6.220985967102127,7.38725603651805,4.790036111831393,5.80829999043623,6.987320410927362
120,10,4.355184719793959,5.162825938196265,6.021370398553643,4.132831505774079,5.016404257842331,6.143354786658038
144,10,3.8368344988031273,4.516092236365173,5.306090289929834,3.642247659575938,4.311995489704719,4.965072242851088
168,10,3.4044894325822193,3.9808777705430174,4.602889684005987,3.338576272520397,3.998121480531933,4.616333653448004
