Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,17.98704703635775,20.40963739338563,23.30416619314983,17.850211395903436,19.969569165878404,22.39286920586447
6,2,12.733995477068738,14.462062782776703,16.380150670670442,13.472493741228373,14.917280629729653,16.628661190516063
9,2,10.199681116859473,11.58763376379764,13.121459808113098,11.518001891959983,12.853191615501144,14.291172327224842
12,2,8.596769870310151,9.698446821458182,10.921544079130317,9.753360315470823,10.799186934921323,11.977960620608556
18,2,6.613520571315132,7.4433825676368635,8.520276201188608,7.040833983013872,7.8737247098012055,8.767649948887431
24,2,5.392534135154778,6.006351991787261,6.7851995092484145,6.195745688033496,6.816212620703949,7.585503760574321
48,2,3.1044736069718493,3.4753669685842787,3.893902619035565,3.889785602854375,4.336343904133928,4.817623439283109
72,2,2.331634153898054,2.578856188372453,2.880914273141732,2.53515759387329,2.857547270131801,3.23727588349736
96,2,1.9479335015384485,2.1462829208854686,2.386669795666237,2.1607688767641084,2.4216610710168163,2.6901086496706506
120,2,1.703070355182096,1.911888286300623,2.1377128306676925,2.0291169828500317,2.2637708608159026,2.5312403092805473
144,2,1.5471101035977526,1.7179496100164107,1.9166887426163526,1.8297919727327687,2.049425492327418,2.315335434281704
168,2,1.3902955921790787,1.5447524391783993,1.7097505021276684,1.8344581993159024,2.0884254537398395,2.385699613003943
3,5,23.71538899259247,28.26306498886942,32.72615243677513,24.252933768720716,28.50351604021465,33.26276745424458
6,5,17.10179837761499,20.177402423734854,23.476667219972356,18.47349142134443,21.381480228224497,25.13250911907425
9,5,13.844635816110642,16.10397114842197,18.712259634557086,16.315747680818262,18.92129817425344,22.261365002691644
12,5,11.654322606469119,13.509480212224183,15.621344392156491,13.386526845691403,15.375564984995094,17.76099762191922
18,5,9.102330025289197,10.512561115270667,12.165604884163908,9.364938450112389,10.830518078169105,12.558377423055564
24,5,7.204363768046802,8.368956739628409,9.682284748137105,8.216613833200519,9.34180943394898,10.60989607029486
48,5,4.129611969657385,4.735954557597787,5.49118403075234,5.621261658687748,6.5364340999613955,7.629499046098344
72,5,3.044480395244064,3.48639907997517,4.0157952829251204,3.7134987861530293,4.407325354549293,5.268564717688641
96,5,2.522405334842732,2.882199899044531,3.2566287429489105,3.0590546820298545,3.514236462957488,3.995672444610546
120,5,2.257455387053559,2.5872566538677924,2.941834676705602,3.0659231914622858,3.4561286143514005,3.917240305411232
144,5,2.0259684590793037,2.3457495838111067,2.7093977534696734,2.6136192440494597,2.989928453801358,3.4238842785869714
168,5,1.8174533218676556,2.093413071007171,2.3898499693405455,2.7369820814183807,3.2251703659265507,3.7775146503003594
3,10,27.83694507778095,34.134806388080264,40.592123908441565,28.82528930696661,36.13360700663652,45.678755973415676
6,10,20.01288731290869,24.576133183466357,29.00751400617711,21.455907122079715,26.88532508082767,33.75006812407746
9,10,16.359426228613586,19.631410240240303,23.93399514688828,19.738600439061806,24.4631721946844,30.17668655373104
12,10,13.736571268195487,16.583844127013847,19.8139887800184,15.70840714636854,19.358792728183985,23.667117340578145
18,10,10.7734832831363,12.923460234783594,15.595361909967675,11.005956679257897,13.19727559256774,15.958140651016787
24,10,8.498683959529481,10.210832997539042,12.186801534619953,9.685108992852534,11.341132291087904,13.236367451996472
48,10,4.806973477966703,5.725725266658172,6.858008710280977,7.02792846256318,8.624150209165165,10.43957059416737
72,10,3.509716765815078,4.170810369171297,4.910372424414364,4.460010822804171,5.8860212863230945,7.407686556400052
96,10,2.915400644561384,3.4349801825603787,4.005160632026904,3.7239009775278333,4.555347910323652,5.439716724572493
120,10,2.6040574742336915,3.074717942534444,3.6468501018167854,3.909743909795728,4.55014446312401,5.182353110385668
144,10,2.3535432763452344,2.8105081207961717,3.349045782399287,3.2024574844485114,3.7427721300578307,4.3659872859956685
168,10,2.099792601413797,2.515351467303375,2.994447122578399,3.445677266079157,4.172005351850736,4.998926256025119
3,25,32.49352922024477,42.41887530841295,54.53927841433443,34.308646278230064,49.09575534380072,72.4641889604386
6,25,23.216691825660625,30.94857081289178,39.72950782368727,25.661264155155827,35.79038542733449,51.19896324297932
