Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,13.682740960949744,15.698939105709968,17.886146183462724,13.666677345390514,15.48236704509743,17.50983423740935
6,2,11.140301301209103,12.53944080413597,14.231270326133693,11.39847724811524,13.35802418782349,15.50437652058018
9,2,8.813741136425115,10.173212141583432,11.451549972722347,9.04728599837566,10.47443640264016,12.079467923701415
12,2,7.528562710943476,8.460640036055473,9.542368087387018,7.530024169303692,8.693660211117898,9.921045178562588
18,2,5.60100089607645,6.271277083560241,7.060240250017553,5.863770699963966,6.603693710582006,7.483954340939808
24,2,4.487351932393953,5.051399258660755,5.651046721789296,4.7942399011204895,5.378686780228886,6.043979510467489
48,2,2.5956669135743136,2.8827843141051117,3.222621473183897,2.4632310245640223,2.733630741105004,3.0247905158033763
72,2,1.8517686951461818,2.0483511431390413,2.2832875410714504,1.7915404721971142,1.983751129877747,2.21599688622147
96,2,1.475031514357696,1.6498420372644378,1.8329737589328596,1.528309934841643,1.705995303571454,1.8880646547214122
120,2,1.295610082832424,1.439107282140016,1.604738909720358,1.2992146231699613,1.438147390865642,1.5823242756766744
144,2,1.1499333769084923,1.2951992376497348,1.4491093153457508,1.1599858754089813,1.3078209779671013,1.4533751485341933
168,2,1.0728334509485853,1.1960833740829229,1.3512875796160853,1.167201801829205,1.3084213387592318,1.4751590100993357
3,5,18.832485753990298,22.384217079352325,26.027559711837995,19.385368487755343,23.12064410774329,27.928524917052194
6,5,15.267133586008711,17.576316130458416,19.974187230747162,17.65759240027937,20.973365596484246,24.549135885671554
9,5,12.242658711407586,14.05814671358317,15.922404984414836,13.427580429466513,15.699041197403002,18.24942084281098
12,5,10.157025711819195,11.507139947290593,13.127580586093238,11.163645204746603,12.785660105866679,14.563884869193107
18,5,7.412934523254425,8.419286823309678,9.613720061656919,8.057427275656556,9.117123995235382,10.441939247633467
