Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,23.952049255721196,26.99219005500855,30.82069094226422,25.374444610770077,28.385442942207614,32.206089685369164
6,2,17.460865270633917,19.898275848365962,22.41054078362925,18.22298708259433,20.45426749974093,23.404695463650704
9,2,14.223627994061387,16.10960917291083,18.392597447366626,14.82502623975304,16.870424738610918,19.045199976571922
12,2,11.80623524873645,13.47002281169273,15.462110052635458,12.433024462927083,14.048256822728039,16.004432842355165
18,2,8.854663134160866,10.225463580822069,11.64014646734912,9.482021166985145,11.1882727891195,13.425294948773722
24,2,7.27205425088984,8.368514087144732,9.785188146600316,7.635289221193565,9.00910853429487,10.637867807313722
48,2,4.141816933714261,4.845313339117417,5.593813765888444,4.452084633035675,5.228400751626581,6.107227993175334
72,2,3.129892197754289,3.5938383521320607,4.219235322609554,3.320050128541294,3.786896479728473,4.392167713596581
96,2,2.555458092303525,2.962588188698679,3.4688061554299887,2.589250809154988,3.016848923599089,3.4884745085466333
120,2,2.187797527654705,2.520553589648504,2.8967368443170605,2.332484553631044,2.702854793892164,3.1125189182265274
144,2,2.022981357318283,2.3002649296727498,2.6007636595277663,2.0166748360546087,2.337765280834616,2.68856476029502
168,2,1.83217087986353,2.0923545562746777,2.393322864674796,1.9381061086070486,2.241905699779883,2.561823330197319
3,5,33.05128126166305,39.423828488428484,47.050064276459075,35.23457073970788,42.169048829385396,50.27197532041633
6,5,23.980084758005013,27.978963965334245,32.50157960546953,27.727300249020836,32.08420188363111,37.64452814591959
9,5,19.372677044534893,22.794368405752913,26.548163158599444,23.52941188310868,27.180708970459882,32.08897023100498
12,5,16.46693037251447,19.418740492859556,22.990386973960064,18.90780220652123,22.269294279691433,26.212708834479443
18,5,12.60045181311047,14.971045507366597,17.425489872471825,14.92101025392478,18.095964315342076,22.382451440617594
24,5,10.33767741362266,12.362087249810351,14.727485282926938,11.938147009257099,14.464546119002748,17.35919941260643
48,5,5.924972621177263,7.094759262416922,8.402064443924381,6.680881181292845,7.975808204663458,9.33956436823588
72,5,4.424366235266717,5.149712281576197,6.065521598736093,4.979914605327959,5.803831077995768,6.7756474125816375
96,5,3.570039986942386,4.251185930771284,4.973295934993058,3.784866417194797,4.509443594011326,5.225692476410687
120,5,3.118205402793101,3.6364436881534123,4.275048279008849,3.5268062877768154,4.126093252263307,4.859812655820891
144,5,2.8166072311931565,3.2496395701444634,3.699945151555975,2.907344516436715,3.4399577765171996,3.9719389466711847
168,5,2.55787980210372,2.9565070480999776,3.449853831282598,2.8054653897454793,3.2559592069471868,3.7532059911344136
3,10,39.50383273946967,50.48494767460683,63.03679341354553,42.69420319781713,54.42520567651266,68.44827331453337
6,10,28.027434278292937,34.38860551889726,41.40843142114544,34.50284094587923,41.909420161761396,49.76510474516512
9,10,23.091199994296044,27.968637151349014,34.641025288935,29.644738604423555,35.7936775288568,43.32154308779622
12,10,19.64137654235369,24.159721495689745,30.175094251826312,23.56164314383204,29.18202601203947,35.40994983218583
18,10,14.892521750728246,18.748664035190938,22.656549611198933,18.41274382746488,23.955182198325517,30.226440011063602
24,10,12.394183561388424,15.470198989931788,18.648711514314783,14.878037303755388,18.76838524420202,23.418582858509254
48,10,6.999902502854194,8.843529534195554,10.789101460555523,8.174269255441109,10.028707622142221,12.429584098527137
72,10,5.2408527543799215,6.294190683445102,7.53641645963263,6.051846622847513,7.280827881174764,8.7023882464503
96,10,4.247133109621499,5.195730635681516,6.204766502249415,4.534421874104944,5.599673813898879,6.779616257918658
120,10,3.6882480847153256,4.452364152790048,5.352834385045211,4.304431017023836,5.20515306630071,6.298192786425617
144,10,3.3237018992248055,3.9249941900129146,4.6166421113099565,3.4772752084004894,4.264921645006882,5.062825284219916
168,10,2.9935485899989107,3.5500996358561245,4.289272082088471,3.355992159061321,3.9626028327260254,4.634643766191336
3,25,47.259076820607675,68.803836057543,95.28629395752162,50.52502389051011,75.05188262823454,103.83594930961854
6,25,32.74303019829501,43.93475027855368,57.11215637732231,43.09350717901758,57.60732938913641,74.22089664547515
9,25,26.841966803962464,35.503877967724875,48.47534874438833,37.324117693464885,49.37522614598264,63.869589358596556
12,25,23.666311248848736,31.25149686200247,43.51401775058042,29.23206375303139,40.204515898873275,53.5344947021659
18,25,17.322287900404532,24.393227884345773,31.96937731596759,23.216949410694394,33.35898073843123,44.885369631840696
24,25,14.905455569780774,20.019228759100532,25.63063630881286,18.159379763316032,25.233425851185842,35.0727523031103
48,25,8.298859016801504,11.400448014229127,14.749356185879254,9.748499373850777,12.96298905610541,17.6804901491991
72,25,6.113428222323198,7.885045106953932,10.042135547538278,7.235969585306712,9.350039003178217,11.959607331976706
96,25,4.941853441747984,6.504468822394921,8.196288739281721,5.397124673896352,7.124653179371062,9.36220552749338
120,25,4.346107492808398,5.580328239620098,7.188348709718953,5.186764189014198,6.764616379196854,8.768859136373447
144,25,3.827180714829246,4.835589096646281,6.1261443356719925,4.1656344704373955,5.443015567503301,7.019382924143235
168,25,3.526211927939786,4.325459241702868,5.504419567209684,3.909791323243448,4.908233513884955,6.065502162840032
3,50,53.1419573551573,86.43019786115346,134.5769921731228,57.015751094823386,95.4711437642509,146.04498991509047
6,50,35.946706428383266,52.23510877114309,74.60164709725903,49.345322424641694,72.34526180345247,103.51716978346343
9,50,29.1050294813342,41.916188350757,62.42469133809764,42.6747603843329,61.94055931090571,86.14549596472042
12,50,25.962304064830782,37.443591024515825,56.666981142752974,33.112471131810636,50.55227538577114,73.67440460415523
18,50,19.27905965370985,29.31655066392316,42.79748901443169,26.722419237738073,42.23104802509951,60.63304167427719
24,50,16.465928050357263,23.90899684253039,33.239768462408485,20.593191194987938,30.96301129311773,47.26600676121204
48,50,9.132552862999837,13.584692620510765,19.367202552541308,10.96816260016418,15.442595145475046,22.880269059998106
72,50,6.657693208715388,9.179490284777705,12.46361055169574,8.000193819906933,11.062715855460768,15.105646989891918
96,50,5.440725320460285,7.566073774993904,10.403846102048114,5.923385118248489,8.38597407259188,12.053393308187172
120,50,4.80026383637714,6.493300008242241,8.924395778921088,5.853832188550662,8.094014347269162,11.03477958342872
144,50,4.141220555019245,5.555045243349895,7.559895141219828,4.631836613912801,6.435755233576444,8.913591925606978
168,50,3.8058767057879317,4.919535288760538,6.549008524598031,4.3351449942785445,5.656696901536865,7.487573147304161
3,100,59.00067625049679,108.27779749676043,188.92021846509118,64.26156578033257,121.6888053818532,208.45490856915063
6,100,38.375860845435334,61.66741787012117,97.95518861567498,55.41118225318745,90.37184209011701,141.23528558917474
9,100,31.354068717408644,49.07007719528646,80.54283986361139,47.38088207998688,77.0915164666831,115.48795642020882
12,100,28.112248129464433,44.50530425644845,75.57218696097905,36.91057410789372,63.22749265732496,102.77817464838401
18,100,21.40078429326664,34.92628015920119,58.09051037102272,30.160780906400866,53.13371541190908,83.1359881228583
24,100,17.833382979709874,28.26647312496651,41.97489989926662,22.632542819358612,37.640472798022024,62.95959112899557
48,100,9.94115620387975,16.02954834264451,25.12861895162134,12.109369742211133,18.217386683362733,29.695066548824755
72,100,7.1482752503609515,10.569444438850592,15.858860399958932,8.684813207997328,12.943246266873786,19.234647223024623
96,100,5.913942940951722,8.703006884037675,13.091066298914175,6.401154614755207,9.771186871166506,15.390518287587788
120,100,5.231951084667099,7.469235864367086,11.07225997957453,6.38758916542589,9.59051095538556,14.397701274678983
144,100,4.446196953451098,6.308469091076212,9.378435560574221,5.098318230793581,7.5422414529619175,11.236857995252658
168,100,4.026465920719387,5.5256148518979655,7.917024702111424,4.663436102159054,6.447538440553593,9.21619208362549
