Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,30.906012728996533,33.04284166423445,35.610985935974455,28.721832614309754,30.91411200866969,33.04948096110701
6,2,24.10117789741276,25.951396686939013,28.053061942620076,23.370750568567587,25.084476494735497,26.913996688666586
9,2,20.23244734436056,21.843316104498935,23.534806432962057,17.841101831862368,20.202017859663208,23.448496450080643
12,2,17.945811437046263,19.346044626530308,20.968405048308462,15.478075573013204,17.71288710803612,20.17684278993582
18,2,14.684032551642854,15.937852499705745,17.155859758701475,12.623388132815375,14.013905481669905,15.67002037922309
24,2,12.894654404420674,13.952048433230164,15.063321269535379,10.680795258806954,11.938985929057244,13.265549314213605
48,2,8.605640618412174,9.474604060652284,10.427450951592848,7.961335948914302,8.707715431391149,9.50497338429054
72,2,6.619811022887802,7.160985182550018,7.817081329290653,6.167773718355431,6.63381550301536,7.121115762460876
96,2,5.4454748863104285,5.917508898491631,6.465538227237586,4.875657692318694,5.203165969688693,5.590928331863003
120,2,4.668723516744096,5.078352964688325,5.537355863654923,4.338493092608675,4.662964537650613,5.066839444898888
144,2,4.159045383038098,4.516761295398695,4.933380611412681,3.7726310723801637,4.08251772603297,4.425734256027205
168,2,3.830894115026801,4.139760687415204,4.479611370695622,3.426475330418743,3.8200380702515515,4.306214281372562
3,5,36.62857600274702,39.270766086782565,42.361287942498734,34.296256788551844,36.52743224205641,38.708119840409566
6,5,28.925502963776452,31.370774115063465,34.13708067785231,28.168506475336606,30.36699466522311,32.54969434733629
9,5,24.40124122110519,26.437572879168055,28.56161828530699,24.659202421015586,28.394874680987222,32.59423755506218
12,5,21.397294505286336,23.406813318712203,25.506702539776207,21.72987475292645,25.07545246280737,28.402863968682045
18,5,17.961325792408957,19.55623781253075,21.314599365793004,16.814335076987245,18.896265198926763,21.265160745073835
24,5,15.820189629106633,17.40256458478292,18.920855631228925,14.23541544788198,16.197861188046698,18.25541754056512
48,5,10.834519231360094,11.90866830692995,13.046193217135187,10.604100286496925,11.680957688873827,12.864259619815549
72,5,8.08551380303562,8.935115911071682,9.872555115554727,7.6097665041409694,8.185407549384001,8.902394667877758
96,5,6.693877825264385,7.438141020858428,8.282080163217623,6.013324746397247,6.5338428133549815,7.202341967012822
120,5,5.793870951225129,6.399949245223462,7.094410905402015,5.434357979487726,6.071442918534312,6.846985834007544
144,5,5.096206417917862,5.669455630855336,6.264529604647615,4.629599885670492,5.093153530159921,5.608463874576545
168,5,4.677027770623271,5.119806908428901,5.59318822239435,4.693894433712066,5.31481808677035,6.067269911644429
3,10,39.683827157825405,42.74587811301691,46.23459242600363,36.64737270706625,39.12104004862646,41.392216620142364
6,10,31.568196676662517,34.70767681523637,38.20271613101403,30.63428340323332,33.50771426901528,36.459497508093364
9,10,26.840674795037856,29.352907287026305,32.213557203971426,29.50377213836448,34.16346868592282,38.71263541784478
12,10,23.525895605739997,25.894192276008877,28.42844803495208,25.982231377837124,30.24289083519122,34.13661770406681
18,10,19.802575292712397,21.850238213892773,24.211457524530978,19.550005553585464,22.277413712183105,25.259621802051377
24,10,17.43983100970811,19.62523391500243,21.865332806017605,16.376296308518043,19.130174986233314,22.00517721299134
48,10,12.082174869943685,13.404146081178816,15.028692528434188,12.127716744856617,13.667375337129874,15.20129456660575
72,10,8.965977422210184,10.097593406310406,11.341857287158405,8.365395592569675,9.176450071871157,10.204248658928645
