Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,23.01076334196783,25.661681384993642,28.624506227817655,21.78121523487367,23.752510410297194,26.020173787742664
6,2,17.24475664710609,19.41530331875448,21.585818301158795,17.61203973562615,19.473521048246077,21.208389376117758
9,2,14.085715748381187,15.768321237178984,17.616713554615938,13.662293061159055,15.064449560518122,16.568990886557472
12,2,11.735174972772759,13.05585237762098,14.47916007418696,11.340496615334981,13.072130078399702,14.723712051644139
18,2,8.79085579286637,9.742565144436128,10.88360580265351,8.330425142371347,9.435833051676427,10.649215388833882
24,2,7.356411474445014,8.118731263764916,8.9686143824286,7.084197684716674,7.82130998897283,8.719383163854964
48,2,4.549583267865863,5.0431128652701025,5.659558901506772,4.154098647395164,4.841150814972004,5.571733719688314
72,2,3.2993843312486333,3.699642791896621,4.216699194624946,3.3976863806389517,3.8093982820567067,4.202047049132187
96,2,2.777073178671626,3.1044838328261424,3.464677415552135,2.6243122658228772,2.9930805812346404,3.3396569036222283
120,2,2.3565524895115733,2.6330598587396183,2.9029383227096073,2.2360611175786054,2.4389856456987693,2.670738835189314
144,2,2.119870972727562,2.357291676887226,2.629232402809089,1.9024764007162052,2.0954538514493,2.307479497355959
168,2,1.9512933541158817,2.1427892949223724,2.396441752029511,1.7877845137987163,1.9856667147218898,2.2145929014467205
3,5,29.60921033591866,33.95619712690798,38.31586850533424,27.71210891259004,30.56419312437469,33.86085229529639
6,5,22.696787261666856,25.965841998653417,29.435712581545168,22.41848183988978,24.398307085300193,26.322787972658674
9,5,18.641131529839484,21.06033432857713,23.595645808689618,17.31450685914604,18.90095232075629,20.51038337048289
12,5,15.466042344001693,17.60227311948002,20.20108786422871,15.53017101534321,17.459507600215307,19.17499104862378
18,5,11.310051736522059,13.07298603317896,14.944513194988362,11.522779570858312,13.3497412666914,15.200448225915114
24,5,9.547583573800154,10.856197758169852,12.517449838478157,9.234235350682992,10.342081633027714,11.658625199420209
48,5,5.981831324878506,6.924129102223121,7.961462723712685,6.200726984814127,7.0922028262633265,7.93746416400875
72,5,4.374729998473795,4.985724178040945,5.752656153882779,4.476195400679579,4.937261919888903,5.376839359821265
96,5,3.644334685366296,4.11702233918901,4.604805210910168,3.55888584989815,3.9414854219850692,4.321629165880296
120,5,3.001033132539776,3.432393168118418,3.8192618289592204,2.886287010754147,3.141992171348019,3.4007963617727706
144,5,2.771726746052084,3.117495329949265,3.511000123859282,2.5773294624169045,2.8049287198541766,3.037403657561196
168,5,2.522643291848887,2.864917243413359,3.227349536633424,2.413459058175357,2.6509433522185977,2.8947622387593026
3,10,33.68220238130166,39.84501580037805,46.08028575126254,31.250954048822813,35.18020547939352,39.83327567171045
6,10,26.19977933849536,30.56936997914881,35.56014406775503,24.883153210164252,27.0977256862949,29.306172130302684
9,10,21.18325356679825,24.649955838082928,28.280818133626525,19.19062824907944,20.796708850777023,22.42853149687114
12,10,17.811854897084196,20.841338900057636,24.415142446962655,17.47516638807913,19.677360483874057,21.57498963377722
18,10,13.105071187972777,15.727425938295124,18.682313425190642,13.517656928689917,16.05773751249489,18.54946880036727
24,10,11.04851401293684,13.017062963691266,15.863411449741672,10.504640871049075,12.050070498749369,13.795573835244287
48,10,6.87691450590151,8.339676852983391,9.838412276415728,7.243771026943122,8.362252266259983,9.42880663272856
72,10,5.088994435352671,5.896841297119141,6.984939357994867,5.003996578087194,5.5345778748733805,6.037838104635295
96,10,4.16013584548009,4.789222653560341,5.488945151354946,3.9940062346292056,4.427801056962362,4.819926752455484
120,10,3.3886150991585353,3.990260641786165,4.5523646913689895,3.2121096214107814,3.5183938458610458,3.803879544835763
144,10,3.142355603746848,3.6614596388243177,4.205361412824335,2.863288610227889,3.15613030413469,3.446312452780224
168,10,2.903090666415662,3.370723966312597,3.9085122984004608,2.738610562503484,3.006480354022607,3.292074328587155
3,25,38.28013982685424,47.770814665821106,58.06240833472816,34.91569546196685,41.19816537393714,48.219020817266085
6,25,30.123304815138354,36.70827023667039,45.96685579246561,27.155745250008856,30.005772924561867,32.856358650027076
9,25,24.16271700156534,29.285657481965615,35.78989910607603,20.779418115221993,22.66355568498501,24.558795327795018
12,25,20.534171201040337,25.21463561871483,31.608215291722786,19.226870614414587,21.902694613528524,24.46709090794463
