Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,25.975237347944184,28.546379082163604,31.07365018979086,26.10295585640592,28.73280759888859,31.35576287777169
6,2,19.43373889156898,21.14917557574292,23.153266907398596,19.19951575842861,20.629597459155583,22.442244105858936
9,2,16.04454932409502,17.404612511325553,18.923675544160616,15.346802423790045,16.449557846963692,17.63181844652657
12,2,14.197426892941326,15.490880187491573,16.910211817266607,13.756507971795207,14.68864802235409,15.819512052679492
18,2,11.936947895377424,12.974452345724472,14.214700163562053,11.371910716869232,12.286547822451716,13.341376441196722
24,2,10.391331190617915,11.311270038605667,12.488601206795483,10.194885322056244,10.994084216529114,11.93970937043426
48,2,6.833981701898617,7.57121529447074,8.325670789116234,6.593772684753475,7.195399312688763,7.82572271027658
72,2,5.259092104164143,5.853051155392897,6.507928225395661,5.145771274482862,5.726971957269915,6.422118037078256
96,2,4.19024313486367,4.69124232914101,5.306219834188109,4.06888899159821,4.632227017491068,5.319898776788997
120,2,3.6510140970871916,4.0539324323038395,4.552894157022548,3.53268612633011,3.972221314183815,4.458863640393541
144,2,3.1480074094821395,3.54244187561034,4.002681417460035,3.0135219109675617,3.404851122324083,3.8596910735122414
168,2,2.8212992805800647,3.179170922397816,3.660142591916651,2.751112574243995,3.062273595985379,3.3801108032683813
3,5,32.20965087733143,36.212180847164355,39.84987581262131,33.8777940375595,37.732820802821905,41.74230138834281
6,5,24.041744504043216,27.08798564611618,30.30374012500325,23.8895646784228,26.315263819407967,29.404931096819467
9,5,19.761912867753793,22.502756492923368,25.282104392115475,18.749435918621245,21.00055691628042,23.597484732879025
12,5,17.865577110935867,20.133336410831873,22.44857632310749,16.565745458767783,18.596037304954674,20.78268001409358
18,5,14.863656985685527,16.576229895666653,18.54342387308859,14.074133995853895,15.45646807454364,17.25610737798121
24,5,13.014740521522903,14.319610381665633,15.81461714393863,12.758407274859731,13.908605767428565,15.197754502878208
48,5,8.654177980284796,9.98955840226191,11.34346435769584,8.585170120220146,9.628318762034795,10.948925524321815
72,5,6.88275534839935,7.806678868052382,8.930679461804878,7.15067590010037,8.104226459798358,9.173774747707105
96,5,5.5495289238797625,6.359345782773694,7.253469283558948,5.813000169472264,6.762833794617919,7.878260910879303
120,5,4.8695264763683,5.539226897329655,6.337242787028032,4.790832691739635,5.430034519786755,6.051455431868555
144,5,4.2060547100726335,4.935572647089786,5.700038297045669,4.139390402102219,4.83078360424842,5.588171326767604
168,5,3.832088114091234,4.4934854814815,5.286591671457812,3.688088507774772,4.228385764717625,4.7553173316613595
3,10,36.0235254458388,41.3281024484329,46.92519809491371,37.95048963603948,43.5897419567404,49.3711457173447
6,10,27.113748816827894,31.692293955378666,36.82674220629949,26.542828839238545,30.698251308711974,36.16088615498506
9,10,22.41540227512557,26.71408988480209,31.50685089222568,21.004063907099624,24.940674135622096,29.25831522331108
12,10,20.553465388863536,23.871691403879957,27.97191752769646,18.344478930093725,21.887193519041393,25.96883518748917
18,10,16.58422775057435,19.160902246272336,22.169266076583856,15.638670789857112,17.792693068846276,20.685873603108107
