Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,27.587312646585787,29.807496184551134,32.515627973281006,21.09102084353607,22.727753524446722,24.320094964378953
6,2,20.872692917800563,22.593684522700183,24.237283333667392,16.384490838712335,17.295160974086137,18.40421055489643
9,2,17.428862829664546,18.657681687549395,20.17746372901434,14.052762329790571,14.642770952984904,15.329814632441074
12,2,15.033621780313982,16.142620264322645,17.702001744248392,11.806255451963024,12.405678138284099,13.031448395059567
18,2,12.104275324600092,13.1534686328217,14.350522384739795,9.270821547117889,9.76980839654608,10.37665624276206
24,2,10.32594846685797,11.28368391174804,12.43723934679312,8.00892497920971,8.426670152244073,8.95091690022688
48,2,7.027332011080679,7.681715298467973,8.422657295082853,5.041260432348141,5.4439600904189875,5.927848441263755
72,2,5.390242287470279,5.921183377008632,6.416406502437203,4.462208192989811,4.884158527002189,5.356973369294916
96,2,4.558827548559215,4.978309169883946,5.4067341077336595,3.6653727386323123,3.9793954712933193,4.36898965818265
120,2,3.9462467804122694,4.299058014755486,4.632387503610749,3.486241907837176,3.746629661034585,4.035228419873754
144,2,3.5032672884207576,3.8165669322743465,4.143155217211465,3.252751495350739,3.497138714383862,3.76398426852156
168,2,3.220080177727933,3.5005381181572934,3.8072936907218153,2.8380208981934514,3.050196307514182,3.289106689376382
3,5,33.53293143931246,36.95369763550272,41.03210665479733,25.989686382596048,28.299620754357623,30.73889231948766
6,5,25.305731280797396,27.7904009905048,30.0866938821857,19.637546898406825,21.147161089529924,22.652346032782
9,5,20.999122521687305,23.109009478872174,25.271539617647072,16.049952782811754,17.064603494660027,18.06151531018523
12,5,18.321626377007284,20.13315909464016,22.52932520362473,14.01345197916839,15.063148049816817,16.307949625037942
18,5,14.919018002492432,16.49106595233822,18.141775784397208,11.134658036547426,11.917277642591795,12.828506312792332
24,5,12.890275957990713,14.27628049419432,15.928527450456773,9.619588034557182,10.362241550989376,11.29165655960863
48,5,8.771725876287796,9.773994720885375,10.7822245158684,6.450528179267266,7.053608210236921,7.863510630222084
72,5,6.720584803783959,7.442943796760969,8.135206576418787,5.76024714393437,6.396708367822151,7.164579567527508
96,5,5.65437826703185,6.217079471907921,6.7860284515009965,4.7147434413454,5.1590245519584705,5.762422725359297
120,5,4.880112088003305,5.424328194881896,5.931005383915598,4.310761175245867,4.65440835616909,5.071758571675519
144,5,4.325600420069975,4.783891333948504,5.293827609546641,4.2844306333750035,4.774921910109723,5.35724992377806
168,5,3.9551583115646505,4.331765452690854,4.741031875468121,3.649911287979416,4.0658219919725465,4.588499679767038
3,10,37.2180466036063,41.72511289917488,47.24942956502997,28.879712010342658,32.15130319338395,35.79957401455442
6,10,27.678143310232894,31.39785613111033,35.1907404028244,21.829588440455588,24.195104064507802,26.717268433160626
9,10,23.173085427682953,26.19372719706587,29.404813414365456,17.353696246781336,18.786269994519493,20.356954567095563
12,10,20.30116060247935,22.949117776844716,26.40434765808571,15.628142440621186,17.225124938554277,19.234503476094545
18,10,16.616139067049964,18.78072304086478,21.05437191153969,12.357822910611556,13.53677038255286,15.092749485338832
24,10,14.438033646302653,16.38753410571525,18.895616443764418,10.817171971220453,12.112422050111128,13.82503588918662
48,10,9.751689677503144,11.107429136409664,12.342667548062852,7.232761638376504,8.135807078916203,9.35423969610908
72,10,7.506019433829934,8.376195099702324,9.340110265252742,6.535699836112748,7.3852792910675165,8.464529054194756
96,10,6.2994963684549035,6.9849439200953025,7.694478454740894,5.335592663526565,5.913363245713211,6.775285953602054
120,10,5.40916829434106,6.175731795612622,6.92259353123116,4.772699626266979,5.312259195756728,5.906858448848759
144,10,4.814605051877479,5.434397978378315,6.1084421855542885,5.144359228544087,5.934343608570628,6.850940385080699
168,10,4.3477698160103255,4.877131113425457,5.469911754240147,4.244231185351422,4.975582474832765,5.940049621288086
3,25,41.15942231327556,47.79977421595052,56.07356005015276,31.957186245824808,37.273746016098,43.94104748302169
6,25,30.463622355035945,36.15512375665211,42.3046730468088,24.491905432150155,28.76565853241872,33.8051391332196
9,25,25.494446259334566,30.2553178269821,35.6377445953671,18.702911707412984,21.13403130653333,24.14120274911832
12,25,22.60992127535389,26.718256598419167,32.71913229092857,17.263700947786013,20.566203156437798,24.52222574375223
18,25,18.502197810612714,21.768009769740566,25.979303364035,13.73277590709814,15.868798904837053,18.811653795077575
24,25,15.999680503636327,19.21282536502058,23.251363535800124,12.106606775407034,15.109432978770837,19.38309972557535
48,25,10.848952331064943,12.73538543691281,14.901934945958729,8.080880927733803,9.539852656483646,11.602465822502541
72,25,8.248291346832861,9.476975040327734,11.088230309646791,7.313399696585757,8.63540313038407,10.431429481382246
96,25,6.848841895750468,7.899354112120873,9.06547320822881,5.874967653695613,6.848268616116065,8.26762612986492
120,25,6.008867976999063,7.132459357587999,8.329957790938895,5.341368319188219,6.225057461089285,7.354421144960629
144,25,5.335658664460552,6.267948782628778,7.430548776820655,6.3155662909594685,7.904406207807602,9.481654099540378
168,25,4.734427138263229,5.560580994073589,6.511879827664838,4.97795856876998,6.509219346983229,8.267040608673883
3,50,43.387104473727476,52.33969904463221,64.17005020626117,33.596226610452234,41.30777209710466,51.77938109845874
6,50,32.120812669739266,39.83396010627848,48.68171994088442,26.26155808215684,32.794472966658745,40.74340814109973
9,50,27.017381233394417,33.39144895183814,41.7355192842801,19.562259554712668,23.02748263179649,27.562752840840073
12,50,24.223879980352095,29.67523471240942,38.56652544123321,18.389969167748568,23.608393123339344,30.261089589799813
18,50,19.693209544247207,24.054256043817777,30.34308884406169,14.595691687390916,17.85207959734698,22.583568986780442
24,50,17.053847759897536,21.428873523275588,27.55104643868802,13.021427414409406,18.12780431613526,25.285402810164758
48,50,11.605792713041101,13.903401836983296,17.112955335558343,8.549709739453068,10.619508314058063,13.7830901544862
72,50,8.664620796895663,10.240611343030738,12.335807871737416,7.758181251397216,9.57312639323249,12.242059078845504
96,50,7.148469054428931,8.539662561411728,10.218199702035253,6.171978631004146,7.535718038782552,9.478897949011657
120,50,6.373545918460048,7.847538153151463,9.62313131396417,5.726745924979243,6.973546118079511,8.700866077994839
