Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,22.019273509039515,24.89126366715243,27.66662534318798,23.724861263484947,26.39558312594935,29.590129178087388
6,2,17.26204400110548,19.45174261881172,21.860778037836944,18.405227106774014,20.714499881831372,23.182494860826687
9,2,14.256523733958039,15.940399495459172,17.798227699305937,13.961661193957301,15.876860676574948,18.1765579998701
12,2,12.244200439093508,13.70469252461923,15.458682713526372,11.098316813724542,12.676872556207503,14.155283927070215
18,2,9.400396870822872,10.466544394989592,11.58909314591212,8.97161643274739,10.127300316209327,11.453472208468739
24,2,7.86643345237731,8.718401073870606,9.722644366405,7.26145257530154,8.355880672002684,9.305678946739697
48,2,4.42113656314138,5.039744237558745,5.723836377942094,4.116789000006726,4.656422788298935,5.304410728131078
72,2,3.312271826548497,3.738162601722862,4.2090487449809295,2.9459763540973296,3.2981762630253053,3.7131888520162386
96,2,2.732306854263051,3.0986357713122743,3.5039827959942564,2.163536063397598,2.4742451774143603,2.820471019748828
120,2,2.3596939182380594,2.6787477625723475,3.012692316597387,2.001595353321169,2.234166654581077,2.515464301991394
144,2,2.0790794226584066,2.343884618468114,2.6525534324360156,1.7472217495887996,1.9353894918569154,2.1219498524161207
168,2,1.9466548249590068,2.191183092915956,2.469582868442328,1.6554837276245449,1.889223753667208,2.1543478248363357
3,5,29.393767801387455,33.5207014201431,37.49132825976169,31.587846340206326,35.371783722239364,39.34460727653572
6,5,23.07007584529406,25.90944553228659,28.911795505992053,24.915517398752556,27.807310083589478,31.092484738833768
9,5,18.72059060292806,21.025390314920045,23.27126141836672,19.688791226433132,22.47153877161433,25.66938821548906
12,5,16.18579714109065,17.97002918170778,19.98553494095831,14.983961346652766,16.921618108221153,18.75851991488929
18,5,12.335139307807164,13.733315761661672,15.051739666338861,12.365649857138155,13.949909723558537,15.777714774256097
24,5,10.162647498036296,11.244248664523367,12.373815162635626,10.118547666220586,11.214314051732284,12.378263057576092
48,5,5.931879217469469,6.725142167508617,7.571416456899874,5.811022919414922,6.674431502116673,7.639725530505316
72,5,4.384818491792863,4.966935083439388,5.550136329813004,3.901448753468509,4.427754786109368,4.94896551211197
96,5,3.7123088750399615,4.163737390749796,4.6538931188018715,3.078735059357367,3.5794378669734557,4.094592340646454
120,5,3.249328636514038,3.6535800320465333,4.144027019472519,2.7906359414715878,3.1737893403160906,3.620310248793197
144,5,2.796080928683891,3.200361371980862,3.643568866178893,2.378252907516769,2.6797872137183973,3.0187980639607375
168,5,2.6020689111093955,2.9196566774135864,3.2748962965047443,2.3425052228633723,2.7036174895349916,3.0905525606002477
3,10,34.162066891173744,39.41286758086494,45.08318226433909,36.36960536654836,41.20911409471411,46.07165374182423
6,10,25.934956250475295,29.84198043833627,33.81194736654173,28.151844265330766,31.72739542584774,35.447465411661824
9,10,21.216061822080803,24.148826605238945,27.335260863611275,23.346357217420262,26.968211014005014,30.94302199740025
12,10,18.261259563554827,20.44827584002212,22.795928483514867,17.12332719386859,19.36555356761318,21.67977559369212
18,10,13.933725816711577,15.63964670448187,17.39860493247753,14.298543898325914,16.231523285862377,18.334221960985076
24,10,11.272224598415553,12.613167652218479,13.926518532566877,11.444618215444995,12.766993120887225,14.044869104143903
48,10,6.762400427754151,7.7859115468629145,8.908486934726469,6.8646095861964,8.04174226174897,9.384197878002354
72,10,4.965228686675922,5.73210305910451,6.5181966419171244,4.4812180921375235,5.1715855005255795,5.907096219254751
96,10,4.19958109041958,4.802928562029604,5.350912156714947,3.6350412881121645,4.353424175333528,5.033725308761675
120,10,3.7081072946487024,4.2846802844709755,4.949823329092746,3.3149957672314336,3.9211976070073096,4.615903244938874
144,10,3.185505030180021,3.7687212460284165,4.375239764935647,2.7747122932548693,3.2741327442724417,3.7809294614091513
168,10,2.9431167632972324,3.3612556780367955,3.823282871177929,2.8170815663897315,3.286239899820938,3.8008219628422766
3,25,38.60714336686621,47.06763746091087,57.06264488432005,41.09446994979177,48.539758233166296,56.77541389185529
6,25,28.66654333562218,34.451332780810695,40.502856064883595,31.14559725087814,35.9793965848716,40.85886104921886
9,25,23.488119729393926,27.83819507778762,32.60618223155554,27.262441670678925,32.85509617951251,38.456512498503635
12,25,20.109786832586387,23.23385327400848,26.437887610376386,18.961833457471513,22.12002184686653,25.60849082413972
18,25,15.309445888057194,17.790691597258572,20.69834587745907,16.086952661057463,18.882316089248413,21.61972472907827
24,25,12.485026671428368,14.05978857368822,15.907339549390642,12.66576578552641,14.425411589962234,16.07441761523181
48,25,7.578461766841087,9.066516501665703,10.834667778365795,7.878839662663745,9.819777342597902,11.690548887086077
72,25,5.574619062871093,6.647052943281128,7.776337986921671,5.054830923670489,6.116413907458407,7.251870390805584
96,25,4.650241252140608,5.542399767742857,6.310345417562603,4.228863508436795,5.390554499279474,6.433746798860671
120,25,4.191607798325296,5.066121850907474,6.1791203295450785,3.950998333851905,5.046812822907629,6.289493850905672
144,25,3.620192008101509,4.488327291599665,5.433204536443736,3.288769433128926,4.174095304566103,5.144468080951926
168,25,3.2461240550173676,3.876751932422101,4.551795454617325,3.3326861170083797,4.081475838586601,4.839401882876707
3,50,41.488958789352,52.90188420714175,67.96589821312284,44.008312996219075,53.99041194913907,66.08555253708163
6,50,30.651716904100454,37.62930730863479,46.076725746436935,32.63649890623489,38.71540749456972,44.89664513655255
9,50,24.564212753061504,30.401156320299236,37.226453937456554,29.1582791256346,37.40729895489705,45.25856965789012
12,50,21.05425787048507,25.077104487422382,29.450917749901592,19.89621120202804,23.96366714948215,28.46565676917635
18,50,16.030924499036193,19.219484037408407,23.19667800695265,16.94115224209309,20.70770579748727,24.334780810050304
24,50,13.00962357157151,14.960602181748033,17.415951750071713,13.22572717045216,15.476605627872235,17.640973161076765
48,50,7.987947140019367,9.975305420793779,12.357451411975298,8.636427817870171,11.184938584115244,13.737704218730418
72,50,5.873599484165405,7.2903162156424965,8.895897807610364,5.416787326880143,6.826745760555328,8.536052098492533
96,50,4.894594783404571,6.045752934527124,7.114376952294721,4.734077729882795,6.210294953033898,7.765801673492959
120,50,4.4590505099922595,5.6345483131307486,7.270726645870113,4.37962226141236,6.0426842235657166,8.011209211496237
144,50,3.865149330848727,5.023243122684174,6.3679720668280755,3.6880239035901274,4.97569880572576,6.47096437722206
168,50,3.4270006753389595,4.230752168691291,5.1551420884446095,3.6595280623034756,4.720880613907689,5.771118090455419
3,100,43.93307465319511,58.82744410700839,80.18498669019041,46.41950395178728,59.44792058450257,76.59676339893895
6,100,32.00801982437214,40.594028419080004,51.83390410727098,33.76812577060862,41.13708742370633,49.51616898918644
9,100,25.24075207517287,32.807453935310605,41.6472518827675,30.993694327867757,42.11437587827658,53.28120083316473
12,100,21.669215181264818,26.738010581448975,32.518858200084225,20.661528572954694,25.653045547426238,31.62497341454789
18,100,16.51320684865284,20.511068307350197,25.834128119910368,17.60637750498222,22.419206962013526,27.109699358955318
24,100,13.329250789321616,15.731781077273297,18.858990895820973,13.710150672058521,16.395511572363457,19.42032572980306
48,100,8.281741805293773,10.844078232241259,14.30078404555987,9.287750772765575,12.58749812125997,16.00170604030613
72,100,6.152449124912303,7.900411410849715,10.004664696280104,5.790151855705622,7.544601919693541,9.88949644704287
96,100,5.077015022412332,6.510275320781798,8.003051018827815,5.0782847141764655,7.073457829272603,9.305938838893438
120,100,4.626499611491237,6.189441558641988,8.368567518773487,4.856874887554171,7.197526553648473,10.114353266464853
144,100,4.062348717898823,5.555113099499149,7.613092758617473,4.030323066282796,5.91179807662291,8.317218378994612
168,100,3.569912721641241,4.559885629562613,5.719945932475903,3.979902093117306,5.403671452414702,6.8597360641603125
