Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,19.317444829977585,21.642650884949255,24.441347178398015,18.815843566198822,20.881915172131205,23.234344674520887
6,2,15.319297554686642,17.416136050522034,19.89706548685852,15.275356157194086,17.177342793830352,19.27751388542694
9,2,12.186053974283766,14.050538961772357,15.987103052987337,12.211495448279074,13.811201628656782,15.637332963015442
12,2,10.672670769519923,12.066280964744792,13.685119871145282,10.703068696198443,12.219821537069876,13.830110595554753
18,2,8.000807640051454,8.998803438300468,10.250176159552337,8.156175347663211,9.178197941249385,10.216992197965443
24,2,6.418977525260374,7.261339652336817,8.255378008391899,7.270901109873099,8.121518411700455,9.009672965501442
48,2,3.6688093451799997,4.087959573617525,4.580448343559637,3.8111120085010564,4.3171551568594655,4.950050190141011
72,2,2.697819876736157,3.0503889468547674,3.4118546192167334,2.9856450577248,3.4096030991798782,3.8421188552943226
96,2,2.2142469506679543,2.461139962513542,2.729607675607358,2.5067346507982116,2.7540286509322702,3.0486886973882736
120,2,1.8556316135278956,2.070116643383799,2.323093702606899,2.127958141803261,2.428086844971306,2.826285741646786
144,2,1.6644307158023959,1.851908806475245,2.0797087045004536,1.9906839358807684,2.308526613693255,2.713225563367747
168,2,1.512535717218082,1.6927260364521826,1.9039083351936295,1.6863538151537742,1.9375450539255112,2.2464670476452677
3,5,26.171042714800095,29.96658188600184,34.74718671971891,25.628034082698626,29.788610166759817,34.649397825973864
6,5,21.061086086097074,24.411235630258673,28.074577374588397,21.672355856811635,24.67294382293963,28.33264003676547
9,5,17.01642162322719,19.836443171947458,22.7151535593977,17.178702038441255,19.545417396294074,22.231821697908867
12,5,14.85275532741035,16.988383269595218,19.466611679292654,15.639705079069635,18.100916291353087,20.58249663768423
18,5,11.03565745656444,12.648831745034013,14.590082034166718,11.529957427449435,13.040814407321768,14.803737486564241
24,5,8.63224085526798,10.11220993645232,11.607620418351082,10.041857972891089,11.302650348351827,12.881449364241945
48,5,4.804966930423538,5.49407765326009,6.317965768915073,5.645971215695493,6.764427029206994,8.163852449731625
72,5,3.525066225399317,4.060704963923448,4.629140148359568,4.356317047804323,5.029576386167499,5.774706702448693
96,5,2.9021272204644992,3.2721908123911954,3.6768284250320784,3.5008715301640514,3.949898063805726,4.4311211090538745
120,5,2.4284115578857106,2.818432291687554,3.2763004638616735,3.092223431278163,3.709569168819617,4.479291519604784
144,5,2.184608217597871,2.523688432388421,2.902594094649981,2.974766955599161,3.5330846086549648,4.132009132924612
168,5,1.9843495523539398,2.2921985414176773,2.599194643057816,2.5021258679312814,3.031686896467768,3.6487992291526
3,10,30.460627239457807,36.62186625682664,44.73084180606851,30.64503764807786,37.14983775617557,44.67664372692908
6,10,24.76705430439312,29.30138441188619,34.51615563482494,25.294668735574238,30.15360361133287,35.40978378538316
9,10,19.91888824837123,23.823248854340072,27.9673144284331,20.471440863205242,23.577152058950837,27.77928215711568
12,10,17.13627756114767,20.279463529333285,23.692985165343277,18.891653477383606,22.275112465758806,25.94282325446447
18,10,12.816269603788873,15.215413535597511,18.1210589468526,13.507505284404218,15.7285679697373,18.21090287351112
24,10,9.923279157077184,12.163946658411252,14.328370104587194,11.804264099792439,13.541720930439187,15.56390399945801
48,10,5.479757436321716,6.535962523250692,7.714922418883507,7.445514939995334,9.176585628696788,11.214405363939383
72,10,3.992928951360775,4.760254697380393,5.5937813892271055,5.455732595215464,6.3919586906628485,7.461064547222755
96,10,3.2857239258377193,3.844071338807055,4.477054205189065,4.364291996926696,5.050457861613708,5.749155928893505
120,10,2.7829614584864184,3.416102370454155,4.144790168342185,3.9014148577326306,4.874266241923602,6.156081734469149
144,10,2.539846633951263,3.035121699333889,3.6182845096462675,3.6909423303335025,4.528851412739741,5.3796096122132235
168,10,2.289888182627954,2.743723542137494,3.2008108497912424,3.2036545657657562,4.079261969823417,5.078747589145925
3,25,35.86165478910537,46.60654804066405,63.81795538398431,36.31315453593217,48.69464046815952,64.80894366232873
6,25,28.547531245260934,35.791447076202275,44.2789287345985,29.608552947226585,37.81757913269479,47.220153237110154
9,25,22.998573689092655,29.045611540907714,35.84959205199905,23.711977536577024,29.013018462960254,36.59704391779858
12,25,19.50921562049079,24.474822819971934,30.19305358885616,22.377769808519417,27.9485877188323,34.032509472346305
18,25,14.67661984741876,18.63975660520083,24.293625912715548,15.444028505255133,19.324009524796473,23.89780637969684
24,25,11.459756187883702,14.959738787065845,19.232709225687117,13.946021184018427,16.559529669390876,19.63210989794998
48,25,6.35389635314999,7.993864647296055,10.060463119139612,10.16316430968422,13.596338738413603,17.142939006682127
72,25,4.538135589250916,5.68063885186429,6.999838673669418,6.924397962161882,8.545914875607977,10.247689020097598
96,25,3.708563666962836,4.608989282017934,5.653336381960219,5.541545232344043,6.944032092531971,8.341566452392282
120,25,3.2070880934282817,4.3118895813075575,6.048516908486534,4.972429840834286,6.861802234202381,9.26927576093097
144,25,2.950001320429956,3.768695955958673,4.903800057331567,4.657791003509704,6.0610773895472025,7.540514379633054
168,25,2.6400914286719224,3.385059994776995,4.287508895738967,4.129562955662578,5.952150470609228,7.9636032097069265
