Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,22.084951721169507,24.61335999645867,27.428749347699906,22.55404352419511,25.588049249427215,29.156059232688428
6,2,16.8326705225339,18.854919789881855,21.227180167502702,17.937176432123408,19.984898698453428,22.04775393000628
9,2,14.138518135940306,15.678478367430406,17.43783568346919,14.907976759813723,17.18219156052332,19.48105987541771
12,2,11.951843499800685,13.40434469790156,14.96064705754899,12.921948355265059,14.863443773743992,16.727908228368253
18,2,9.435413604468117,10.63986146443087,11.848194224102443,10.753840115236809,11.849897357362533,13.14553721778736
24,2,8.010361971401075,8.979190048499312,9.951374126924852,8.835917403323542,10.008376094677937,11.111392885796661
48,2,5.003736854054692,5.548429340374842,6.153711936467472,5.508991702404997,6.168284850724485,6.81141696024007
72,2,3.771206508972059,4.23150509343027,4.710421791487902,3.788633492678403,4.354423155187989,4.978401555889571
96,2,3.1296496281739676,3.542128252854387,3.940537539257141,3.364150453281109,3.7664788446695763,4.196002439901576
120,2,2.726114957233078,3.0690544336402916,3.4320548692630677,2.860737149967454,3.251435445232015,3.7077001704752406
144,2,2.4046466117712444,2.753030980473816,3.0671842494455017,2.4736666523207047,2.8742777373728,3.313789947987564
168,2,2.1708199450121337,2.4726029593476353,2.7962636230074454,2.413275902634263,2.6966391532470455,2.9943290681140837
3,5,28.919916650801973,33.356268421965524,37.74434560822187,32.17993941578048,38.76581042035426,46.219475768013304
6,5,22.343796730656486,25.35234358209906,28.548033627423997,23.874136974910314,26.75062714839532,29.980304853933966
9,5,18.539484623261796,20.564551864416465,22.793063715428044,20.573944860106465,23.129163446884757,25.66462482462696
12,5,15.83846581590932,17.47020368097728,19.48824024120347,17.977629884964763,20.03625305586752,21.89300838605282
18,5,12.446035796985282,13.763142881250431,15.168192726825728,13.918511559762472,15.211382988649369,16.638327583008103
24,5,10.563460321734192,11.718285496942357,12.919304192695712,11.90852019458676,13.247763320297139,14.51877741476228
48,5,6.534886998549852,7.297127618608288,8.183334817176886,7.564469442490918,8.348878044522143,9.274960165702034
72,5,4.936263327160924,5.6185778042206,6.284001094855675,5.6176648835663805,6.4763583445591975,7.439720489417924
96,5,4.187431563365583,4.752947121711587,5.3761126947749,4.597211834695637,5.11845294219458,5.69558667514336
120,5,3.6589516080334006,4.152415686260042,4.657703767473371,4.07231578248174,4.570831844134652,5.10149137526518
144,5,3.272794438741145,3.717638273981229,4.123452553779178,3.6353777742048905,4.141290000531633,4.668245086338407
168,5,2.911730390198901,3.3328882041143557,3.755938110237258,3.2332596540551046,3.5955864270943256,3.997879574231409
3,10,33.39729344562174,39.74722203633691,46.74891200988251,39.904320669879326,50.08622483493876,62.01827275054306
6,10,25.713277135089754,29.818820811907806,34.424881494964126,27.636161052725782,31.544484546127322,36.30966394761837
9,10,20.77595481874452,23.529885130178155,26.300009189527344,23.71493961262226,26.579741748611692,29.547787231215636
