Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,28.93020610803866,31.76328756175698,35.287563255397686,26.309385426002088,29.458205153647555,32.933760170742175
6,2,21.48816781966392,23.791252383611788,26.547025816559504,19.563433933884394,21.57780131463597,24.2313605007043
9,2,17.583541250101323,19.514753827676657,21.712767681756194,15.152349599584134,17.545841827287813,20.466333635148388
12,2,15.089732514462412,16.661720474953434,18.77284139910855,12.717557661576471,14.720383053229597,17.052240116726537
18,2,11.924236719021309,13.290761722267817,14.705060928830516,11.021877916435075,12.280698967873976,13.824191550294124
24,2,9.9705938198535,11.21641993603696,12.532364201601712,9.355140930849338,10.386639175258622,11.587987657031867
48,2,6.544507532404083,7.362641265623022,8.282358598953095,5.461567136633283,6.000847297550669,6.611594004967335
72,2,5.047323255220382,5.638846325453924,6.249493264728109,4.248686879821027,4.684354058719611,5.154695323794699
96,2,4.145889679776248,4.627697740400287,5.109013535524317,3.6076748618254495,3.9926128088132606,4.4262354743055
120,2,3.6126443250197147,3.9700258473351626,4.411219776373042,3.107649941802415,3.4926251499695757,3.8938830630821726
144,2,3.1170131745999257,3.502161944073973,3.8658261761638664,2.6873866374991233,3.0693980161420185,3.4955969366851343
168,2,2.865375777805678,3.1516537266948137,3.4854075385272876,2.985565173637865,3.4798922687011675,3.9804597874927805
3,5,37.21073755302116,42.11353747558013,47.81532670553561,36.35994557238389,42.151701394865405,48.454956242629876
6,5,27.689867306900126,31.992812584562863,36.7671968160313,29.308213879032067,34.73784473105233,42.49734011573537
9,5,22.92043452594956,26.090991591228438,29.613725784595267,23.505323194119313,29.2513864332472,36.74283328236177
12,5,19.431601592716312,22.223824226571637,25.5633080423244,19.007040072505838,23.393036243018702,28.61244793135505
18,5,15.667745694993446,17.77555840615649,19.99786497798509,15.061970929321177,17.80938492719373,21.116815978571648
24,5,13.09638922242986,15.057851684764369,17.062032792986024,12.36063588078322,14.282418795441647,16.465716429494048
48,5,8.625690995081289,9.815797473697266,11.136726700366596,7.165149741719754,8.074590022235288,9.211419933489026
72,5,6.651240691305962,7.4312642592639175,8.343785522974585,5.595546856180757,6.289113347815688,7.05397203269441
96,5,5.436466163679594,6.039398977198989,6.745414835719364,4.75324475382104,5.395460614645802,6.025105887693677
120,5,4.626911030654583,5.160213388071848,5.794705855918837,4.214309670401123,4.821769759256065,5.3953047259395
144,5,4.010451330899312,4.491533994315403,4.950107949755912,3.725095967919711,4.292449044154744,4.886561758717981
168,5,3.632866479793487,4.008353109653811,4.422363294329504,4.520775251069822,5.112218577406918,5.7253671102726225
3,10,42.817379514338555,49.75538439592425,58.42222247236803,43.79157434720417,53.48302309887774,64.48405108419956
6,10,32.0460788457667,38.41913305284837,45.525145605022054,39.72780540027783,49.977235101020675,64.1734010042766
9,10,26.089687296086492,31.056202520480355,36.094242761308685,30.803709729814933,41.42336089560387,55.56740959384621
12,10,22.168171442358446,26.38464621860774,31.368982499597813,24.013964000347485,32.008658216355556,40.5059349144186
18,10,17.734955176126103,21.077085940374076,24.728358940419177,18.138216160991178,22.951476981897706,28.754891447720016
24,10,15.174733275328492,17.818210974384208,20.709524183844962,14.433548891046364,17.372042158182794,20.852394040919744
48,10,9.80427697468537,11.47275587198098,13.182291695638742,8.237467418287334,9.729975255493425,11.458799902721303
72,10,7.5048910435126945,8.623845317099427,9.882350284995663,6.4843901242554,7.511504817496862,8.617354613388821
96,10,6.13928278268936,6.945525872349779,7.9138452596106905,5.491176946019051,6.372109441321353,7.156487671316638
120,10,5.219332171035403,5.9139122290099335,6.688982979409083,4.970864778972396,5.7188214243354505,6.492127274913586
144,10,4.5489635270440765,5.098766097187845,5.693558197312643,4.370379913550003,5.102578956756853,5.799968032893574
168,10,4.084203827650608,4.532173027238095,5.058247145649771,5.443373958703981,6.136043458544226,6.803123511348609
3,25,48.43707747649467,60.41380646255085,76.4994293163032,53.56596698549332,72.58558694726602,97.49635781132426
6,25,36.36622542282986,47.883090453135,60.69681212752347,55.59982132536747,82.60506374954416,113.9708474877468
9,25,29.92660207427722,38.124246708674264,48.29269082555891,39.99041144125548,64.99668123550772,93.67505930109319
12,25,25.49913764638212,32.257755696282786,41.27355214525427,30.562837582614883,48.046504858289055,67.69483398560334
18,25,20.3558176862696,25.669560379907907,32.48388231135954,22.03587662533527,31.97900376173334,44.15722699676534
24,25,17.460303259813045,21.574318757298656,26.623455473742588,17.02379256548457,22.03650112183237,28.999494402344908
48,25,11.095460442829182,13.604398409911767,16.610340737011313,9.466322473285214,12.244030494070298,15.88440465451152
72,25,8.397558203651833,10.137365760451289,12.17418704474089,7.5428789728782535,9.284735869897457,11.220588297388053
96,25,6.853439011341628,8.058897589849838,9.585387666510847,6.371926222516821,7.67494909266953,8.907402070966157
120,25,5.694986230358353,6.828830540123022,7.97347369369364,5.700567329176378,6.882106590448732,8.047206908316076
144,25,5.034920846046455,5.815508803555863,6.74171704572688,5.0821126637612775,6.134769014696678,7.178510880510025
168,25,4.515890069119735,5.148373724528611,6.027413128431398,6.471165171796574,7.375631616323072,8.169889219177024
3,50,52.03662240569102,69.11472568568246,93.53218130134786,60.566543591712026,91.4914326612274,136.01742359861532
6,50,39.6662054594745,56.023715992794365,77.31170251693132,70.89613652775992,122.80600760355779,178.8276593693397
9,50,32.5888150630588,44.00877835418641,60.57203710459144,48.523811610282735,91.4886830878846,142.81276368653727
12,50,27.50999403966957,37.10779470331279,50.41869791541782,35.48809962921363,65.45988680711346,101.67198547209759
18,50,21.952376380684896,29.40892588385791,40.33990266866367,24.670767955158396,41.28137594349989,63.57714056002284
24,50,18.88892239680365,24.568394774912164,32.64630962880636,18.822152879499185,26.191321640851605,37.42895010340824
48,50,11.749808936285433,15.21370447820026,20.071317952988075,10.33591850941118,14.495655758279373,20.47471422006923
72,50,8.853202117299304,11.265028321370904,14.421502242028424,8.21146005311627,10.801058427969913,13.90632041517279
96,50,7.227055729744837,8.862713909357101,10.85960845598565,6.87840860792976,8.70101102349638,10.565413519136335
120,50,6.0428438527963655,7.481604650345517,9.073398359751145,6.180702985649008,7.773431615947009,9.458434211230655
144,50,5.327971626151256,6.313073189878587,7.635368334878422,5.506332829811584,6.911714626963462,8.34871684835646
168,50,4.725527877833951,5.574729131876863,6.857882930608039,7.033492186501752,8.262152996443895,9.385172896170818
3,100,55.11978367799098,78.48369261388262,117.6904055882732,66.74570877474252,115.71820976518956,189.55607060051278
6,100,43.11988479607241,65.18959670146785,98.5315321293615,90.47958343944889,184.7978607261978,282.60015301271324
9,100,34.74759612504055,50.4523046078595,75.8044530985595,56.42316806164064,129.25534543488814,209.84378048569633
12,100,29.41037183931781,42.38179597035251,63.49669417582932,40.58077603430321,89.60893952493515,152.49694742355086
18,100,23.279390799640602,33.42654468124337,50.69374524357025,27.654810622054562,53.64443465742171,92.05238539373393
24,100,19.93381866257787,27.727558940755024,40.130435384178554,20.348085171114107,31.055798361527167,48.88624064192548
48,100,12.297714618213618,16.835051197266573,23.843227769335634,11.20725225097178,17.143410817323552,26.668583047936707
72,100,9.28635521454997,12.388463865184082,16.950093242804076,8.819261400767992,12.511738140516744,17.452938831637752
96,100,7.580438080599388,9.642413867201602,12.424386747190749,7.379495824224929,9.778802355634438,12.634155676388488
120,100,6.284061866649063,8.10848094581572,10.379559544353365,6.551670470043289,8.688055518925784,11.126449811005353
144,100,5.582742215092838,6.779946897666257,8.59404091716192,5.874122699213096,7.696582501871103,9.65932684129403
168,100,4.905407557823198,5.973668479390241,7.633849113266104,7.505351555948813,9.118678678256792,10.71302253677972
