Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,28.059359485471653,30.270958682546826,32.80867166072895,33.579513361059796,36.777349443497236,40.39212692676808
6,2,20.882428178259573,22.596599565840776,24.391257677412348,21.812548586331104,23.812916097516293,26.038092009186585
9,2,16.57410513208791,18.11053507583164,19.703720444371225,16.427987771139314,18.12684580276796,19.856803092764874
12,2,14.131387411489268,15.427529240181318,16.845926163187755,15.263877717649223,16.55983235173315,17.97258336787109
18,2,11.11560043788981,12.132112024957497,13.402977283575368,13.49324717258354,14.763349844425758,15.933730931463433
24,2,9.310891177608962,10.212542975421465,11.234172030788605,11.056543031959439,11.788212101448705,12.63630248548926
48,2,5.8071921090414005,6.354985790462042,6.956952378121876,6.683883848651181,7.407626591577404,8.162124719905169
72,2,4.588952858533925,4.979967948592828,5.402119261840178,5.015217266501712,5.394028971311037,5.867291785812356
96,2,3.7706318825248255,4.110043769841737,4.463493294994472,4.4807393787822,4.842248384613296,5.262603674982877
120,2,3.278640971857846,3.5355200254367434,3.856874295462429,3.6361318530790743,3.923674253261615,4.199786942440618
144,2,2.932181054573467,3.1741106671725148,3.4300032899986808,3.112451995098742,3.3238018852293516,3.5254593974910744
168,2,2.671813489432256,2.9131575014879676,3.1508992811129763,3.1866027296592807,3.388777744518995,3.588708990051778
3,5,34.26626396064616,37.73002756112916,41.2796989512466,44.97026213664239,50.575672424593506,55.88708202540798
6,5,25.538540759541156,27.990077356861285,30.318069109385114,27.81225794237522,30.927817448258807,34.13112906583201
9,5,20.503375944919537,22.52352178430757,24.840165763301265,21.433617778239718,24.056385589539907,26.858458251343933
12,5,17.493491864935997,19.344149393508552,21.111540676967547,19.461608382617953,21.25302991795568,23.10135247046447
18,5,13.870987764041772,15.240716263759385,16.894975937761593,17.46822846275655,19.0906988002648,20.592689159597043
24,5,11.615197687402436,12.939791985433182,14.140759874867715,13.245500021293449,14.14641592787004,15.045998791619509
48,5,7.251827038828197,8.050466934992937,8.939174401118365,8.866217140391559,9.873843411585229,10.862639770767474
72,5,5.669698486020134,6.319145850423155,7.0220957544937495,6.229254095516092,6.769355796550627,7.429498192824691
96,5,4.649876469352806,5.1559816123945374,5.676625510274312,5.693291119360701,6.154411434504281,6.666722099658919
120,5,3.992297171774415,4.374193983229846,4.799274607782307,4.413640015193582,4.724354784760192,4.993785555635062
144,5,3.5875259402814548,3.9170118449081297,4.259259289027893,3.7830242068844067,4.0032188360228576,4.232585122547439
168,5,3.259381098575197,3.570192359821876,3.8380974377390027,3.7973106813611577,3.995013539360014,4.15828475805509
3,10,38.15188480492427,42.90930007634096,47.8458723903064,53.380620501316955,60.97718954112206,67.45539542795959
6,10,28.31328505160336,31.46939709177724,34.67343678288714,31.232152904359467,35.886769084800264,40.27769854641417
9,10,22.724323491086608,25.333238753421035,28.344903073058042,24.828808980980988,28.58739346153969,32.690527910525
12,10,19.38284216856649,21.79247858751939,23.90069510781612,22.13452314582768,24.40583879282671,26.763796426892377
18,10,15.411504150634038,17.205703500447363,19.24226096557667,19.928944297829446,21.696392777696943,23.349403625119105
24,10,12.945105580994905,14.70226725572174,16.337689871521277,14.260142876067976,15.299408455980974,16.305857842142267
48,10,8.058874744289612,9.197304252998523,10.458653187243087,10.302071645046382,11.521940301961662,12.643994793634398
72,10,6.317963355925295,7.309853591602431,8.386865984465539,6.976607897170744,7.7135671307855596,8.614924356434804
96,10,5.166872625776247,5.88304623910992,6.603940583636776,6.3630781309806,6.965958712262653,7.570498117060058
120,10,4.409917621117613,4.911382891570556,5.480969264859889,4.778888513137745,5.125968757601137,5.439000854871315
144,10,3.9267025473885617,4.383001302487835,4.8727251472907955,4.095199194519558,4.383719130381271,4.667591792928783
168,10,3.5614279533935593,3.9593661645318106,4.301873318837704,4.078904893994872,4.277566551229723,4.450638374654725
3,25,41.86930746389157,49.74097345770694,58.105535947204245,64.35242808396913,75.8427254309145,85.46136522785615
6,25,30.945267722310117,35.76381869547639,41.365626937535865,35.54935425928463,42.51915314525003,49.92009801848904
9,25,24.791653233666878,28.76055865164212,33.37575146384264,28.979915691552897,35.17979535607143,42.3351326722653
12,25,21.19927032679022,24.73019386199514,28.60044520955472,25.04548120823182,28.474604855825895,32.05731140025823
18,25,16.90436817783835,19.58712826745083,22.807737469127584,22.362844218837594,24.741580992335045,26.826190066229135
24,25,14.319836351922156,16.881122478303283,19.610294914804253,15.04358815749076,16.42278992824395,17.714540443303576
48,25,9.006464095520979,10.674598558443122,12.854889367029584,11.866506963173524,13.634747859890016,15.215539472673349
72,25,7.02433059710954,8.69413448916874,10.70944732954989,7.772850057845542,8.959003016917157,10.40792656932448
96,25,5.730385183714878,6.84304132339618,8.108225030769102,6.9906116700896,7.9402892455339416,8.816452752570022
120,25,4.8075243528277225,5.570190000358088,6.5198191149158875,5.069036043018593,5.526743247504593,5.969257554929198
144,25,4.278986446291203,4.9438540235984725,5.721768100288372,4.3480272701423335,4.802763105209314,5.22707481156935
168,25,3.825239975733327,4.404369420742302,4.953704788009525,4.27703196352308,4.541813039205928,4.7694670314558945
3,50,44.289662853875434,55.02516418978051,67.65284343654847,72.43346908288703,88.32016446945653,101.67924372528384
6,50,32.22690743021491,38.87790398280113,47.04829020212999,38.223298269239244,47.76223173239143,58.978063898401444
9,50,25.731664424571314,31.217479713349235,37.5500855022238,31.295897909522218,40.833277457292425,52.40858004779142
12,50,22.077407939479592,26.802556676993273,32.700037125908366,26.87511021327707,31.57573500511738,37.31259681767685
18,50,17.861428890028414,21.283524360081397,26.032656225041176,23.79853270749851,26.847290713222407,29.77335695447284
24,50,15.135070778729101,18.463577187702725,22.318382276200467,15.467003362188374,17.073214663548367,18.73610281326587
48,50,9.449029818421664,11.79130050324298,14.894174949300776,12.973784586250925,15.232207940502061,17.383403575087623
72,50,7.533383101310104,9.826149718365256,13.065630543626934,8.262701917158433,9.930518392504943,12.078490949707069
96,50,6.0579290791288205,7.586307449769848,9.574870671832173,7.417607592596111,8.633616796733522,9.880681669574301
120,50,5.046057174060071,6.0449517086612845,7.3734528574861,5.2069142630887315,5.764672886916263,6.3594463797429555
144,50,4.481015535692334,5.340685881132414,6.422292001571037,4.485950270183202,5.077336845353231,5.70151700951547
168,50,3.972608653398357,4.703832814309129,5.504142774250891,4.365317862124914,4.688799534135873,4.98537384387864
3,100,46.65800772693869,60.459700042239334,79.246350987133,79.82049090945995,102.12648235282704,121.72426153793162
6,100,33.29897509416441,41.90983617864359,53.917343239498805,40.042118029047955,53.29294156902529,69.67377207529019
9,100,26.74967357049038,33.586407641697576,42.386273699985296,33.66804274067085,47.22678548605737,65.15903936634808
12,100,22.745378473318755,28.77368319374905,36.88306053320537,28.420097825847584,34.74206661588075,43.36456130441684
18,100,18.64339141916349,22.910427015386595,29.446441799342125,24.86741966925544,28.825948656295356,32.900570710410285
24,100,15.838057372527903,20.006322652443416,25.356257196683348,15.730898110747741,17.60030923985916,19.688244093268835
48,100,9.904664904223585,12.917559504005652,17.536169792500168,13.788871238605129,16.850062317553828,19.876647122105297
72,100,7.969153611742668,11.046890026854527,16.16470617336687,8.66984777112657,10.94407942397114,13.987283768999731
96,100,6.366790702189876,8.351355708384517,11.347692580073375,7.687253265957983,9.302313445816125,11.08583658147694
120,100,5.194050921113051,6.504751771711117,8.351813165433226,5.306727883607807,5.961792492324141,6.737031210528394
144,100,4.584782280287954,5.719091222039189,7.313887796106551,4.580698980748917,5.324792699141647,6.225069129151313
168,100,4.072119764978751,4.977534529262538,6.071031572544034,4.416148804419311,4.804056923635152,5.195501460074329
