Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,27.938313378488324,30.611434703092254,33.31202722781006,24.23730671846571,26.420228818956346,29.047877955649334
6,2,21.670897089568953,23.49993158769476,25.46426492521865,19.510454523152834,20.79694273425546,22.147927875652556
9,2,17.756591052410375,19.211196792104523,20.879563735929846,15.648780498487593,16.702252683693267,17.97232909147218
12,2,15.245255516420812,16.51399053741219,18.005841367474034,12.696734955070694,13.49968227858935,14.435990947312693
18,2,12.290155890495843,13.35403147475837,14.553286917090329,9.638635472952982,10.278289730927158,11.072893673281298
24,2,10.61991640595712,11.590513216810576,12.681089400545586,8.689278990115351,9.381568360157297,10.148720222308619
48,2,7.155387006069388,7.876683888334324,8.601039090423782,5.6721517932199985,6.207682954994387,6.795155685630885
72,2,5.54980455657725,6.085945680122638,6.641315492687719,4.252756655111604,4.680106075531884,5.174196746903345
96,2,4.668842497442409,5.09794027658121,5.566338599231312,4.0622213542508545,4.391560918682815,4.71206993608197
120,2,4.027081103370741,4.368751641509646,4.751221215799855,3.688013223844444,3.9091073883161,4.196803281365308
144,2,3.5413975165132916,3.874814275404126,4.232878224354575,3.4760389557321405,3.707308861891246,3.994927586147365
168,2,3.2832289753655095,3.5667708648102128,3.845378555257778,2.9344975206059627,3.123225688613227,3.3511390750398107
3,5,34.62614775507281,38.53818846962536,42.53589413325161,30.845701652127694,34.420882456670725,38.57768449513088
6,5,26.65694996534601,29.694726875242324,32.70895622002787,23.69014962019216,25.678145642394114,27.968265061373458
9,5,21.9791797076342,24.270880528681552,26.866361856501157,19.456387153997557,21.17235770040914,23.174175548893782
12,5,18.69974906628599,21.006566882560485,23.496577645919658,15.435331945112534,16.87004982499288,18.478098945123634
18,5,15.149475910595829,17.00423689707852,19.15631916541657,11.766998962868623,12.91771585049285,14.464480906040915
24,5,13.195348086559264,14.789619168045643,16.592036420651436,10.783995885389857,12.083635753579312,13.710176986914377
48,5,9.064292629064326,10.089486358371094,11.089216422967262,7.230935629428501,8.082708688693414,9.002145202219442
72,5,6.989020302199867,7.653350567216956,8.308280915326032,5.8943934259454185,6.64941656242803,7.527041826762506
96,5,5.752729761368395,6.357038782897924,7.0119709060838815,5.152324553525042,5.625475095919415,6.081191737708111
120,5,5.021402176116386,5.543674450234403,6.137893374946548,4.65189406198513,5.063955152024032,5.503970040408678
144,5,4.408618433465826,4.887826170074688,5.374095213428131,4.940293265121926,5.419209181136483,5.952464821431171
