Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,30.285844845740215,32.94288169169791,35.6619437003705,33.28103009952439,36.39972392907431,39.37542078777541
6,2,24.27793157582179,26.69494479936032,29.11471560871501,26.55275095314981,29.446601151756788,32.64955072772427
9,2,20.20703199759667,22.403010159185186,24.806962549776454,22.39653516206881,25.246088129093643,28.086695955802146
12,2,17.77211462169959,19.497371858538777,21.797018132041302,20.097136680290966,22.856870832249626,25.412152675894312
18,2,13.941611723939548,15.700676961598301,17.725206996767987,15.474128020597465,17.157280568143015,19.130857883158548
24,2,11.603858649082124,13.135139762251518,14.797183116484131,12.54288741644049,14.419557595080931,16.143354322402665
48,2,7.616157332548193,8.615388131659868,9.662031361755728,8.300160565926491,9.539367271297,10.766846946209975
72,2,6.047233361621691,6.709946634189034,7.4845534797854,6.393053016547926,7.5076803158235155,8.73694057266607
96,2,5.075380533653847,5.60947790352282,6.17635964202781,5.17340648881883,5.709919984509821,6.256454037590936
120,2,4.39331118356139,4.85244156138257,5.360807567322186,4.125418714940257,4.568305613035757,5.017217351952135
144,2,3.9971703781971675,4.398184374067859,4.909958820366616,3.9023405774142974,4.312424160149268,4.752574142464671
168,2,3.7502924332668464,4.11340880175849,4.566986846560001,3.4282248762334495,3.8148934490150648,4.357731911960403
3,5,37.03313988574109,40.74745648490264,44.13945520976426,41.84870751222772,45.90716889714684,49.803074755261505
6,5,30.37214177622817,33.599225533105624,36.6929436346245,33.99114152081495,37.802111320194086,41.74317807641326
9,5,25.833874186524497,28.570502722085262,31.437768757381995,29.416561984671347,32.93793665902806,36.62741640109804
12,5,22.594958022377654,25.237223116879875,27.902185060680708,27.493869905895735,30.459900802701576,33.30961141066538
18,5,18.488555187502698,20.79297869261115,23.242190198027593,20.393519810577,22.773421044862438,25.449392230142905
24,5,15.67388496658141,17.684956715072804,19.974853121995018,17.405430615695323,19.8072327356001,22.11328773587256
48,5,10.14185323486483,11.652287304578657,13.157938556809796,11.462449945399616,13.214107128414415,14.95548563373493
72,5,7.907501917902316,8.95511147046967,9.884221054063435,9.891020682421516,11.643114678549278,13.54123292540316
96,5,6.4430216317228135,7.391022964051453,8.327324328618255,6.763189599517119,7.538830375913488,8.430253855995126
120,5,5.7416216039238535,6.445392038713762,7.2492127479743615,5.415366400862027,6.048080995063428,6.720327855685654
144,5,5.1439712767822,5.791163271668118,6.479473657097932,5.077042137018704,5.806909813244438,6.592352570308952
168,5,4.837627290162538,5.410881296549023,6.0719003545552725,4.599742955655541,5.257915324959558,6.16375320335991
3,10,40.763264879919504,45.699307899432526,50.01560146421235,46.69022538668783,52.01832671679212,56.96054363296807
6,10,33.5862986075811,37.741773365049745,41.66054707480836,37.98182682123101,42.75531313215087,47.43344791863606
9,10,28.76112274005765,32.39710944737311,35.91374001745471,33.72740322296638,37.6425242685627,41.907855347033276
12,10,25.38983388121357,28.807285496046184,32.268579085098025,31.38621472145958,34.931648889621734,37.98847395620648
18,10,20.947366989960845,24.016714775639002,27.13655221178152,22.965003873323884,26.27536551030636,29.680103135582257
24,10,17.994095565051033,20.658194553309755,23.77067203477801,19.858767388794764,23.16952634666866,26.166821253663443
48,10,11.687575584735963,13.711189225017765,15.891918196359022,13.236278660667896,15.597606414008395,17.878310601392382
72,10,8.94718150827944,10.487090712131064,11.736809144418316,12.088648036236796,14.918435606888586,17.521642202436016
96,10,7.3526980707732275,8.635038936937086,9.891623566556678,7.668489416630056,8.803263809203553,10.20751501956985
120,10,6.476152493334181,7.573209932671659,8.72923289813399,6.210696659171037,7.11248624384015,8.161242124867108
144,10,5.909396788951137,6.80377017147379,7.763234641278032,5.870631959543078,6.950794720286272,8.082002045685694
168,10,5.42093339178146,6.306985122704116,7.141855771286038,5.355275228387618,6.307294293259905,7.4614799343151095
3,25,44.541236270566245,51.7207764822259,58.54097981867167,51.96842332795481,59.61060958775849,67.51401351370842
6,25,36.68456072409947,42.533335555673844,48.211931309069826,41.655234733501175,48.47803653571455,55.23530655082966
9,25,31.93875781267169,36.957886176089815,42.81893933772634,37.302155800745766,43.23000227519854,49.21201280668127
12,25,28.011357857319986,33.07169849606777,38.534442139172114,35.35514101373187,40.061531037054884,44.29831383011101
18,25,23.464146395110376,27.928913465578965,32.99466202767605,25.577234134086495,30.510695812942295,35.53049515874156
24,25,20.107419338862687,24.370882224214192,29.598387900568326,22.526143714155065,27.242856333193743,31.84258490448356
48,25,13.35775023967052,16.36886131392478,20.233173633141952,15.231173807476363,18.589749254816486,22.45103773149099
72,25,10.075096860432598,12.476158980558012,15.021576351273637,14.861668706281879,19.83032093941677,23.894100184206792
96,25,8.283360252124771,10.28434145481811,12.369978559005006,8.710477601113347,10.485075389420698,12.639653463113685
120,25,7.243407862433644,9.087342130052466,10.995858004769776,7.137869797357314,8.579344514487985,10.490998273193648
144,25,6.636811630960773,8.196235133802695,9.905672871425201,6.689438399451982,8.620892126791233,10.843923102894053
168,25,6.088457237039158,7.483267300368986,8.94993489894923,6.257359382090801,7.764753956702132,9.618156334365903
3,50,46.87443792747656,56.02420992029987,65.697522588831,54.7035351489601,65.19479723833274,76.08643788320467
6,50,38.39379911915498,45.79432504105033,53.91336681892571,43.8054173426374,52.39874836976897,61.40777873029489
9,50,33.79574283077072,40.15418301302065,48.388973456039665,39.127442413472295,47.16208539513357,55.17863265463082
12,50,29.492143281640764,36.06674893030409,43.768951330244434,37.212635639404155,43.55165900641328,49.55363071263652
18,50,25.045729740823226,30.719409719920655,38.476954419014874,27.17106521856372,33.54628898495057,40.376462798594645
24,50,21.476605607203815,27.093774224141896,34.54972312734019,23.686238933743393,30.169256304117102,36.90122149617332
48,50,14.305684321476253,18.381870228332005,23.629879578375817,16.33041904492575,20.816977562582025,26.329538341693222
72,50,10.772698910596956,13.991288669901838,18.12618247298692,16.478954381531143,24.156420274968937,30.11090385199821
96,50,8.840375725628054,11.566370589980401,14.68245578006622,9.391444875811327,11.809459906901067,15.255341440812579
120,50,7.729892801961807,10.278682828227975,13.10612000395519,7.6575204525349605,9.774220500478934,12.822479443984857
144,50,7.151165511388818,9.31753812094478,11.99088388297091,7.290807565671059,10.059924826681439,13.636761326596751
168,50,6.544637574525102,8.388839821690532,10.752967168519742,6.784041778697942,8.95883497463159,11.682895140633882
3,100,48.64769997788429,60.162816491481365,73.97587236720977,56.621250499416234,70.73230291998972,86.20476512013153
6,100,39.38621406966047,48.803283890068684,59.962664085903455,45.25234075615622,56.05979687628718,68.25847504980294
9,100,34.91577351217325,43.177510948875366,54.328283800875624,40.78461433021207,50.91774583451816,61.91438101906702
12,100,30.68747768848436,38.90489665364527,49.219185621207956,38.464527687293895,46.79161406089495,55.27237660258007
18,100,26.20682272814861,33.3985698519142,44.340103560607744,28.483979507040054,36.49206528191775,45.50013608953997
24,100,22.363047528869735,29.770402664173467,41.38752772974583,24.861831142146197,33.016290193579955,42.09912631607937
48,100,15.017944546765616,20.4155809639785,28.490496879677828,17.12982266509392,23.051454518388283,31.247213574147047
72,100,11.318316783838144,15.529371827161622,21.82562326912515,18.00913225032552,29.15102880902026,38.46388099549176
96,100,9.360729746774963,12.890429001402822,17.523952551788877,9.93871292688721,13.20358022456238,18.381570058687913
120,100,8.188929440187122,11.521859976872943,15.65909687295515,8.106702370604449,11.068349664995846,15.727418618704284
144,100,7.5904244629288655,10.510955244535289,14.686719374673316,7.8047136421140495,11.695599340731096,17.119786909791273
168,100,6.856181589363433,9.316465845183867,12.873998280168085,7.272558021365478,10.256639606837503,14.15541344247945
