Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,28.100400285803346,30.91977736700811,33.87303765537894,26.010382914221445,28.561491209059444,31.36212082146985
6,2,21.155655325793603,23.232239708808166,25.46446824165482,21.87688323871106,23.603506736708237,25.339139928182917
9,2,17.04262396785485,18.582726451646735,20.27935651010617,16.959829241021833,18.49520469739553,20.264572792416615
12,2,14.122965844853663,15.50033578005998,16.987673057443597,14.160432859122285,15.541025436988212,16.950103022446243
18,2,10.667124456945917,11.83324869342362,12.885013717427611,11.515134262055232,12.809301695999364,14.084605553547972
24,2,8.836191387299301,9.694550455173376,10.684007243525134,9.663877388577394,10.97570081751131,12.297163962381845
48,2,5.272972949376991,5.841290746905116,6.429688814011559,5.601847151888702,6.418163627565281,7.3079736544844245
72,2,4.044737925138743,4.497477833566661,4.960973228231518,4.241468490314084,4.641222128423282,5.0848726969911455
96,2,3.2546287022680174,3.6266023089533483,4.017150277132955,2.928908820611785,3.226079761636787,3.5679210094946896
120,2,2.869784932184124,3.155984830958139,3.4646167398100767,2.811056923587572,3.1114656751042906,3.522064683290928
144,2,2.5684570126062045,2.848951872865156,3.1394056381390456,2.787672885430985,3.1253545219441348,3.560480609449341
168,2,2.368119539016428,2.6157288790892284,2.917603646365747,3.4581008002751545,4.123465938151986,4.9894189619960105
3,5,35.93091654771939,39.59158730941296,43.537683566832555,34.00441970007034,37.4714550410565,41.35769803649122
6,5,26.524588790146545,29.422765459784053,32.342635545232575,27.72254923034047,29.895296790545892,31.863794324858834
9,5,21.158882356545075,23.403961373403035,25.7016112388271,21.62684077585801,23.703798862733624,25.80677590104751
12,5,17.647714917716883,19.555520497357524,21.432350396532716,18.22590678613747,20.022690711584705,21.747955516694425
18,5,13.553598324754233,15.139874968570972,16.638277197371362,15.763726141158973,17.398553984088636,19.219743450585
24,5,11.253758944782817,12.439742451086882,13.640780093935998,13.9735476937894,16.11251869766703,18.31750253861337
48,5,6.6664735430038,7.572868498187917,8.463849219261174,7.965570976894842,9.449876027721151,11.180153759474116
72,5,5.214311865230255,5.8037914579959535,6.426211737429803,5.617171916081928,6.210746770711783,6.832783762406168
96,5,4.206397030146695,4.7090417801727344,5.27136425817881,3.8223269899465793,4.411887634248108,5.048775922862207
120,5,3.6289660747699752,4.070254650380791,4.526995173058139,3.7855628703712685,4.425319603336987,5.275723008451332
144,5,3.335494961289407,3.72177760948989,4.147925126734496,4.088698277019532,4.979113240579757,6.102743349665207
168,5,3.0273140552009252,3.4273513414116556,3.8447804727403714,6.045826514149347,7.580747086489476,9.205595500128933
3,10,40.18203979172976,45.24012834095012,50.61035145395961,38.17466955179701,43.611662655334314,48.736279143257576
6,10,29.459064853495697,33.396103448506125,37.300192972186636,30.882291561596382,33.56961803365418,36.107184366179126
9,10,23.511896438941278,26.417200101308985,29.282465013125424,24.019730075134547,26.752277824715527,29.136464222053263
12,10,19.659735523276815,22.010647764724,24.52928969611149,20.35843611614223,22.536450915882405,24.369399489732977
18,10,15.097343820228225,17.18573529627668,19.121179733717288,18.32080585552494,20.53233482520044,22.768952857299738
24,10,12.672755383824914,14.123496330088518,15.725739034502348,17.543286093284674,20.202130148443974,22.773703455501234
48,10,7.52744450784154,8.70767359313647,9.951577827998193,9.645352502266178,11.90463733851856,14.343300188984784
72,10,5.791180424295577,6.617743736686397,7.412932593469769,6.5714536185964105,7.379214404728744,8.1630692658591
96,10,4.73924112292892,5.410730988718817,6.169562338537455,4.429122670530329,5.360758484162216,6.489715960763016
120,10,4.083546161161823,4.676161823327802,5.297206843531237,4.445046060453434,5.6526645046786115,7.128483436628006
144,10,3.7461552757099765,4.315100096253473,4.870646609677234,5.4085639368283,7.026311036886497,8.853740859274287
168,10,3.4435653473560994,3.981768383332312,4.5493536768871685,8.518413402484729,10.84342051300128,13.183975856666528
3,25,44.454832737769834,52.272897465074635,60.45387505849028,42.4613386992508,51.75218268369623,61.747628997267896
6,25,32.33986590687432,38.27801907892443,44.46891813155635,33.839194292982256,37.75170978545489,41.19191619182237
9,25,25.682596076015766,30.032122132584504,34.655001243161415,26.524138456329574,30.231038861141766,33.58221395707934
12,25,21.494226755602263,24.87336996051733,28.320724870409556,22.25601791004034,25.299939660259994,27.86969194734374
