Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,35.71293245898792,39.74220495950271,44.24908767858396,35.16631181829576,38.207806963658776,41.405859495407086
6,2,27.632345822099275,31.188846454312767,35.14494339832345,27.40338696018931,29.959328636775552,32.878915666825854
9,2,22.917483522625993,26.445344192373746,30.04426117960395,24.152407644989022,26.73912751392032,29.553022142371923
12,2,20.19979824927284,23.441697385287032,26.95247989006922,22.372338898869536,25.40267471980476,28.462343609688418
18,2,16.925033353191065,19.34702581104752,22.038498147077348,17.53505894981421,19.7597628610161,21.91877880044394
24,2,14.24746123087419,16.794213629791837,19.236747698124365,14.946397322710482,17.016042769341748,19.4840618227168
48,2,9.088450140797171,10.56588003929387,12.25947018794044,7.26594632825493,8.444564205987554,9.776454044813587
72,2,6.687334953739553,7.611848614648718,8.774421243599706,5.794654044014386,6.771072474828886,7.7057693448094895
96,2,5.309647525006429,6.04371280105387,6.936654551844567,4.707190527486539,5.418798211907298,6.208805952636286
120,2,4.469083207600234,5.048210502083301,5.830945626360404,4.024667616149366,4.689475362618362,5.422768322565433
144,2,3.930655022032104,4.396709731884318,5.1258709375551845,3.726798235066606,4.287041843732052,4.907251185511974
168,2,3.5211822663476133,3.9482852700469615,4.5002890109051075,3.175863890641198,3.5801314856208806,4.078193958799803
3,5,46.51782306955965,52.67031359638334,59.29871037483185,45.18787920304797,50.40477008943203,56.64152105467657
6,5,36.97652187020218,41.82052522280979,47.31110101286676,36.00316690481962,39.908546433103574,44.44062334521318
9,5,31.66966067558303,36.424961152191244,41.61093497196365,33.02806688375039,36.52607471350385,40.428596131996684
12,5,28.113824960520457,32.640606858238606,37.10557191648768,31.865493477131984,35.69698993682885,39.59292714632913
18,5,23.768229391385358,27.238125444527036,31.041622431517137,24.556914510899325,27.734216648515954,30.81320883467571
24,5,20.398435278303197,23.555437484496082,26.441942993592875,21.407112626400906,24.095660721414056,27.36911862252345
48,5,13.004292819446821,15.38856817428487,17.789913219436936,10.892921029276039,13.118758664166503,15.447008844877924
72,5,9.332479112731514,11.130404958866855,13.298164344862936,8.47438994382629,10.27473521264553,12.403805610311844
96,5,7.377772109420189,8.814403337873113,10.55300567730781,6.602747259535619,7.86766678592609,9.269724598656076
120,5,6.2521700662193975,7.413626423931502,8.782234084912258,6.027253588127067,7.395766006947843,9.03719054075676
144,5,5.39658925105619,6.34915557588751,7.769664416306259,5.2797259962514795,6.35186504161665,7.61255900192106
168,5,4.827776876015893,5.686774141811215,6.787001187960322,4.550875124559122,5.412408340581981,6.449321651531679
3,10,52.664953327782456,61.83169970850153,71.3549619504708,52.12569739039718,60.30556178209847,70.67728815635476
6,10,42.23355321764895,48.9636658355403,56.621362172398904,41.18914850876442,46.8751274017191,53.11372826093981
9,10,36.55741564329502,42.94360149449252,50.132849617326215,37.76691224893315,42.96977827361008,48.36585319703251
12,10,33.14823395616686,38.55832976488482,44.29142034024886,37.53070340310583,42.548638101539645,47.19915414219075
