Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,21.471679977060127,24.070088651539812,26.741607186458214,23.44938640719524,26.50015461015152,29.8894018445462
6,2,16.258294133298048,18.04120044150824,20.312283948237624,17.066986038360383,19.067309110341913,21.14661579744333
9,2,12.874817351489176,14.267876517720183,16.07936792132666,13.512926832834601,15.061560071631789,16.901708786791062
12,2,10.860819039703035,12.074059480512432,13.446843725991585,11.134304162463051,12.376659049926648,13.786652783537608
18,2,8.497999734696293,9.512365470348021,10.67561930886282,8.733975069997543,9.750747372010206,10.940838325254196
24,2,7.037054901473965,7.838283771572378,9.014128565213564,7.067699253266333,7.958856081740075,9.042966695484742
48,2,4.0870876745505,4.6726218621802404,5.534139608804552,4.264583460982043,4.859206291659197,5.615924212909647
72,2,3.042081919568324,3.4421744812645105,3.9720630698581836,3.185446240800592,3.9484663781373497,4.804883600078504
96,2,2.441479199021659,2.8005892163876163,3.2246048294042398,2.5214075014909265,2.9284335798475647,3.3743365750528147
120,2,2.138580227848747,2.4196996481585096,2.7933938491554873,2.2106582205958722,2.5939501056843186,3.0091601857457415
144,2,1.8808150141905084,2.137687616942787,2.461829266884197,1.9330128973788798,2.334061898126899,2.7899178010157013
168,2,1.6775375352330713,1.9171577870789587,2.233952019698652,1.751090408075932,1.969662782275762,2.2294530292612618
3,5,28.10353235427653,32.327913583677045,36.730352090326384,31.92833489679051,36.62090432545941,42.147669967593345
6,5,21.366769291062134,24.24435106745048,27.65995201293822,22.696128785369403,25.94607464917301,29.444342812190577
9,5,16.88086454818396,19.38472732719995,22.59871587730375,18.36890174064075,20.888455950809927,23.78662570995232
12,5,14.32492326315861,16.59374960083909,18.97486868041654,14.657394746487178,16.835978312680368,19.35890413413597
18,5,11.361619713543845,13.326188411327195,15.4375126643797,11.999602520193656,13.798794311041215,16.128561443722813
24,5,9.587004974293237,11.287477358418416,13.712963105301483,9.756836285161002,11.254373492463207,13.053076064425525
48,5,5.708655517167126,6.848249259185872,8.435623962265645,6.025657222048157,7.0385646715526295,8.293592959241218
