Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,24.747078635758577,27.605107428574,31.117498080644907,26.438166223750414,30.07765509748907,34.668000440818346
6,2,18.86457059765045,20.85106348629214,23.175751685537776,20.47609346372754,23.325823757987106,25.87397566070956
9,2,15.285475701591485,16.878909484377157,18.71085834194451,15.0361906170866,16.800624787687408,18.850993322151712
12,2,12.866533297763215,14.242894385417081,15.684296666898383,12.367371762899747,13.806130600522415,15.275569580456292
18,2,10.305925166457705,11.360812444949662,12.492669467268154,10.258362698794613,11.233876594105343,12.226655105016533
24,2,8.688376628214566,9.561133633446914,10.508560587757563,8.231383245681847,8.896692448429881,9.60531826413175
48,2,5.435951176217861,6.0756191041792995,6.844031772704233,5.731851509730023,6.368067708162872,7.117990873826642
72,2,4.158819230361514,4.652884278872606,5.234764683722758,5.419440227469854,6.099004001597068,6.784367588341554
96,2,3.513438035991644,3.911846488176934,4.318159605196946,4.21961370952349,4.759713131790411,5.272811877828639
120,2,3.080815453310693,3.4402315551300284,3.8457264982268775,2.9124766652126075,3.6900257669097334,4.516896785040965
144,2,2.707972977926939,3.0383140471231544,3.359070962268926,2.812974942869438,3.2956340406313958,3.864947037830526
168,2,2.461610178006965,2.739358376913329,3.026893374131391,2.3563629690083143,2.775814643366312,3.3128273834465833
3,5,31.850578377919803,36.254218121407646,41.1442631173047,38.142344032903864,44.9477924223379,53.30206647940025
6,5,24.429065911353597,27.149547079290272,30.3739166031419,29.722866762242152,33.37896882292889,36.5732013117866
9,5,19.633986499586282,21.98490465007135,24.46625820646198,20.670408957490697,22.787582883030232,25.251149086494355
12,5,16.448639382781092,18.595892774486632,20.569477668386554,16.69641411422602,18.431247550997295,20.085638972226427
18,5,13.089304592130063,14.769141203366845,16.62186159938584,14.41442902669257,15.742340059026994,16.92632445735858
24,5,11.168846061067175,12.562353482432545,14.072562218931235,10.598622456104755,11.555053010064123,12.61615296805431
48,5,7.073799032802986,8.137882894380622,9.329006951517488,8.580339495569982,9.866411750961085,11.426881279742858
72,5,5.515901734107354,6.225889274611491,6.988041901995735,9.878374437569956,10.92097677677858,12.071177097217836
96,5,4.589273233447049,5.166654767323149,5.750444024508985,6.813445319404801,7.809861907874771,8.715013648542097
120,5,4.097764167916324,4.573670225484674,5.101665516639484,4.965970334570816,6.438816609958817,7.926193084388231
144,5,3.5752722272116215,4.03524540076131,4.469861507151258,4.617956231740064,5.535406585749097,6.568263040178076
168,5,3.1608167659570996,3.6057415326653732,3.9881079128022705,3.783455834325732,4.709436675209684,5.7308730761144275
3,10,35.836841097957404,42.44935868731389,49.243369983466366,47.349163686618326,58.14948090627141,70.66721615662227
6,10,27.555058111243895,31.360987631256677,35.96455565953983,36.39959071748994,40.56488985197932,43.906075575811855
9,10,22.25272678013138,25.37882900102387,28.907654383752835,23.58671089424766,26.258514762788707,28.875523547307033
12,10,18.711758667892266,21.611974937989423,24.344639806474618,19.23854864308542,21.328768694784625,23.12792661963287
18,10,14.742659928164212,17.22998710942537,19.880167383276266,17.202654725494465,18.800378918420297,20.234041586998263
24,10,12.67953205644117,14.7523273152803,17.018007197690864,12.037155436930364,13.326465803925432,14.944488606201524
48,10,8.180744377331383,9.650140959351381,11.427039935404583,11.052582253347197,13.01199541133084,15.33685102440203
72,10,6.289300419220214,7.314397919202025,8.2932196622486,13.88586518533496,15.079757038533668,16.316298902696726
96,10,5.22837086230178,5.990707579643653,6.787938355106565,9.111479569039528,10.471567160518154,11.663285450619085
120,10,4.644705661747475,5.293548463890372,5.992490191556634,6.813262732209925,8.853579583536213,10.850251182586426
144,10,4.084180771290033,4.667863823147395,5.240640687182951,6.238472425656628,7.472678578086389,8.848319903995069
168,10,3.589100214235965,4.18028649942775,4.708722592013219,4.888512060254355,6.437711778982099,7.99079412383356
3,25,41.12154191598837,50.854738458438746,62.550090626877676,59.79084761571875,80.13947206512043,101.99096290332159
6,25,31.12574348942264,36.729667768535705,43.898402611857975,44.947615687827586,50.33705883966881,54.516266548786376
9,25,24.983243375266124,29.682286101748932,35.45562755655728,26.544841894755713,30.183947454355717,33.2618566813594
12,25,21.284891890805056,25.58260474364778,30.46733453919896,21.900150358798697,24.839637470752287,27.422171192529426
18,25,16.83469346240793,20.59308872659567,25.24187457826008,20.479348164022927,22.767352120670868,24.816905970094027
24,25,14.268207270913038,17.774226753654563,21.994519110298175,13.47427143582339,15.599330180256043,18.30022500189519
48,25,9.523403053476233,11.746265249701342,15.16409580522054,14.18603786112828,18.30147499864557,21.944368609094255
72,25,7.188105121187263,8.745752709761414,10.373844007695451,20.507688879734474,21.77910620430454,23.10053161001609
96,25,5.916703708505873,7.024284992614868,8.33511734809087,12.616547129133872,14.812581574866428,16.620443034924833
120,25,5.179128464144242,6.1697243101772425,7.223398749272592,9.757725363387014,12.817092640831401,15.514713271189724
144,25,4.586023565886571,5.437222618283398,6.427764952983321,8.533376050342502,10.610612836787162,12.690549827493992
168,25,4.079570459946538,4.907279874446012,5.7680091342328215,6.475168996191915,9.327153632998492,11.734734851363378
3,50,44.10825814222284,57.536002739336325,75.4768031869194,69.73811538970497,101.54228462994573,135.55419822796398
6,50,33.204545768053016,40.74702243186332,51.68670098677973,51.04416852478728,58.1485717993949,64.12278836022745
9,50,26.6088356630853,32.8858550373511,41.19916662983836,28.30160960354624,32.81439834416968,36.7969163638014
12,50,22.665243243084017,28.64805999549173,36.23970995122336,23.243853685458483,27.35597473154791,31.007126167752276
18,50,18.17691824523988,23.28514228763365,30.371588957731483,22.46880909423508,25.79751068001638,28.79813813192399
24,50,15.28913506374457,20.215768036196053,26.85405241004834,14.251878284743341,17.32403746760874,21.143931673277898
48,50,10.36909610310879,13.44717924754168,18.65348189354411,16.765432797117136,23.486489291099318,29.364042274779983
72,50,7.703774289623738,9.849571123802628,12.32216239170469,26.48467283420036,28.063659093763718,29.657027682148048
96,50,6.272830531483768,7.785596441787032,9.711001834456127,15.311530512345293,18.937694645776315,21.597863580708378
120,50,5.489642813667283,6.796470388161017,8.2151559660597,12.150025787408222,16.607034956330732,19.895879954647835
144,50,4.845627220482083,5.987133835442822,7.331215201574182,10.400928397073114,13.57624535135356,16.543270867033364
168,50,4.370695259612429,5.447366609051343,6.723375544743688,7.783230589058181,12.143664215265199,15.690821501529573
3,100,46.545519034243526,64.5687687347196,90.8642964784614,79.50190860038842,128.463727320343,182.96819631029155
6,100,34.973306177755354,44.76406700182112,61.5548573641846,56.126775995820964,66.43362450099129,75.20464393634344
9,100,27.971577821687973,36.07508167094093,48.29180070311188,29.780213208480564,35.22274382093593,40.833925367657855
12,100,23.949745331936292,31.795701362517097,43.01548031855242,24.455948365375328,29.794394386205035,35.21449343333805
18,100,19.422359330833654,26.135781544112977,36.521425180654155,24.08550599933736,28.889941723077403,33.20721031025743
24,100,16.21045405092274,22.821711346462845,32.67786821464714,14.981612626256906,19.08009117570791,24.34461549028274
48,100,10.934338701011821,15.269339574560252,23.20756025137889,19.417104227471008,30.03830922925969,39.15245452437482
72,100,8.081082334332981,10.981907106975864,14.750289687238446,32.83168698056374,35.691426830212976,38.20310040199068
96,100,6.56937080558488,8.536722002736978,11.315206118210234,18.55762150157119,24.00496220788482,28.078035007455988
120,100,5.709288238896902,7.399667289839783,9.290183300857258,15.017963794623613,21.288211318976295,25.734157768079413
144,100,5.081986460045996,6.5160353698973195,8.434414396536605,12.262670101229423,17.205290491918355,21.464679431027744
168,100,4.581206831862167,5.984107782361026,7.807195477184338,9.23372580244423,15.685150339404945,21.039179737045075
