Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,29.21151859471366,33.50404623797545,37.94681474779935,30.170722310086134,34.2123449481977,38.87573398786452
6,2,22.373093867468825,25.065724320543744,28.211612912605055,23.023290115873017,25.84163857293632,29.112482463947735
9,2,17.616424811071074,20.121528397533957,22.557580356659656,17.017699702175506,19.3213917671322,22.030031534353448
12,2,15.035927005048194,17.035164698703145,19.14552463779623,14.356421960058718,16.075100980433152,18.37414148653457
18,2,11.422712793109614,13.060766821571228,14.84495240899421,10.752512059472734,12.102005700536054,13.474755322552145
24,2,9.714345214682167,10.983878769514032,12.622131693782897,9.319032469303105,10.511341289399569,11.766083764720856
48,2,5.886962683774618,6.667587661253711,7.583526582858385,6.036993840344847,7.039617966202465,8.664665299155558
72,2,4.263352284546896,4.878974318930212,5.521639686852869,4.4783150930058975,5.068219120555565,5.7428703416819955
96,2,3.489177065179484,4.00092838502331,4.501805392157927,3.584700687871881,4.033259484244326,4.5755102908352505
120,2,2.9919663077496126,3.3580663076638375,3.7855663658367984,3.0909177446890554,3.6419886981038982,4.316941580242556
144,2,2.659404909653573,2.978372158419413,3.357690934964685,2.809394635383686,3.202106626259851,3.7008395942352372
168,2,2.3989903713264056,2.6752464641918356,3.0158856949027886,2.628952859938642,3.0048573056168006,3.4054147391961065
3,5,40.713411543095205,46.70778584222504,52.942955187667934,41.89836701418078,47.3601347391497,53.6125568899117
6,5,30.20951367895362,34.349105109195634,38.88302291205475,31.79816833157234,36.3780048184419,41.96702065276311
9,5,23.884508551633406,27.54988935308385,31.235936311256978,23.38738820958136,27.437731775350866,32.22780719629161
12,5,20.343905233778848,23.368653772521156,26.38739368562719,20.116265996638855,23.021563204489727,26.717263397784052
