Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,19.298375136522253,21.281751878867635,23.64340790729681,22.518217727606718,25.68745524298351,29.19318781414387
6,2,13.238771854881868,14.770068690067728,17.019083715218798,15.328190243938405,17.21090645211579,19.360263363837475
9,2,10.311748528011634,11.572152475156237,12.947569365236415,11.777712383261886,13.175569896885877,14.740676189725686
12,2,8.734771934190357,9.6321360331163,10.758333025316748,9.459801151171877,10.815737675393157,12.216602632602672
18,2,6.492356408429928,7.221445626438538,8.131951195482515,6.867771326498703,7.5577226684447325,8.347955578876185
24,2,5.187582686013909,5.802881062138001,6.529000723717405,5.397776191813893,6.054080602844152,6.741840107236925
48,2,3.3347116006531436,3.6893176176728986,4.156181045928148,3.9188553788470157,4.30919590972586,4.674160516924859
72,2,2.5098591350495596,2.7935192830388025,3.1019202052872963,2.4703906722106304,2.7672320711738316,3.1216452109383517
96,2,2.1210651161606746,2.329418519158996,2.581100778429473,2.2330521870857805,2.472191289292006,2.733647168042097
120,2,1.8115494378773882,2.009607738288201,2.2309057375858634,1.802512739194564,1.982862083137114,2.1844083737199638
144,2,1.670633879206584,1.838011117261873,2.042399896751073,1.5777474635502515,1.7704396234837456,1.9717858816840295
168,2,1.500174908720524,1.6700935366886458,1.8661968348050435,1.4464839251087371,1.6181503312442524,1.8231722751693458
3,5,25.58574763847936,28.851888378796957,32.94597893119157,34.99765577758061,40.68973120728749,47.49194441123875
6,5,17.702984911741567,20.644435772623275,24.61428305954785,22.815194589490126,26.482906610036814,30.827436204458017
9,5,13.751701414586517,16.06292051046725,18.58105585857363,17.07137211722062,19.732315818769237,22.9037786064918
12,5,11.401515998835333,13.206251828549936,15.33545656446439,14.245964495197601,17.18383154331547,20.25037067855032
18,5,8.543487557990165,9.899108178975444,11.406892787219771,10.69318079877742,11.963929159936804,13.345061362459308
24,5,6.889168608786516,7.891835923460292,9.214325673499477,8.348073739088592,9.49352000813944,10.594750699265592
