Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,23.35811972630166,26.265506077049068,29.544499275115147,23.643796861788374,27.14996096894707,31.37804212183724
6,2,17.727531130667515,19.892216737657,22.701362774577674,17.87645428282268,20.24478029784176,22.664703573681464
9,2,13.955283940533466,15.834948053486283,18.066091075353818,15.239400123608064,17.202270395366345,19.759852095203556
12,2,11.792942035915056,13.366699928213674,15.155566669568774,12.622267387191325,14.177243454820262,15.910595299065307
18,2,8.841888808216751,10.107098351166382,11.59269502964044,9.713138779075399,10.988707942478353,12.681940402972174
24,2,7.218413457091639,8.320351348823182,9.729376977991155,8.059148073345852,9.188453316096073,10.512588810801137
48,2,4.281430043427477,4.880106616171883,5.588058241267062,4.597360605072874,5.357415016872029,6.271570579106854
72,2,3.095038870438123,3.4739475457359097,3.9902676563788972,3.4225545132837283,3.9466378283262444,4.675742706222363
96,2,2.4169583236723824,2.763511669840493,3.170608190329993,2.5459260276219773,2.926603147608588,3.3718131822158233
120,2,2.1122492849543266,2.395047918174609,2.7343309571432126,2.2639943104910722,2.577132783047763,3.010750908437828
144,2,1.8941538468053802,2.1473776153919175,2.468840424310202,2.0762469881110768,2.3336000189551824,2.6342454773068766
168,2,1.69678160369976,1.9212753990061935,2.2237918000103507,1.6936213313564552,1.9633922748446115,2.337737435178745
3,5,32.353684361393945,37.23668021631783,42.8361300259252,34.26096901887131,41.10962801469714,49.96408408553289
6,5,23.858037114745194,27.841518635961336,32.797642100890336,25.215324249937886,29.55698564690119,34.890649949587086
9,5,18.905448699453625,22.36987363302231,26.051949968084998,21.52531273037951,25.059086400190296,29.72326598419192
12,5,16.082422298996562,18.89563539117338,21.91945463389012,17.68336669000154,20.98078788070894,25.099001014664623
