Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,25.447063439414194,28.33509174491521,31.398284766730022,24.133791776754542,26.629205839913674,29.96182228154339
6,2,19.77474040367696,21.788685112596937,24.14404930613675,18.997187993156306,21.23429528618328,23.805970894949755
9,2,16.222635422749484,18.0268412735389,20.285393423115252,14.745848312403737,16.097859621198943,17.55761048511492
12,2,13.73497321444604,15.25877081825858,17.144339664304805,12.657977943039086,13.807334484300604,15.104202863128744
18,2,10.49222044485477,11.931998242628458,13.48839114842161,10.160117281957794,11.038868778501996,11.995213070059968
24,2,8.801240932061638,9.914466653952005,11.167513902649164,8.309807034397632,9.122172711840673,10.232618044214139
48,2,5.442949877452827,6.12295252457897,7.04183079133292,5.1685805768712925,5.705251241363274,6.347950069224257
72,2,4.015718239979109,4.503246570542656,5.043039100095964,3.7813730295605126,4.15393028310325,4.64148619824835
96,2,3.248268132150711,3.616734661424722,4.126626964943476,3.120497300331884,3.516195097091403,3.902756908077249
120,2,2.8296193820894207,3.1817588294777486,3.590541442417661,2.8516224219985395,3.1171631654864984,3.4392722536350986
144,2,2.479239367628696,2.787185311141991,3.129185089744389,2.3383556745567073,2.5380770722374786,2.7584039889568674
168,2,2.2417016649483408,2.5057089738761147,2.8796248394250825,2.1287943969361978,2.363996360669898,2.622583908548262
3,5,32.83355756957786,37.65327376176635,42.72979507175097,34.34610583375663,39.33407016487612,46.24508523791333
6,5,25.800126921432035,28.75915465755636,31.9306757982179,26.840659120846283,30.914195739866393,36.25173923348438
9,5,21.10107586165713,23.672918798452315,26.7551082354054,20.42630449860526,23.008882335662932,25.742893388091154
12,5,17.708522545659463,20.31115766224356,23.229661178973025,17.75605335163494,19.89667384976492,22.467086024857323
18,5,14.020913060539101,16.28851125708529,18.591033722580818,13.48875833933933,15.07982292883515,16.944588519205006
24,5,11.822719691437717,13.596214074460175,15.50104299026366,11.558404354186116,13.235968884001895,15.417802410657679
48,5,7.258922166224616,8.499227870672438,10.061904043508505,6.994768384767376,7.853872113360687,8.857854606348514
72,5,5.433851477104735,6.313425716526909,7.299228585531127,5.075642088388337,5.851701240242838,6.56213411976794
96,5,4.277230172293943,5.066419612220747,5.980885496989027,4.317321744308364,4.961252463262488,5.720873214932292
120,5,3.8661287849276915,4.478245410477451,5.293336558030506,3.878167137008583,4.36202880072745,4.933391240010357
144,5,3.3217166021679723,3.8966264399044896,4.546473243431535,3.0402996065300183,3.4233842900135727,3.8491883335914325
168,5,2.9622197869905476,3.4817532281230283,4.137718320915189,2.8902065559935943,3.3301565874739234,3.8592939310140815
3,10,37.15925674641304,44.677427492432784,53.078083347529244,42.50014150838918,51.3333775817891,62.23978613266075
6,10,29.365917009094417,33.578793627616875,38.57707804448462,32.751211487928664,38.85830455129375,47.918635007183255
9,10,24.051850323567983,27.463552702412223,31.71154940454499,24.126126129215184,28.46839673492139,32.56198066350386
12,10,20.043059340650203,23.83207469371389,27.67995902497602,21.11863418920357,24.52170674407224,28.732273501416927
18,10,16.297324893427263,19.49927026047403,22.693653913869717,15.532809413583319,18.214133696225417,21.07424137274925
24,10,13.657562150754426,16.347083646690876,19.44728809111514,13.82132567541873,16.61345493479073,20.172263273671366
48,10,8.551140677756779,10.301713238092354,12.754737813547543,8.167942660127107,9.392062527564317,10.81252440359413
72,10,6.394968687565414,7.771096136090913,9.32254173428405,5.993579924510171,7.187769374189239,8.498558865731324
96,10,4.943845082195518,6.266331629843824,7.851442547573539,5.051633454425632,6.055846685888799,7.3375065075878485
120,10,4.500219159877713,5.525606308336575,6.782083689328841,4.505538049826221,5.360907036841984,6.301562589441282
144,10,3.9632794717214876,4.8184841620522745,5.890822071606086,3.53646890471365,4.147047107397003,4.817906836861695
168,10,3.4283472865787816,4.303879103685108,5.342128274067093,3.425713231117602,4.175524307815876,5.147721308728933
3,25,42.898343053300835,54.66174125723225,69.51682176621082,52.69812079683368,72.62372211955369,95.01642998766863
6,25,32.723153652742724,39.911852739094726,48.05532796755955,38.72870340592344,51.23622703901029,68.26162133519838
9,25,27.259610055981163,32.31361020678254,39.117397766560025,28.43560954958208,36.6574350203091,44.884103936890824
12,25,22.50912732992817,28.491598420759438,35.136226376293706,24.967829431465283,31.211084473498474,38.92116697796702
18,25,18.99661891879164,23.970141785781767,30.451733443442293,17.777149106278223,22.848172138925378,28.60955888454461
24,25,15.749892587985293,20.225732671221326,25.367249341280576,16.22176281634071,21.870550068533287,28.12552146405568
48,25,9.951827823046354,12.87848075242118,17.415945541106638,9.340734964648252,11.501633296676083,14.10614205281071
72,25,7.5603230125846395,9.97238988589947,13.164767565022732,6.822870181544969,9.19388544396692,11.930674770420685
96,25,5.73007124580034,8.12485708916533,11.14724930579927,5.825695953746569,7.6407173374575015,10.064773748385953
120,25,5.3555079389983185,7.111940669840961,9.755519915489119,5.220551951903428,6.884953874089418,8.688870242046196
144,25,4.641976378169691,6.251454428605541,8.386249223990271,4.170226347260821,5.268203481036084,6.670097620482551
168,25,4.017909404919662,5.597987419099903,7.665041190145846,4.0065594588757065,5.576266383456959,7.63959985958859
3,50,46.17744458526239,62.962494448088464,85.6643506026322,58.83579498619078,94.7081682053066,133.17049925683284
6,50,35.31157843215138,44.792274042907366,57.36504824471483,43.26943369183223,62.59471126247331,91.02744010842478
9,50,28.805645824707945,35.95587932804505,46.11632874748118,31.3542665775239,43.88702843611272,57.964477070849775
12,50,24.069934878168425,32.10715729940324,42.55443553704774,27.565820972721596,36.913408333466336,48.5410337771761
18,50,20.62525799989854,27.614153905247143,37.906413674926256,19.33476139915058,26.891814480377924,36.79737102361671
24,50,17.114935080183045,23.425340932346536,31.289511691760488,18.062826388663,26.68384706166532,36.214953874536945
48,50,10.908743264503872,15.032552154652116,22.098984969396458,10.027201824194798,13.211161332460026,17.240843316192205
72,50,8.399590351267566,11.91201685477801,17.405109853484774,7.357799626527338,10.972846019944564,15.357206217433545
96,50,6.306820847628007,9.802615494449967,14.684135439889364,6.348470823123018,8.99692256198764,12.740265515466863
120,50,5.857640917496407,8.513656663223646,12.844806063972651,5.795993261729657,8.25549859027517,11.248100351296467
144,50,5.113182031869579,7.5494781478781805,10.84127051404439,4.585507869413467,6.290199417793744,8.657774928772142
168,50,4.442547773876095,6.784375895596523,10.139184338175543,4.391087143481409,6.941757759489633,10.362273779009579
3,100,48.79599372988952,72.0408200569738,106.45336922794397,67.45908033799259,124.13861304159713,188.35440917793886
6,100,37.3601271022231,49.79577899978692,68.53164565046242,47.82525711135743,76.22759662318273,121.5068654324997
9,100,29.969537089285218,39.608938527751015,54.06759402657435,34.042029893855386,52.2662073532791,74.09073662825038
12,100,25.454234188897026,35.83566600554814,51.219511330087435,30.052548161667517,43.32763512495599,61.106851832728715
18,100,21.806037280138675,31.532679686191337,46.261089676644836,20.593013428773585,31.54085095192255,47.80842263640142
24,100,18.43013377486303,26.901492530205097,39.495212373836296,19.539219225845166,32.44348415881006,47.71098213058107
48,100,11.70721352510407,17.399476619762524,28.565638338288586,10.708608055577646,15.053656830664426,21.03986026482653
72,100,9.171739054546247,14.14136000023495,23.264661306192977,7.918469863336663,13.048206386941406,20.446032500973445
96,100,6.908370158855279,11.77139502832513,19.974246914046013,6.821974495013077,10.530916111239398,16.213713365301995
120,100,6.386250643283299,10.128636981051814,16.82256692232935,6.2628424943017755,9.872084766728076,14.861710666005749
144,100,5.502067649301843,9.07712292174635,14.719146904685537,4.951263515317129,7.509012269391959,11.415191540569538
168,100,4.810517802272882,8.1950720306713,13.53452725504657,4.803832452512907,8.670942823568286,14.433037640508168
