Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,15.034526348015278,16.749291273637795,18.847686712959604,15.732202694423943,16.814920164150635,17.83864708476667
6,2,11.551424081765019,12.66741501487768,13.953032228118268,11.532821649460871,12.393343160143434,13.282606874186833
9,2,9.37901762082528,10.333955207630678,11.409627840413043,9.461773791434837,11.031113614979436,12.519861532838647
12,2,8.18287466229775,8.878702193913185,9.738863496001384,9.525085271559227,10.544615759366327,11.636433150177837
18,2,6.3102850361562215,6.877070911318217,7.5386136064798945,6.601776405565733,7.175570309384694,7.931026936990781
24,2,5.476673518950604,5.925069404057986,6.555634492334017,6.400205978360889,6.968533769725768,7.582583793187119
48,2,3.488544383951152,3.8127623645398314,4.113120446194508,3.6167245170870688,3.9107708224281463,4.187062971643038
72,2,2.6325465081840593,2.8812134201640025,3.139295851061565,2.8265173926169282,3.0487301656732493,3.273513810308478
96,2,2.107393862746318,2.307775677659255,2.514070013675266,2.216823830355803,2.3617501038264743,2.5130080440724205
120,2,1.8642542247367948,2.009418830525346,2.1936580062028748,1.9290329122025476,2.0570785812688275,2.196763121786031
144,2,1.6689603769765782,1.827135166034611,2.005656597410381,1.7694381692417742,1.896511078697758,2.022940349576889
168,2,1.5247371119548798,1.6595172380383285,1.793965490314146,1.641851085835078,1.7459823185567678,1.858365263808969
3,5,19.811450298847962,22.236524354809546,25.197706821034934,18.83876075680024,19.894779012116395,20.783819061851645
6,5,14.694401161431983,16.26811283087158,17.99475744411461,14.221615368708637,15.29257619701032,16.42760195598148
9,5,12.016993384838461,13.34159432801102,14.780519207006218,14.346833965044894,16.45134998767326,18.29275927420191
12,5,10.21691583992178,11.41193051232048,12.764328772132238,13.799374722123577,15.462557627197636,17.147062131086006
18,5,7.927505243126853,8.828670168538219,9.809397885417104,9.003208854665608,10.14039413431372,11.649545787872839
24,5,6.745200340273307,7.5188820969006915,8.330127114246611,8.696506660437997,9.40058622936518,10.096882528235914
48,5,4.312332679846123,4.7094188294687145,5.102952514645638,4.437993736851466,4.763525647820631,5.094042434267686
72,5,3.2705424338451246,3.6050077411330546,3.9074505133289,3.418998660814947,3.679842061532976,3.9184194842827855
96,5,2.6098751658535235,2.9012356940657194,3.1984001553602557,2.6405680246592516,2.8409552365577735,3.0584930481118864
120,5,2.2804636706164034,2.5103808522500337,2.7397978635021145,2.4067791555567486,2.565055403349825,2.7567632294456708
144,5,2.064050758321257,2.298079903234092,2.543715410552844,2.3303649650934073,2.515987578936474,2.6820158620515193
168,5,1.8697023580698224,2.056852763099629,2.251434937412313,2.1465924521211424,2.2934977793791793,2.437109494642986
3,10,22.489885444379247,25.98262360303439,30.09420495852683,20.063533284705784,21.236726185539265,22.185582897379046
6,10,16.519710460156816,18.663731463835006,21.123468598739706,15.59493693331952,16.9788148173243,18.288805467061927
9,10,13.47977207686154,15.344001956484423,17.2110394674427,17.89545654041344,20.284864196463932,22.341983021519503
12,10,11.441214419198975,13.175653405600784,15.079575460561461,17.219522245750888,19.350834524090967,21.216965432652696
18,10,8.908880842496368,10.236367063384712,11.645876009324244,11.003264172321849,12.782037212471462,14.89168767522988
24,10,7.555489979231412,8.618901535202335,9.710205518009488,10.235155287839172,10.99883562175145,11.683986115250399
48,10,4.773835099584483,5.256831148823428,5.77900476316686,4.835503032035052,5.256579633975773,5.611554664635175
72,10,3.601381334527859,4.032831589130524,4.436381996359379,3.7372441838575767,4.02714633751675,4.318673772844264
96,10,2.9068391425854188,3.281175924791797,3.6785997887305166,2.8753214194856564,3.143271539570507,3.4326499213091255
120,10,2.5386756761650653,2.8422136520307504,3.1591129849134365,2.734719936390448,2.92952931783891,3.139099589317863
144,10,2.3034843370453375,2.598596718189471,2.9012206620306804,2.774015435271369,2.98112068941238,3.1675826242148624
168,10,2.0606045096236456,2.310309563729324,2.555285205648376,2.5020866609331476,2.6658105432586265,2.8296261863661525
3,25,25.328959766590607,30.8486692622799,37.317904044652295,21.01589741204318,22.426396726586706,23.742732368600194
6,25,18.391440743699647,21.703931585324362,25.927074062882276,16.951239984072508,18.895733169422858,20.939967486554547
9,25,15.126379254020101,17.88675274395409,21.008337692372315,22.294645718588384,25.441579152452412,27.865830447523344
12,25,12.84244296586552,15.507772119287978,18.89974358013724,22.387653981797868,25.140663941545707,27.306522043001443
18,25,9.951526623456154,12.158478719911654,14.81256178055743,13.95548108257336,17.17667071863882,20.19310283448316
24,25,8.43055383045715,10.061961937669523,11.962081306695083,12.089209114807154,13.013078177625303,13.79048472420466
48,25,5.140067328884596,5.899903721261008,6.726623902554325,5.267072653896881,5.813142349406053,6.261931529264807
72,25,3.9251998114346787,4.521121286212032,5.112512668139391,4.045384231252667,4.402380181508137,4.790766933213652
96,25,3.1699511864880723,3.746931181380256,4.357536598051489,3.0897143594974104,3.512692715820428,3.953413998753595
120,25,2.7977755972396423,3.261658920070082,3.774280658670993,3.1252834802456535,3.4271764755377143,3.714193499039986
144,25,2.5356108438162455,2.9659052719151062,3.4308681097903637,3.3571438365899064,3.6424852197419777,3.916748690543219
168,25,2.286194202082335,2.6200011682406465,3.0450235223141684,2.8995609600820225,3.1496640610467397,3.3880137904816054
3,50,27.37599725227048,34.55693107314545,44.68942464379161,21.41640949063526,23.056432731681404,24.826082409342995
6,50,19.445556498083796,23.968980544139875,30.232394555844778,17.605828891986956,20.189257066146304,22.89137318524187
9,50,15.928564043584206,19.782317142958668,24.193411492582158,25.63825467310693,29.51635094598212,32.907335417182075
12,50,13.673759533749173,17.315906309695716,22.0411191829459,26.564051671156577,30.185311114537924,32.711474346588005
18,50,10.660374097856177,13.695746161872904,17.929408482443957,16.484458639094672,21.43390975213048,25.774265045609912
24,50,8.941267322205036,11.172249563569935,14.03467927407321,13.289273043123071,14.50874975404784,15.641277660931234
48,50,5.389335567906293,6.344256240513555,7.479532740808974,5.459751339067298,6.1856171718938455,6.847975775042594
72,50,4.115261344989665,4.849115765072945,5.649049334492268,4.180956829983803,4.64290812308755,5.142502712334835
96,50,3.3236242734608767,4.082430128490663,4.959145322620094,3.2281305624077596,3.7801506923664787,4.407818406360632
120,50,2.923444056079249,3.572952684146978,4.3343481977375315,3.3959100862337146,3.8267104670144647,4.248318681108787
144,50,2.6894074202615763,3.229730442035515,3.8817939678249225,3.7586670767787624,4.1942439395107,4.594561816158506
168,50,2.393139526069193,2.842373749041899,3.4614831323596453,3.164145479831541,3.5197865438085536,3.860090123097726
3,100,28.650900578205736,38.32280108052252,52.91789480502969,21.599067737384182,23.532333200489138,25.81092187872936
6,100,20.410652969323756,26.225470884056193,34.859830272122124,18.051481359040526,21.382440356500467,25.409325065971473
9,100,16.71587037611636,21.671676436418906,28.201101605709233,28.60868632864976,33.79236708702656,38.65293711834971
12,100,14.406087743968968,19.179234646136642,26.568390994481696,31.134232116864652,35.93876037000535,39.58397056015434
18,100,11.221016157586396,15.322382149702063,21.94078853171046,19.197277654930918,26.752411558677387,32.86305453014521
24,100,9.38967756158539,12.308995797871361,16.603652890716724,14.262973637214444,15.998732765855749,17.805047539457835
48,100,5.560921423446063,6.7595644897360305,8.352862814043412,5.592851920382369,6.526472834409813,7.459318141389181
72,100,4.259202516792474,5.148432985274673,6.265512999838824,4.291910032976254,4.8551456575403895,5.525105861651947
96,100,3.466241153918693,4.407239508677025,5.623147255630405,3.3466535294141018,4.041950495306532,4.902111604800543
120,100,3.042093023139704,3.8820534982288684,5.036621762915579,3.6445083625657575,4.25219738034137,4.8327246232932
144,100,2.7965579320500185,3.4845283772786035,4.401233806219395,4.120378731071572,4.801062360736291,5.403840922669986
168,100,2.495435392939405,3.057081586218139,3.9794945842522846,3.39810402190406,3.897893463407229,4.374614793673906
