Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,19.14959858935277,22.04836270881794,25.727071532345768,24.513583977219284,30.38052476822947,38.007933014894654
6,2,14.279963895066022,16.268564314812878,18.85013219077087,12.826744667412413,15.677003969095086,19.16228946062801
9,2,11.794678731387577,13.270635699992617,15.346311668433831,10.877588083267769,13.194132729439861,16.307374079109355
12,2,9.861927513153006,11.172293153038392,12.59221405835292,8.71479111511428,10.482749940463785,12.690887314037617
18,2,7.431500234437243,8.365999947958365,9.56961656117205,6.869414516860148,8.314114068674838,9.966981849161973
24,2,6.109584296743023,6.930988381085003,7.906599220890829,5.641438961030353,6.732460813523307,7.892471844093398
48,2,3.556544507900285,4.094572447502843,4.642085172079101,3.310306635442921,3.912634505219674,4.640557948284634
72,2,2.6425619437771593,3.0254743548741994,3.414754257219138,2.4773329046062713,2.8458325059315395,3.1678783803562034
96,2,2.174949810164522,2.458566274061672,2.801955327368712,2.061798453453784,2.324107515936201,2.6314278985530546
120,2,1.8443461916177912,2.094254636073586,2.372886483205286,1.7326251720483072,1.9807052580017461,2.2531467316133624
144,2,1.6552386536370176,1.8719166854271303,2.120741234731231,1.548076415182928,1.7692680728700796,2.036906875897708
168,2,1.5595533346707933,1.7328526850749804,1.954926481863015,1.5165855378133957,1.7457969482568427,1.998996020039122
3,5,27.68743411122682,33.74950326262977,42.09008393743379,52.89870601008454,72.04821370175789,100.18122904909657
6,5,19.911701299025545,23.954527440390578,28.354880786883644,23.338308567079473,30.451578651138732,40.20005952651855
9,5,16.131105194197072,19.021141670414266,22.405042543309687,18.467601982637184,23.701145890323524,29.511594364732467
12,5,13.533176071918476,15.902788682686104,18.473930223577185,14.57675931538584,18.427660291281686,23.421986068629554
18,5,10.212724993514653,11.865079354366078,13.805941639812886,11.107239850928147,14.036791366681253,17.28593089689587
24,5,8.463079639625217,9.882599009839186,11.566531492104835,9.048290553064394,10.996591811084311,13.18548800040055
48,5,4.971111089791444,5.791913676129638,6.60178253192421,5.104000889513506,5.991337353647531,7.000176489901828
72,5,3.6453338661596995,4.170211483762553,4.793304386469649,3.601155345649179,4.114014759839292,4.642310119160548
96,5,2.9597400202494626,3.401093054300061,3.9163711474605165,3.0037577050150555,3.427803128395552,3.912373532102216
120,5,2.516328959757781,2.89752791208197,3.2713624095757945,2.5592091485135384,2.9408257797974016,3.350012909180599
144,5,2.251745261846337,2.576140308746483,2.946395975655544,2.3266408717313714,2.6601395554791667,3.0691289488358446
168,5,2.080708649650399,2.3522872489442337,2.6639792982236514,2.1981620552322547,2.4863419806427682,2.775995602222507
3,10,34.00020999494898,45.075980829398446,59.938003852314154,89.81587335860544,126.1812615673862,178.85365773615024
6,10,24.08644710064592,30.550501369978356,38.34220187122658,35.00789166061682,47.150690179918605,63.80841248537085
9,10,18.95741961030072,23.703457004217267,29.288095459300298,24.871821790326543,33.8982564825368,43.42376813650449
12,10,16.223545139686742,19.72912856755224,24.039788625144155,19.040717759097205,25.912555924790198,34.22690459510146
18,10,12.017350316005643,14.65986010078241,17.66456540659735,14.124490246709524,18.98593581233441,24.33118306718032
24,10,9.945493987453867,12.128564769020578,14.733845756942348,11.640075003327997,14.385777284376761,17.693656573424384
48,10,5.800356126069303,7.00741447427874,8.279939970005541,6.216142728239989,7.427618441250328,8.729324887293142
72,10,4.15519563594906,4.925743865098638,5.8043799344371605,4.24099774080474,4.940484822544138,5.696797054792272
96,10,3.418160022390114,4.032631785977221,4.675563911837701,3.5637339252983304,4.19834915221129,4.8279347396295496
120,10,2.90909457773364,3.4507239481303857,3.959991585093438,3.1051191613303697,3.6117536373789676,4.142860418289388
144,10,2.617821679124081,3.062017015139629,3.572958000106766,2.8120789764095107,3.2785049354824034,3.7777994548460083
168,10,2.38234111035879,2.750267912223598,3.156701480544399,2.571459167116697,2.931653176124374,3.301915904074979
3,25,41.89850083779853,65.37024964192011,99.93733603016878,175.46718665802754,254.78373952590317,359.1597888765825
6,25,28.925723244953353,41.1142440364821,58.458770106948194,54.14981704228609,82.02012961172275,111.55989452295441
9,25,22.304717999833372,30.847006321888152,43.16246334973292,34.569956327169095,52.407251333504036,73.07850176075529
12,25,18.92333395971427,25.531251061574586,34.39824578097979,26.037403021770267,39.11712976159386,55.07430540584244
18,25,13.979875920203177,18.848827222729764,24.446700481906632,17.739800376460455,27.05881884348458,38.038379686399836
24,25,11.619538943146019,15.348586108402362,20.595594808415044,14.865939449302907,19.491692165448963,25.256545237306916
48,25,6.803940369413667,8.65624615142414,10.887449014473926,7.448154322421265,9.332498540414262,11.446312925034604
72,25,4.65752611431117,5.877654524811499,7.30326270797679,4.850132475344603,5.97977854157179,7.207312160771529
96,25,3.9541506128856616,4.83923460898038,5.881558711707216,4.1742856718428,5.229150899366004,6.2567781610162
120,25,3.3110124173210584,4.175002238619084,5.149915788471574,3.717607002883897,4.508803652664225,5.3224494281315495
144,25,2.9953544861858377,3.699218216344711,4.584984751859884,3.3217446712770666,4.101278750888675,4.978426438832358
168,25,2.7125227015694873,3.239698296278609,3.8676666076444173,2.929688668792149,3.4522277281823404,4.0327904303949555
3,50,47.422408888825686,86.40771687117982,152.0312187946059,277.3985469525802,428.4206685493523,605.5251649098385
6,50,32.33903590773106,50.95957280941694,83.63866559456933,71.5757550791158,123.93675355598181,173.07415251232703
9,50,24.833529832912156,37.203217824204614,57.1209192713269,43.26392592774283,71.98587589348121,107.21942322969146
12,50,21.074224467079684,30.663828611876916,45.4356755060996,31.11956031885672,52.70618187843992,78.97356031437002
18,50,15.490474670115477,22.51341778612952,32.58282569605797,20.540658226666356,34.781366611462715,51.255523595522575
24,50,12.802387995808957,18.04786631362623,27.061955263386004,17.028128865283428,24.014891142052697,32.88267514803581
48,50,7.359060373131799,9.966620539637605,13.530995751529861,8.259979243209592,10.825598833216558,13.846505991407781
72,50,4.983966233816547,6.581889192118852,8.592580153120199,5.205815149729327,6.753116891006403,8.44040579162645
96,50,4.264926368723785,5.443923249947041,7.019871381452736,4.601841158453336,6.043283345755565,7.485307290008835
120,50,3.589013192893084,4.7311947065695,6.159479598364046,4.059845343623715,5.2162424231053794,6.408332554666922
144,50,3.2231008258402176,4.189333282699049,5.538877038522792,3.6543372429947127,4.747699659187527,6.090766335287043
168,50,2.8975324003430982,3.593350014599997,4.463330918135011,3.1443189295461282,3.8127644624122077,4.640790306061039
3,100,52.32057919071157,114.2110224291248,228.84337319733663,450.8000861610536,717.3803005548929,1015.3304516035003
6,100,35.393204026730174,62.83298105763667,119.57299209948863,90.32835403468098,187.13734812802045,271.9818651253368
9,100,27.222441221843063,44.57020641303648,75.51654151327179,53.42749579654485,98.48451439047784,155.36238792996406
12,100,22.854428041795853,36.58293882956481,59.920998034100506,35.2396346898494,70.65729533117072,111.46670446504976
18,100,17.02099399958638,26.69955137228493,42.58757867733585,22.74844026605322,44.371532234523215,72.79244689981907
24,100,13.706398414000862,21.020903784323018,34.88348357406052,18.921095508308895,29.270441354011275,42.67975410166632
48,100,7.863187036136082,11.345711424127963,16.719757787486902,8.90552733402232,12.388846504850612,17.187590283150456
72,100,5.236698259040387,7.279288026646599,9.993579253124045,5.490892939995742,7.52749932406997,9.8912199672913
96,100,4.537717982774179,6.049510941708876,8.353089554896197,4.941142293760036,6.900581046541525,9.009616881228858
120,100,3.7944229999756756,5.299715535268202,7.487259446530348,4.4241234714486914,5.959736290412606,7.627219075341463
144,100,3.441773264701264,4.691000779904481,6.535488695476735,3.9224576634261785,5.425353369681387,7.261511537816014
168,100,3.0456613362106295,3.9366379534491136,5.170193391428274,3.296517881572621,4.152363757987384,5.281619859770387
