Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,20.437962189230014,22.249987491363413,24.326788084772645,23.855866484813262,26.569920885434197,29.333300642893143
6,2,16.07014323617092,17.551921771393104,19.234974615535272,17.947185020416043,20.211809643279935,22.36102371315309
9,2,13.49280794150167,14.583713183923424,15.696583352733143,14.459750848616514,16.16602946125606,18.050380051324687
12,2,11.719689578598071,12.64968271817105,13.693129184265345,13.4655836260401,14.545845698769611,15.6636160552127
18,2,9.375827376401839,10.058889416662662,10.791153828387616,10.492909193637034,11.311726135943111,12.223462190720404
24,2,8.179372074340044,8.813676282360456,9.448456115908257,9.113039586926599,10.08914716253249,11.066901369867583
48,2,5.2394542250151535,5.702557448715303,6.287314390179212,6.025671610721595,6.456625997681878,6.893111499634891
72,2,4.050911542936685,4.382288617982386,4.733857639254719,4.6803076170891815,4.973680383341533,5.269233305412317
96,2,3.3699798662346923,3.6468213108463843,3.8993802488680673,3.8073911272192893,4.034568488305882,4.245747603531585
120,2,2.9817039300923462,3.2083218046936537,3.464868086633396,3.2846275294071097,3.4988434815820106,3.740885003316297
144,2,2.6960742219048037,2.894679601125689,3.11172797052844,3.0558295816267673,3.2476633938519557,3.4300438953521306
168,2,2.4257169744080107,2.6246150781264315,2.831287478401182,2.680998492430647,2.8537532345512338,3.034690614986891
3,5,25.0995031224318,28.14026181667179,31.24636182238286,32.62266058296041,37.111737161229684,41.57829136635819
6,5,19.838016514866972,21.983890569018737,24.433123392390925,25.0977559486402,28.174470466511806,31.10628749292259
9,5,16.172090404187323,17.74342564763412,19.321318000569214,19.380788634919753,22.022792187736524,24.46224569136823
12,5,14.051797350341225,15.279524107978984,16.54346755169285,17.264631525308552,18.624591910211773,19.99696938599956
18,5,11.152358480637545,12.160446227260547,13.03435592576604,13.24821098829062,14.399579407537242,15.530926154398568
24,5,9.805935076816013,10.561755060923478,11.213977680814686,11.876817958758846,12.893926389956704,13.825886745079323
48,5,6.453494591817403,7.104832159977821,7.870821606653289,7.148188703424479,7.755545407979865,8.38678448667796
72,5,4.9160959318519115,5.33416296019368,5.764159675555137,5.49143300618618,5.818815713262623,6.144439437773713
96,5,4.049563781761364,4.3578573220560335,4.657929771925028,4.3928959718557135,4.613492434485701,4.817385073057486
120,5,3.572676598856316,3.840327653002143,4.122644534045596,3.8609722369453885,4.08591036148599,4.304447973337819
144,5,3.2336456692184674,3.4712862069293315,3.7256210091962894,3.554224439294447,3.730969585936262,3.898974913619605
168,5,2.934073653049011,3.190255938203954,3.4381522865629535,3.1475049723355646,3.317362999371605,3.479331967376929
3,10,28.30933053493051,32.384192467235394,37.03748545843938,39.573016169248376,45.986353788707454,52.30277296101217
6,10,22.08739935021037,24.909652744808184,27.958039145743896,29.953611922254723,33.946338026666275,37.75762072676364
9,10,17.735939344857766,19.676884457074294,21.715155227258993,23.141781912502033,26.150306649192736,28.831090661176273
12,10,15.338979941743784,16.836625359251983,18.37475140839133,19.59944807941915,21.34750239160187,22.898320244845266
18,10,12.178518882302246,13.444882795844613,14.585438165205264,15.011570347978605,16.515898807977145,18.099765383353613
24,10,10.580224699982114,11.513474543301797,12.301121863514096,13.228387164967641,14.353376831098732,15.267375842931319
48,10,7.165662612459373,7.958698257354239,8.94865119526263,7.860210230405219,8.604248842852991,9.45338198055062
72,10,5.356142886031944,5.895513803983282,6.438049340695521,5.893974340968995,6.275263503242277,6.654599961907367
96,10,4.412263537567795,4.748309884748787,5.080931421043752,4.657648599449297,4.896975301036079,5.090759801231819
120,10,3.866864953747521,4.1878910726147796,4.473164968272126,4.092786966565887,4.349013923936255,4.579579845343638
144,10,3.5014351131197046,3.7931657890580586,4.106319002715636,3.7627415418327486,3.946289846311804,4.095104421045527
168,10,3.2279140238744217,3.5269095375384785,3.85384564167659,3.364314462624457,3.5435762011499548,3.707077599452524
3,25,31.61684456878624,38.173090415334826,46.219487896059164,49.50296845259867,60.02967535767681,70.22728425338187
6,25,24.35024083479157,28.596607191449785,33.645841622984065,35.34347122255146,41.9122353095212,47.5731092232931
9,25,19.307138064486946,21.952891767671787,25.055901091773535,26.993558234919977,31.700985780677797,35.532179088767265
12,25,16.463356256909044,18.61648918497231,20.751034149700256,22.22252013838095,24.83735794374244,27.102952040159323
18,25,13.227594391802057,14.955276086322243,16.688076521659536,16.986792696421023,19.294404704418433,21.77038687317586
24,25,11.243937653478472,12.523269853574522,13.604341657412158,14.506269058434176,15.853009758238798,16.96780428186418
48,25,7.832480447027152,8.959442841858195,10.395308070718924,8.503962156371557,9.674290970749988,10.980466266132506
72,25,5.782026217698376,6.534895478961513,7.328716036595542,6.2622302943484485,6.760724062492411,7.270951120439847
96,25,4.726677520296943,5.1657459126400616,5.661279043252143,4.860909859049274,5.173727222131378,5.439530578410125
120,25,4.144897656023875,4.559955932810434,4.979312243252705,4.284407084875202,4.586999220762668,4.896048057456439
144,25,3.742363706452079,4.14233368418615,4.566096088482203,3.915357570937208,4.140058308723098,4.319076167923898
168,25,3.4811404068276097,3.913511497212964,4.395939392416512,3.5068458080766876,3.763979995655254,3.9847880339956783
3,50,33.623046362933785,42.798390974642174,55.77888919131303,56.63536818120046,73.02713737889852,87.77198409529072
6,50,25.77934120901462,31.32478249907839,38.63428361693253,38.86853071941025,48.38078774955379,56.707038428332766
9,50,20.105740443095605,23.52874340950557,27.963216689623913,29.953472970565866,36.09590980595945,41.63111227959517
12,50,17.131305636754846,19.81383757916865,22.571962888463425,23.709212303638814,27.47684125918822,30.716139454072767
18,50,13.748908544327435,15.999949071208682,18.566210306139585,18.473021898560923,21.446256025667743,24.973805591007867
24,50,11.606269516627123,13.154574340610559,14.622877427095709,15.02126118392298,16.767209085354203,18.266256668334734
48,50,8.156213112244657,9.649365855644515,11.53208048012839,8.909851087564892,10.47273643644602,12.263771438076894
72,50,5.984880806872335,6.96352216503996,8.08535484594084,6.437952334538894,7.067329549240748,7.710322735592474
96,50,4.883226477009362,5.428681540231006,6.086031908807694,4.958983619010167,5.334366102777331,5.699151229954007
120,50,4.275312319149085,4.794612925060971,5.369215989111231,4.361121400080412,4.7151308187420495,5.102559967268039
144,50,3.8661410706268597,4.365446276379587,5.00673888510467,3.982231694734955,4.243834979508348,4.467414334416543
168,50,3.6191966714051533,4.174769567396757,4.835290288248673,3.5779825194648147,3.891781726960785,4.197301895457141
3,100,35.388324360330174,47.688487442778055,66.56519292447716,63.36697201645772,88.66515030246859,112.20476642167043
6,100,26.870797177461824,34.02691578914175,44.258690773510196,42.258783775207874,55.34168409117737,67.94853205352734
9,100,20.6547962774398,25.00410162521581,31.3019128943739,32.36312654227845,40.724078034426825,49.172234208332775
12,100,17.583837229660453,20.907870321578304,24.406183617215788,25.05627715080538,30.15195694597793,34.76740873171353
18,100,14.175689571270322,16.977142971819795,20.465944679654108,19.604567629231145,23.67227745241868,28.757421512928545
24,100,11.847780671599926,13.696838869334005,15.678371258312275,15.413198172394445,17.540078968516756,19.577657497102393
48,100,8.42432254287426,10.292951067250868,12.857776114995065,9.215074127247767,11.274368532705392,13.842456420043838
72,100,6.143850941966754,7.354011917410794,8.810770451855856,6.560592452076591,7.334659822136379,8.208627717546246
96,100,5.015728371967209,5.655961535751278,6.561241609086267,5.0117784843928215,5.464878752784057,5.924871320965923
120,100,4.376759105322541,4.997667556111416,5.799992520583066,4.423866633604085,4.812969823380321,5.285338276816863
144,100,3.9751233383459357,4.560648024848847,5.417281921823599,4.025758519938066,4.322706586761332,4.613290739521591
168,100,3.722105649936096,4.41440183076269,5.34515293348667,3.621258247269423,3.9956064939900973,4.373751314307292
