Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,31.895588138402637,35.067290290590016,39.429507787500995,30.777849447589247,33.18301893066598,36.21791958076832
6,2,23.64057572802485,26.12997475081731,29.06262854548494,22.11310524001622,23.992001833324043,26.079561482329076
9,2,19.737168457078205,21.866893728662564,24.65750799182594,18.57626094464092,19.973509804992766,21.570938353883335
12,2,17.183554105952147,18.923228467045366,20.923228279067814,15.680466330726563,17.03764927651423,18.53950748680026
18,2,14.10522558807886,15.507186791445516,17.29437622748187,12.857862011665182,13.988884560694233,15.298793537824512
24,2,12.006402887538336,13.377835041296521,14.99010075427777,11.223348311484195,12.539521495794915,14.17378113003494
48,2,7.987724639654823,8.924630190714446,9.93876515846955,6.667956884355295,7.396164312042613,8.257587265615873
72,2,6.395248925564159,7.164191342295813,7.884170282888864,5.511569804031654,6.1152271358981505,6.839004612200877
96,2,5.5014058996500665,6.091707658009453,6.7750385955719885,4.352144620311247,4.7625540072529935,5.240545862761373
120,2,4.861882456200265,5.360415562019624,5.902638751214305,3.8821537707760028,4.243552763085126,4.674628132697963
144,2,4.309817608305986,4.774210055055677,5.264881874227497,3.7073601548804183,4.099742647523212,4.55408422461545
168,2,3.964961927771404,4.34459429509713,4.764394640843875,3.328936116699807,3.738585479290964,4.168721506235844
3,5,40.950960538992874,46.282145840769644,51.65296763482271,37.87707633967301,43.17888624752723,49.12341408915238
6,5,30.446626385339457,34.97534663096229,40.03498843758999,28.133548270101258,31.494949300751202,35.20869833476203
9,5,25.51247677039874,29.502261461019614,34.08838281499831,23.645459834264017,26.0707584884751,28.889372759868003
12,5,22.43857937966994,25.32527701241939,29.154379028051665,20.351071411067057,23.02835582799399,26.35704054711579
18,5,18.382535124478327,20.562467698163893,23.29391476040028,16.879334179262028,18.817146514298244,21.033940061016306
24,5,15.611826732589805,17.77236785144284,20.02783756629949,15.544288264004848,17.837856813484375,20.70109295618755
48,5,10.464068203727392,11.84125183464852,13.445941985725298,9.05384233642636,10.505130544258366,12.397673678192639
72,5,8.307546833119105,9.361936969042413,10.52880610686633,7.545112541472793,8.783256991746184,10.314850155858439
96,5,7.050915018794582,7.9073733879077,8.852963886391773,6.233368383639505,7.078671026574321,7.961010007981191
120,5,6.1304878694302385,6.88946384648642,7.685355413216314,5.377026397812404,6.076915283341707,6.98952094964196
144,5,5.539716211820366,6.11339601987901,6.772685112079349,5.061168857699781,5.723432119240179,6.507273787367007
168,5,5.023765054100483,5.570590659764887,6.120495569101802,4.627177150964583,5.285065272290151,6.041029961621738
3,10,46.58586208809436,54.470354453711835,63.16270932856804,42.63688094550429,52.064556402416855,63.38020110849166
6,10,35.27348855028377,41.841544331723114,49.14969205156763,32.40458303222119,37.40424587445002,43.42453234471813
9,10,29.45040507965087,35.70080342639148,42.79624820184475,27.04940004696822,31.210840112223664,36.36998800669212
12,10,25.88393111796435,30.413189281944504,36.44981962164559,23.527834082836286,28.374914284861646,34.57524409888477
18,10,20.99825684282531,24.26594861678383,28.082475003847385,19.308480165201924,22.480458029410183,26.26272815871266
24,10,17.97679884282388,20.7995823921789,24.063757554949028,18.267151152542347,22.052413124026042,26.41029229803258
48,10,12.010980883381922,13.8866138320866,16.19897726211862,10.642490682949651,13.267602618621574,16.978859672495712
72,10,9.41059439417606,10.82709877349492,12.42391246289321,9.00249574456124,11.011689314723581,13.748411891118028
96,10,7.92044542607232,9.044708980854555,10.228778747244675,7.509641581152512,8.869234927321655,10.408770054951763
120,10,6.997657814363803,7.882080054236235,8.907626580821027,6.240539416454189,7.4625975418935315,9.01833293827044
144,10,6.203200043687502,6.964083239949757,7.8491429856460515,5.793106822390932,6.8646170488452825,8.17185529641841
168,10,5.612003237036995,6.332808560034975,7.0685481043235505,5.376885779346285,6.38110860548381,7.610624429811921
3,25,52.50587207470046,65.77511609958768,82.96761602338177,48.67237024854336,67.0631655840038,93.48587230826429
6,25,40.27317602063192,51.866862282157626,66.55970274640985,36.67434621352095,46.26188446668987,59.12116154912472
9,25,34.46256109006335,45.13163834240305,60.11050762855275,30.967474195826362,39.44360788448803,51.726004316759784
12,25,29.694809834158455,38.00422975381091,50.80543706657183,27.55311570764635,37.44439902636594,51.684068606614176
18,25,24.125961036243623,29.394815024843588,36.35098339924119,21.712429751082134,27.8185339045492,35.396337530457316
24,25,20.534807799287158,24.763946130772357,30.434482674775168,21.268280028187906,28.433035156113128,36.13686657713638
48,25,13.428964553247091,16.60888938482051,20.682632045918943,12.538465586638193,17.92965857955308,26.028369934151655
72,25,10.532557736065385,12.689878286268328,15.268515383059341,10.60542866379946,14.553229577609,20.43439482059849
96,25,8.853432641680747,10.411903455895262,12.306673150126201,9.11432998728851,11.496874208763435,14.709698580269983
120,25,7.787621196163198,9.114196366640211,10.601645969758735,7.265701664130555,9.466958201909975,12.76560233245964
144,25,6.845795344169387,7.999614448847103,9.332877992092012,6.530273747977204,8.413843353923497,11.213284262629973
168,25,6.2579260294680426,7.242924404455772,8.384373605888571,6.16249015597716,7.877869954756399,10.318528630968403
3,50,56.17018894563277,74.91348694900826,100.80468304993249,53.16418663904777,81.98896888624034,131.37885520086164
6,50,43.65225397856356,60.41958261017207,83.56385413688525,40.14187304043246,54.095496641771646,75.03374310106597
9,50,37.81974654736725,53.501018370139334,77.4498183347195,33.72758540488013,47.22144620448165,69.50416941595813
12,50,32.99288882189987,44.61581672227721,64.41155292033163,29.85713319471722,46.518890448905665,70.80991177798472
18,50,26.05478740062842,33.5531581342,45.46205524732177,23.257895637505904,32.432212708451026,44.892296405480664
24,50,22.065193973166657,27.808991922856237,36.122330816189425,23.198822122816203,34.12785797059919,46.94471718564786
48,50,14.317536166074994,18.73293266853258,24.859222453571668,13.724883104436167,22.568428338641095,36.56258456054503
72,50,11.243373210365666,14.08017016803384,17.748599750607976,11.75258771104771,17.87583286856264,27.504897757890138
96,50,9.416859376181412,11.378108737249267,13.853496828302717,10.295238524708317,13.765608193907617,18.850577233623696
120,50,8.267678283273444,10.012604582913449,12.24617439781688,7.9272150513910535,11.182540941904309,16.52790209028664
144,50,7.196278586603748,8.7404521841449,10.606402238664229,6.967517744359762,9.663849139696342,14.201707062073638
168,50,6.629798496176853,7.881892884418715,9.426790823483985,6.592220547924826,9.090968582811659,12.799003053267572
3,100,59.68861709371285,84.67146794848615,123.07753848127484,57.61967794232926,101.27561233556307,189.79335808594337
6,100,46.75511955795016,69.98187710065366,106.10691091449246,43.82563881450355,63.21188896904527,95.4198925685937
9,100,40.92578394335262,63.179515989686,101.42979271205358,36.28196036932003,56.81976786925952,95.08296490365184
12,100,35.58000136970471,52.139941844054704,83.73246580728159,32.67317803963401,58.3041542978107,100.67073522224425
18,100,27.8377243513344,38.00471844711225,57.8592836222945,24.54808184336426,37.7114277834983,59.030846021233785
24,100,23.277023004599414,30.922146650834165,42.53993871837048,24.805632304734488,40.79978947581748,60.62879525013871
48,100,15.110696844931915,20.933640219828455,30.085323049400515,15.150913551573478,28.561202181780175,52.61770281454642
72,100,11.7113310081275,15.467292443297023,20.726958714970802,12.70369443718706,21.95227351534342,37.702849041840594
96,100,9.775115369281467,12.298518147337479,15.870229286737178,11.282082458279831,16.34354169453687,24.50451785392847
120,100,8.658313638157969,10.891413117114972,14.067571477991134,8.468472519585898,13.125753836201014,21.60420294514185
144,100,7.494588213707199,9.453536732144313,12.028876034208958,7.404120670050489,11.012278900892618,18.011800782670466
168,100,6.951094034547099,8.48719622440018,10.580421784790733,6.921868015856524,10.403412500308399,16.25466266022863
