Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,27.142471271181343,32.06795667298084,36.72283250316286,28.833328535578325,33.692420216685605,38.8993400475702
6,2,21.11489376644429,24.380132491270068,27.396412614103014,21.24312346611282,24.855649635655332,28.776241115921735
9,2,17.52426567123013,19.94362772509697,22.228523232543473,17.956642862614142,20.820660290973855,23.85119503751285
12,2,14.632048813494126,16.619046027572363,18.404025578542463,14.591089479840523,16.7557098559001,18.7058331369022
18,2,11.358791743071684,12.550794342917538,13.936440764520054,11.631956754563566,12.775711928301979,13.933016450393982
24,2,9.27001478468377,10.372246455827296,11.559851822038578,9.39956034222713,10.46235144784552,11.57652151756745
48,2,5.212999732531283,5.785223970229339,6.393382666046523,5.182801853027776,5.893568083906368,6.5806363028483545
72,2,3.7092259040823237,4.0672140664808145,4.4578680923669065,3.6262196860584317,3.960939110761564,4.255525726619714
96,2,2.9307174731884436,3.269381526898706,3.664410007405576,2.7305904482571464,3.027989474303756,3.3290725777405994
120,2,2.5310852250154117,2.810661449066119,3.1530446232707336,2.31449011963437,2.5580060823274975,2.8250343166551666
144,2,2.198908679608317,2.4684024334161494,2.7807187776043607,2.0047434125621666,2.2402089699596193,2.528073514728537
168,2,1.967963531383118,2.2016616424143614,2.514848326328946,1.8728386293598862,2.1149994900858795,2.350719646005065
3,5,38.98049989734044,44.930735172292344,50.83123921389398,43.31625882282516,50.38103292910826,57.441263037526824
6,5,29.008282574231206,32.71045471736262,36.15032931166117,32.10430975034022,36.44773970145395,40.3600512913415
9,5,23.392866010800486,26.221053538298655,28.87060523224565,25.507761010171347,28.208349222492664,30.672371887856052
12,5,19.302678763973823,21.332458384449378,23.059800079355057,20.367445848834116,22.180251806172727,23.810977865828995
18,5,14.541810665019005,15.794013652166878,17.165171081332158,14.981797326238397,16.18791364813947,17.369911198545278
24,5,12.085571003481906,13.134146626744531,14.25430997096516,12.35625143857009,13.637778782601515,14.8545008068462
48,5,6.687652900650882,7.3030834068174695,7.928363630982853,7.331218297376722,8.047361379700481,8.659394723538998
72,5,4.6943828201594595,5.1357089978341754,5.559213687651443,4.752076889437104,5.126999604721446,5.534671139363153
96,5,3.7618614875269403,4.248818072020327,4.789700222959516,3.713860332129208,4.175705527001048,4.671169585072658
120,5,3.29093106259837,3.702085719574387,4.094147963877562,3.087621233606366,3.4855556320827885,3.897061177591933
144,5,2.9126241503885453,3.3304911176045877,3.8078194987861567,2.783827572176457,3.2033650708491024,3.6566585561461715
