Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,12.316047639947282,14.015372024384295,15.902819904292212,11.575918203585674,12.810833631721124,14.196034321930561
6,2,9.191383069309392,10.44478222093583,11.87273306905465,9.115823911286714,10.137885648568712,11.42243614486032
9,2,7.686677583602176,8.75596967317206,10.081948952858738,7.310317910382063,8.152484579100632,9.360613416843087
12,2,6.514965095017631,7.48984480174815,8.561138773066158,6.202211051814507,7.094608950616783,8.192532614423701
18,2,5.006185740053806,5.707140075327693,6.513032349270198,4.783575811698441,5.423931930061793,6.202785025940251
24,2,4.088285071052086,4.7244572348187255,5.445834522412606,3.997831542294099,4.5033107697147905,5.159940814422628
48,2,2.3658796408113005,2.7549160221772784,3.195125669242378,2.367738493168255,2.6745538182960615,3.0359611533681736
72,2,1.7520636575203739,1.9999202241555483,2.2970747023708125,1.7231560271667667,1.9681114867007614,2.2542493015717553
96,2,1.4666984890372277,1.6583359043678287,1.9210841771724216,1.4933470205878654,1.678692575750604,1.898277956264721
120,2,1.264657949265312,1.4643975701806307,1.6948322422092084,1.19349687281493,1.338026381610219,1.5159449277041714
144,2,1.105345923561814,1.3028769230635828,1.4913002687203905,1.1531784216649754,1.333306776248933,1.5254194386697364
168,2,1.0042105633012506,1.1646541360667895,1.3415717669333964,1.0484697918159958,1.1984190251091587,1.3586588167092963
3,5,17.173850239577224,19.804935522467314,23.205798867483242,16.34543211628359,18.56666596355978,20.95879406676528
6,5,12.427183914985147,14.656143045873623,16.737126503309838,12.411347072666477,14.276029630567468,16.52906363921595
9,5,10.577214475639488,12.488157755943046,14.917682536953185,10.474419358793483,12.139273882001003,14.382445066110682
12,5,9.051765390534278,10.758637720062838,12.498559061544878,9.289442810178748,11.035874693139393,13.425207511665182
18,5,7.015497777071268,8.12906207725397,9.522034099602156,6.883117993052615,8.180654675665728,9.661390067611258
24,5,5.769107298457729,6.795460537988978,7.902710002805401,5.623849813498788,6.477546087968518,7.578007524899554
48,5,3.426631732787961,4.064081800473928,4.856638656020396,3.372960713250949,3.8862013329869134,4.543035488965413
72,5,2.491581527219922,2.8984745059542036,3.4079747217627596,2.3586816003266295,2.766199200813949,3.2561202681190182
96,5,2.0718478192868903,2.4178229586562345,2.81664295990229,2.0624973374122333,2.367071236467279,2.739624286171626
120,5,1.7968650222758913,2.1038365944867956,2.455264046277658,1.6078032188432592,1.8527203680954143,2.1010853912952063
144,5,1.6015339897198941,1.873184019131114,2.165147882935904,1.611447771136826,1.8818910266387945,2.151774095938477
168,5,1.4370525761159274,1.6687977794703293,1.9182202732634934,1.4235961298736326,1.6501882504267424,1.875640043677007
3,10,20.28930117894012,24.182660930508334,29.463142897413583,19.132398256950452,22.721630231971748,26.76699770121793
6,10,14.755473882807724,18.006228878864334,21.19444052026476,14.819937054761755,17.733864127527163,21.427033760318174
9,10,12.468057807703659,15.42912097596406,19.28839771553131,12.791041035577365,15.533603550514032,19.25485360483915
12,10,10.684076076536567,13.337422207696857,16.0719034280556,11.536768073410826,14.607460721144339,18.53682016981098
18,10,8.248389189119779,9.949236434106522,12.002962685658185,8.36945164451559,10.511204187882772,12.78658380127826
24,10,6.828560378058119,8.307972402758168,9.81569291748657,6.6400874519786885,7.887926748769487,9.465878624332415
48,10,4.085519869333838,5.054697398178683,6.235194471219803,3.9743336087646672,4.835695083009192,5.959470653045448
72,10,2.9472646393688873,3.5575431973229072,4.332989223415866,2.779428809232236,3.378453998652839,4.115291324669668
96,10,2.460232195487439,2.9842524788176426,3.6380899700631364,2.4378064195273907,2.912096841582288,3.48550036015841
120,10,2.124636732241841,2.550818803626469,3.02755808613309,1.8848546385618907,2.213449521051696,2.561916221883662
144,10,1.9147726319170164,2.2612375346391076,2.706078961982079,1.870786928705226,2.259883950026861,2.618850823986706
168,10,1.6970512456195062,2.012197495081208,2.379680801207432,1.6423901884210763,1.9491395098929338,2.2581875726198035
3,25,23.825738474357635,30.422844299978614,39.79968780237665,21.652212855476883,28.475403370690444,36.801625825389294
6,25,17.428000853651234,23.00884279665558,29.437430956323276,17.619391394308515,23.20951650518387,31.244645682836122
9,25,14.615127821497332,19.782815142578603,27.672292959566136,15.676939276449055,21.00469917930657,28.486747425660834
12,25,12.74370489055094,17.159010295311546,22.119221101613103,14.305634412628152,20.72556812495708,29.02818928153922
18,25,9.611736377823805,12.529358706131717,16.27630968471353,10.301671938187676,14.239115381368963,19.34382399151779
24,25,8.001344475129297,10.39670640092458,13.550229809095391,7.657046291483002,9.819944784176917,12.477949473898267
48,25,4.800130423127331,6.467675383658138,8.735545520157302,4.708888459384714,6.254498600685066,8.490126962923258
72,25,3.3902494047501923,4.471271719174797,5.890699876693267,3.264629294368903,4.2736607363540475,5.5659754146952665
96,25,2.8875290875722635,3.781576235508931,4.901836139085725,2.8887507190322914,3.7336125033300736,4.839853410103918
120,25,2.4957598295617713,3.1439946274571646,3.9239819471397355,2.1893664330578977,2.6986422535753936,3.313142403058825
144,25,2.207848084714473,2.7637924438582817,3.49867525889072,2.1578660467207644,2.7606623019927143,3.3375279851830078
168,25,1.94538248475925,2.4573515196955316,3.1242950246390295,1.8810077134868224,2.330439891765386,2.8237443985509696
3,50,26.12266475996543,35.624901457088086,50.11457473712541,23.51319049112724,33.19114269928515,46.60365400381586
6,50,19.09357420178933,27.369630770036487,38.336135264116706,19.8375993392846,28.313019808053852,42.14582455206514
9,50,16.095947690393924,23.546462519712264,36.07498589457566,17.71749884684977,26.19141292606528,39.308800690243686
12,50,14.261503682528758,20.466027984997737,28.12886416139189,16.432212860360814,26.882238010076236,40.39149347976642
18,50,10.643336998015158,14.668736407360893,20.232221073396545,11.858591472405932,17.74440012983958,26.446755349641293
24,50,8.69608136423712,12.085584908952304,16.83532737103306,8.365951934969711,11.385012673905763,15.35463541200436
48,50,5.400174317788412,7.646322833254251,11.322279274612267,5.190187685381179,7.50689074033218,11.097398288171679
72,50,3.6562400860307585,5.21287988328315,7.416656962142872,3.5869359526466624,5.045858681945694,7.0721519779284785
96,50,3.1330051028886303,4.438259486944195,6.322302304673787,3.1941934977758706,4.4641613703791085,6.306624758289404
120,50,2.712761358980148,3.6055103975562783,4.801929602041791,2.3705072818465114,3.084542435851026,4.011205903375972
144,50,2.3895012119367545,3.1456590950040715,4.207760308980866,2.3310934242892785,3.1531805322318887,3.999439293027688
168,50,2.043953758270209,2.795918437668922,3.8024322779731587,2.0083375203693756,2.618195387776215,3.3104288169255813
3,100,28.152808995782706,41.32745175168411,63.88839413114525,25.044591107147728,38.33224996932967,59.7122926936776
6,100,20.754742455059695,32.335854068151676,49.742252433958,21.94348905780572,34.52371901147438,55.7154445795028
9,100,17.250087922177638,27.802221825292328,48.949178844243264,19.90739488695462,32.59605990240543,54.019997074477864
12,100,15.551871249215402,24.208704182245366,37.28493902680121,18.56065740902266,34.89467104318018,58.45012121086428
18,100,11.389673247357237,17.003229614984715,25.641562650364833,13.210024444788754,22.039030837674098,35.92703876877774
24,100,9.272965443003436,13.88935655490054,21.084686031165937,8.893505356343804,13.072454285954938,18.93340327722101
48,100,5.917879334072239,8.939056368971261,14.645820519228089,5.662485644022691,8.96308821343876,14.630163088035328
72,100,3.901045992642601,6.007495594539787,9.412699983378879,3.8749189086651654,5.924339302924317,9.000423158044592
96,100,3.356242685163749,5.150726757400966,7.857453400156931,3.475448902132323,5.318153491189178,8.421687633580033
120,100,2.894866431765795,4.082534956001545,5.877872942815937,2.527444121331673,3.4939678576313216,4.912220655440106
144,100,2.55009983860525,3.5324987177224134,5.113306375365497,2.4788881699926217,3.564431642554821,4.807288941306166
168,100,2.2015982486420116,3.139166981155269,4.6073672591912285,2.1233874926953566,2.9098939316976757,3.8511501712219243
