Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,36.117184789522284,40.56160661828208,45.61201684421052,40.135691668216225,45.48050690072661,52.09923926972067
6,2,28.632528661592453,31.830225318441684,35.76107129108855,28.82646296989593,33.265969801659296,37.77301714740001
9,2,23.647219000059803,26.410504688440703,29.683929564152052,30.74431308577193,36.34359039337032,42.63102607684869
12,2,20.64970047760231,22.93574217063666,25.561232240938004,28.12718073801733,34.272733285861186,40.773838844270244
18,2,16.921122946570538,18.930424361510042,20.817734848845436,16.479307607368263,20.341472452604936,25.607233434541037
24,2,14.875986988266014,16.42828450323825,17.843766439169087,18.294246270511383,23.621221618333976,30.072653787509232
48,2,10.245701598674582,11.329936472550733,12.559990613205457,20.542093712408267,25.064525564644406,29.006241123914762
72,2,8.12975060035957,8.920579511084032,9.77380419038838,19.06139658091759,22.995782377020603,26.654887293672576
96,2,6.802223373468731,7.444919615712401,8.240555930041428,15.25681297511101,17.75836078536747,19.88216083527729
120,2,5.905452212065374,6.424613248746103,7.067318575674824,6.6028653472573255,7.242951084425446,7.9163818076301515
144,2,5.213445715145199,5.632984550109271,6.133266176075159,5.37715329994104,5.796683183772445,6.230805953664976
168,2,4.7540623432167415,5.155154746942346,5.582376361820684,4.971244747565347,5.490024279173671,6.031298544094598
3,5,48.826591934752145,56.39249611919095,64.91894502084125,55.456732317122956,66.13301378829921,79.18826076161501
6,5,37.562453361075185,42.23927019878753,47.231365244711185,42.171759841898606,49.254811662844816,56.590731968821956
9,5,30.664991632228634,34.75468247701052,39.18297972024239,49.72979179269553,59.68167085581193,71.43072618642319
12,5,26.892082871655987,30.39890167455428,34.02295247035386,48.3240577275393,61.29432661762357,73.79133370134934
18,5,21.942951767335735,24.960931164199714,28.041469536757244,27.789668087115917,36.0213029845382,47.40692866811781
24,5,18.93352867963195,21.47958978205866,23.90894225019668,34.73643927900282,46.48839044018287,58.171466134822765
48,5,13.018086200796393,14.706351471234466,16.29375250348117,35.36238412098561,39.65490262110817,43.16292924336444
72,5,10.275868056200423,11.509384317066885,12.82349904876678,32.05430887037916,35.502308792078956,38.265300820924736
96,5,8.525181510265792,9.553404598841482,10.538149308093107,24.671277076331286,27.275752113879463,29.171792882549582
120,5,7.334955094109546,8.139837874543378,9.059528706177751,8.49335485007178,9.458658238895678,10.564295751576891
144,5,6.305574558344125,7.027384848381272,7.722605149101085,6.577154864120063,7.185258229163603,7.932880028207986
168,5,5.767449542521321,6.366763471338986,6.9957223601719996,6.405300666459833,7.251337568397986,8.193438678803261
3,10,56.919538873579114,68.75293328985336,82.90524874501622,66.74913331323077,84.4292125270275,105.72327298595751
6,10,42.8651326301934,49.115381607800074,55.838563254264585,52.90371396666643,62.41986633439631,72.81942263670922
9,10,35.012149986083685,40.35727888917278,46.20979022222106,65.52593843288811,79.91660608860022,94.57862099721052
12,10,30.893578793978122,35.6705551229659,40.986904026457125,68.28383139232128,85.9990198625328,102.07054916632785
18,10,24.801426889362823,29.300146531521904,33.839256582721006,38.265223688256604,51.2741059005389,68.02539893922945
24,10,21.481974650565906,25.159146566223058,28.727386305721517,51.36405101557227,67.66324476792263,82.53586687399178
48,10,14.727650282533798,16.9867337580213,19.07936747566877,44.677809732809294,47.91409959998072,50.189567982545285
72,10,11.672760604633801,13.29736312303753,15.280732096277884,39.848444910575594,42.08185356648135,43.49214522217705
