Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,36.55087393783147,42.99000283574269,55.392454677667644,50.169075760443064,62.339335510620444,77.2551805992974
6,2,29.206758225827244,34.32498028824749,43.62312811157253,33.71213002072811,40.862452625404416,49.70820854040417
9,2,23.845035091003762,28.388795340653715,34.93681065878059,24.465339082186325,31.276568626199698,39.86270435063816
12,2,20.89921571505141,24.76207237334969,29.748654062880377,23.90484755116448,29.624475424098343,36.408056420766215
18,2,16.987093111732165,20.106011258514172,24.728383751257315,15.647525446206554,21.17864274940441,27.7383303361794
24,2,14.446495972894517,17.36980629918675,21.4464961834303,14.445746447207862,18.499056270466664,24.101888080461645
48,2,9.520677925468352,11.182851105909046,13.476484119945276,10.426975480444565,13.110497569027647,16.729002893602008
72,2,7.154383620452693,8.405851425312004,9.628688747719218,7.903569873122798,9.430837625482242,11.434568283794547
96,2,5.93510134766737,6.899694964012879,8.140914587780438,6.406833882571125,7.581020111812375,8.938378815974367
120,2,5.085253983834454,5.8033200944207985,6.793565066103902,5.450599791673279,6.551437144197093,8.012114605229051
144,2,4.422953629443228,5.063316803508479,5.825839732800603,4.5149999686629325,5.297213516855094,6.23892815388686
168,2,4.037522651266549,4.604910926221596,5.320703244609252,4.519462595582772,5.468207171289071,6.809998084746118
3,5,60.485851721916546,80.49322231519756,113.44275835668286,87.59524019275293,120.89665846700444,168.21737369784552
6,5,46.50467582108274,61.25965913221174,82.59953118330324,55.32407608002657,71.89613443483168,95.78584003232325
9,5,37.8138862031866,49.586820837537225,68.94559836581344,44.891551756267916,62.5133175213645,86.98635393461552
12,5,32.52667049469788,43.07981879088513,55.80986487452297,41.45660223475281,54.58358633533265,71.52179646325611
18,5,27.138515918688434,34.60448794522383,44.85998892860857,30.052512445806823,43.510674746328846,62.26655258273023
