Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,24.851171006532063,27.507989596369672,31.263442718905182,22.655329714644047,26.64002103264722,31.171643182408424
6,2,18.953131160031894,21.154418437583587,23.433419189253314,18.465538669204065,20.71486091020291,23.232864479513697
9,2,15.242881136161227,17.206982745555777,19.224185501760832,13.705464432480948,15.801353183745796,17.95516466614386
12,2,13.055453001951358,14.515794814167137,16.214046206783912,11.620376333474905,13.463570734210528,15.56434400593147
18,2,9.921639735951127,11.176509503952264,12.586666802481691,10.076267461478745,11.400933920378991,13.031690153162739
24,2,8.405306891670326,9.349645718659017,10.422493995854495,7.883077816646201,9.173393314058227,10.487878909852565
48,2,4.97915389356554,5.653167561714973,6.3567024648835275,5.1142346245758254,5.957167377856439,7.004141858146961
72,2,3.925636377851233,4.444500538299903,5.045421239816019,3.5645760702151734,4.199230394135522,4.895701386810652
96,2,3.153083705976087,3.6880912957041305,4.177071007837712,3.5816134772496877,4.030131083784115,4.499106128892063
120,2,2.828105979795192,3.2319208496399177,3.6670129382272405,3.1926481009684005,3.599873323094199,4.032749806303037
144,2,2.5064637695694385,2.8882408927785805,3.2523584485077373,2.889003317318716,3.261423101634433,3.6508062665751186
168,2,2.336162438027263,2.6209249437749955,2.9493826789875857,2.4976557914346182,2.813856470251938,3.157093409857188
3,5,33.48294118621635,37.86979337898161,43.03381438615792,34.21113032553368,41.10638054344259,49.602222550187555
6,5,24.869885264012446,28.37471021471515,32.30035815757135,25.184439365214047,28.795071333763524,32.82380466108383
9,5,20.439725447437027,23.170826944131818,26.167422375645486,20.09992339117524,23.148949905465372,26.802987563711923
12,5,17.112046928145716,19.528677477153824,22.18918322104055,17.35394610183016,20.388262658047097,23.745571839451536
18,5,13.150179837864918,15.146209042970671,17.19757721583099,13.844685891288885,16.097391424966037,18.662638716729816
24,5,11.086216436228309,12.651706231969257,14.399909870634117,11.217264298576033,13.306022040296522,15.348741750343173
48,5,6.745053703501359,7.6514372201550405,8.566473708674163,7.476281606050835,8.912002408996491,10.653966166541277
72,5,5.351499323956112,6.056149957999526,6.846751719303735,5.269796531503586,6.199419161374197,7.126931107581238
96,5,4.355814693833979,5.020691006749574,5.5929431659168145,4.858370328917249,5.42291128664137,6.009455506898975
120,5,3.8993589224622767,4.420570087072642,4.983400744674877,4.311677490555251,4.829845194125233,5.403578689435434
144,5,3.4720999411382425,3.9364067154987312,4.431835952103562,4.043972349517637,4.5244017764693965,5.001288017625478
168,5,3.1386395486391434,3.544278927478088,3.983462807577566,3.35607138562267,3.7787675270941405,4.187790729714717
3,10,38.30639015080662,45.18980375369423,52.46202700402128,41.80152803339602,52.899693941773435,66.32498604306792
6,10,28.691519150838424,33.200502261798505,38.51385478167073,29.52141678933085,34.699801150277956,40.96196542836763
9,10,23.613671275678946,27.26089399536292,31.82948300783238,23.736507562273523,28.485179814527797,34.28900483412769
12,10,19.52714065337016,23.013400489395003,26.89776045486112,21.242889069623942,25.380892278577043,30.238654310444666
18,10,15.300261313740815,18.0122237456541,21.121332362229854,16.14984394540292,19.529845609871764,23.38223403651114
24,10,12.64816513674851,14.887384818617608,17.40325708715053,13.22206888483878,16.19395342609663,19.061926800327264
48,10,7.754425127074757,8.998650195759065,10.226921317143969,9.10780858016232,11.225519613300655,13.800753429647129
72,10,6.151432342745352,7.0314532708416735,8.006946682420248,6.204831603060152,7.441739403886225,8.690942723066629
96,10,4.994436891859737,5.8167758929690985,6.547305318621866,5.549047675236279,6.245120813359202,7.00661106533666
120,10,4.484255386210191,5.12509287482023,5.859821939154138,4.875810656286624,5.537479753791288,6.257249380016831
144,10,3.938794274927891,4.549793804664928,5.155045280643606,4.728330063669106,5.328149702732039,5.921247442050354
168,10,3.588439962531523,4.088470748433673,4.653903063855005,3.828333423606307,4.373326728411913,4.936996401222505
3,25,43.42906474329226,54.997447310001164,68.93099266330569,50.069445067921976,71.11602598947246,95.55549046214821
6,25,32.4151281811302,39.35003703300461,48.67465593859015,34.06458532640832,42.96206298511923,54.28889294443002
9,25,27.052101168727955,32.59568126251153,40.644713580821275,27.678441099352092,35.906053300168026,46.874171781256734
12,25,22.347972779855205,27.614658294402183,34.21761277150077,25.269168302888133,32.249866969032276,39.684068890779024
18,25,17.57234041046769,21.928865239646022,27.060112032191405,19.02146696753442,24.334569705239584,31.53748911472296
24,25,14.56123316365322,17.769756925284554,22.124196815248794,15.423150013766687,20.070088734527438,25.048725174539136
48,25,8.816233327309408,10.72891454841933,12.940408949987678,11.038189144571037,14.664133307963013,18.955123029975816
72,25,6.850334095039777,8.168219992362896,9.622178584687132,7.193719507478933,8.940584242936097,10.97879344890182
96,25,5.6016522167475316,6.734015488456961,7.911370324860476,6.119793845666427,7.191084901970753,8.285556932677945
120,25,5.075528327759313,5.931157244703402,7.010204689450397,5.3918178787981565,6.333640170391082,7.335533439080486
144,25,4.376710382554361,5.243661109230639,6.112034980836036,5.371746338453878,6.316613038916771,7.234676099158283
