Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,22.603036013080764,25.512038938001695,29.07818638630137,23.890553455161793,26.722843818806226,29.93156342993624
6,2,17.456318523330765,19.574134371928285,21.648105736392438,18.221193191285213,20.641085206308542,23.108689507270352
9,2,14.348635625376522,15.898800587755638,17.781523162868684,14.31478731253079,15.648977752045678,17.256304873109265
12,2,12.101634313952179,13.353063374695417,14.73333833151295,12.07704969580788,13.175510322413007,14.635767324778381
18,2,9.509167409794479,10.453013866398992,11.741031844703663,9.18630226234417,10.049632711342662,10.97106480783255
24,2,7.798120587617465,8.72650950495861,9.681217441629062,7.259461066884365,8.056490533734578,9.183087770306953
48,2,4.660369636034756,5.166398670926087,5.745093274634556,4.08684187656233,4.551753528682735,5.277086434069095
72,2,3.4679028554648568,3.865413213688619,4.3268259969686715,3.2080929527716906,3.5019708356119983,3.909600043816603
96,2,2.9071388032525105,3.255024956291957,3.645659961630753,2.996930467907862,3.39973841323774,3.912649069681539
120,2,2.5531124968518895,2.8324665445242942,3.19128941600746,2.464305691999704,2.7715296126754994,3.1688740526598718
144,2,2.2490310198594674,2.5101291215978376,2.797690649836953,2.0697085814422125,2.374973906323822,2.7311504464349268
168,2,1.990357417520764,2.2378165271321544,2.487373762005367,1.7992465576302707,2.0127349725019394,2.269274187717435
3,5,29.94401149927213,33.866753864209876,38.40265854494551,31.552427034057565,35.2230151898425,39.022423436341
6,5,23.08359336631902,25.94863315409512,29.031649792459625,25.75005046840858,30.068809864750758,35.15584010779077
9,5,18.672316650879278,21.10665341068658,23.739214327777717,18.79696975329562,21.008935397540387,23.342559641448073
12,5,15.607326881600564,17.713731867249216,20.202351260806417,16.37107556729374,19.144315101572133,23.38859182262481
18,5,12.346691326652406,13.995742430630667,15.97860711280838,11.917075600630138,13.99417197445874,16.95090719409142
24,5,10.197927591386609,11.743695910153669,13.483983994938068,9.941346647630176,12.079767007114926,15.289426931974845
48,5,6.078057414546927,7.070955683680948,8.12353863752545,5.491389497769285,7.024309789062221,9.772807373487822
72,5,4.534898028137198,5.263887548204923,6.045392644783337,4.333329586389061,5.159116676175164,6.3521766863191775
96,5,3.860782173201745,4.410027398411853,5.096780604648428,4.570138278105253,5.630467454792149,7.142722749151735
120,5,3.3495637295106175,3.8200975970568765,4.393774283030581,3.51900734166208,4.281959365612131,5.3095518976485545
144,5,2.9953717832555418,3.4028985240073655,3.871367492343841,3.0563496035677877,3.705189349897621,4.554165066087673
168,5,2.6703083670711436,3.02963385466686,3.3921151638349145,2.5267309413813184,2.9818048529311243,3.56130240984755
3,10,34.02511089679061,38.9978191511912,44.464321277284625,35.9494613953115,40.1342041319485,44.876821272858464
6,10,26.350215499483717,30.150878817155984,34.56005964892526,30.780510615671517,37.75764884245001,45.262045157925414
9,10,21.270177912812738,24.91484396342584,29.122971723109224,21.316809222558955,24.54608438239324,27.932373855471127
12,10,17.986656080685076,21.185561015888343,25.43035511598942,19.612832616078606,25.22511529076877,33.451960619912974
18,10,14.28546432168827,16.834181201329223,20.00062110252713,13.960938741124409,18.296632440549324,24.801324715282117
24,10,11.70087869222914,14.109013400174955,16.945023919623257,12.283999738685942,16.541509148145334,23.171699125496453
48,10,6.999497492781963,8.626215040075632,10.268457532716567,6.698371967098838,10.161035452427312,15.944090850416885
72,10,5.29814216950961,6.351495315426813,7.52481308405474,5.319577383964982,7.00573648244886,9.431097779277964
96,10,4.449633625806498,5.259893515849829,6.305248668196024,6.166243115993943,8.172778356961409,10.626942595879086
120,10,3.796338320099684,4.5080777380545225,5.3166131338922575,4.527410307600027,5.871412343887135,7.670073941324415
144,10,3.437346490860083,4.033692092516954,4.749499383162496,3.9121265619127312,5.0367363145602635,6.362496889659938
168,10,3.075459349992789,3.5811914028517604,4.117704289587257,3.0860585243630916,3.9171949615792996,5.001050197577216
3,25,37.84928631091478,45.057745604451654,52.50743679211128,39.752407731410514,45.67980460336081,52.17619460408385
6,25,29.639866191902293,35.4397519192549,42.1948500123423,36.38301982807126,49.60350951511931,63.00600653359902
9,25,24.22475431151844,30.179823595742693,37.46247131853579,23.941090320019356,29.061166022571705,35.29725874799427
12,25,20.36627778476814,26.37405214812832,34.431241952624326,23.462373585029702,36.859090493649276,53.945543435626305
18,25,16.28282622213619,21.10074228127396,27.480707310143416,16.423489446554644,27.114282494817907,42.88929560883037
24,25,13.416666294727348,17.594015021159002,22.70338563457875,15.678929375902857,25.771923325234845,40.26968120598852
48,25,8.214225486255087,11.005310180179373,14.22767536353955,8.819050094628256,17.508578570933725,30.642069685729233
72,25,6.168919536773188,7.942251618880006,10.121848617338042,6.951487609014374,10.838951150994937,16.560337297598828
96,25,5.130321089273624,6.441562609966715,8.37196201770052,9.190077248581005,13.5121638861477,18.007742646340827
120,25,4.309919781921877,5.418201117143164,6.8226480064013115,5.975189825177425,8.982237092184395,12.578389087263862
144,25,3.8397803666088386,4.878981156440223,6.05104822514012,5.234219655298967,7.518572004975708,9.952144968074641
168,25,3.542565496769811,4.31081908270067,5.246410032887135,3.822676768822637,5.612757604451372,7.778733915299561
3,50,39.97744140977545,49.26694113932251,59.538665277728015,41.8626504808111,49.39502314785298,58.03239550267297
6,50,31.629067680508758,39.348481274224085,48.74296153486766,40.793594806987805,60.30945193181768,80.50489205470913
9,50,26.24002575139619,34.441576556677866,46.713925169730736,25.438686654087753,32.481247082203545,42.25227300143298
12,50,22.069498341224843,30.900280956219767,44.05169573635102,26.03659662400579,49.84382635144482,81.2718241507761
18,50,17.86445853077997,24.84342981494789,35.303102819493446,18.30444499409337,37.64144416250383,67.16865421061773
24,50,14.575063810095163,20.59305944843327,28.974847018631845,18.694671145021253,36.84134617672354,61.615732559673106
48,50,9.066138101460263,13.127583958799296,18.72937014598668,10.770865489857387,27.358016065711787,51.65718342452121
72,50,6.815723673386001,9.301595693782092,12.7550520608876,8.3508626570641,15.447391987687379,26.01449798290934
96,50,5.579829320508221,7.403323798786847,10.201621556211162,12.338071899689403,19.956180278520335,27.683542126221134
120,50,4.5915670394097,6.124157561829007,8.047550230076235,7.202813285080859,12.5100632635212,18.16835846961368
144,50,4.106746225948644,5.542872497525719,7.336724963215898,6.330885741929032,10.204608009556136,14.142416051065403
168,50,3.8023992944363374,4.876752680296966,6.330432004097669,4.350460608821814,7.40786865016052,11.06639551491107
3,100,41.64186860921079,53.21839684070845,67.06167217366175,43.18703090344331,52.7996251892229,64.93731499345623
6,100,33.26857890897274,43.21587722374141,56.76984938686215,44.32425715913665,72.94614007900363,102.32463288497894
9,100,28.024904398474952,38.99750966907634,58.33339108868111,26.732436716288085,35.96820565898715,50.684253606168795
12,100,24.034437221927718,36.05823962356921,58.31008629878434,28.64161647448455,68.3014814327906,123.94346517749409
18,100,19.342966769144596,29.12878497269682,46.205055961182936,20.08190421427594,53.54256774154665,106.84503887170725
24,100,15.717540395819544,23.971108363733915,37.98892412808499,21.82254553357832,53.57579799427319,98.76459742965929
48,100,9.893891869740187,15.592712092144913,24.873085769410423,13.096873903772245,43.713640557757955,87.49104500042822
72,100,7.465672877454509,10.823551884431458,16.036768776816988,9.966156960582934,22.426951276380393,41.96168922702424
96,100,5.881509546529916,8.436286833369294,12.55008192224317,16.621650218752258,29.6959447514861,42.534940754692016
120,100,4.85094995239044,6.851945275555698,9.591451708247073,8.70322140056365,17.57510498507222,27.23893869555728
144,100,4.365132165491578,6.23459175358325,8.933203366109941,7.512103816819305,13.90636390139629,20.578956723853963
168,100,4.041381580527401,5.460172046983082,7.690075840757901,4.899331274804139,9.842341452153596,15.949729666435868
