Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,25.289135424908913,28.177594648907473,31.483566247855855,25.49708522757596,27.911704653472345,30.86606988868958
6,2,20.695571043398104,22.574241934535916,24.641961897952903,21.217460685065298,23.248785082756484,25.23412079210435
9,2,16.816711358149757,18.355131318771203,20.10606593691382,16.49519862952769,18.114318410221045,19.62961033414121
12,2,14.20851517303932,15.562887221583019,17.3331527942142,13.637164000227182,14.992168294367717,16.637490900069324
18,2,10.868931387062428,12.074093935054268,13.4743865702178,10.887158067232619,12.162311143865495,13.559000860726737
24,2,9.078569290980242,10.02561348725635,11.170432709247805,8.775226673051773,9.712566254683923,10.888022657003978
48,2,5.766553767308843,6.411082739738303,7.140344941884784,5.631499980304971,6.292625944821321,7.053058048146836
72,2,4.373885925147023,4.875583202596688,5.440851380913178,4.21945566226454,4.657878248519744,5.196486873353315
96,2,3.6191496546148247,4.021278202832068,4.554051979862185,3.4118379035786504,3.775525233797164,4.19034930033853
120,2,3.1643208252916657,3.474434354506319,3.853165616469143,3.100958699699399,3.3886573239499604,3.768733376739017
144,2,2.828329224263986,3.105993309822319,3.3854396540482172,2.7812559309407603,3.039147999457437,3.3502071148591277
168,2,2.5574674648402107,2.8087977615275426,3.1188171866913716,2.504528106427818,2.792694489623327,3.132685633697065
3,5,32.42155477573172,37.026450313483465,41.72524432468449,33.149326095062264,37.13455984451568,42.391740138304826
6,5,25.941343365611807,28.989144635651574,32.211943780535044,26.87528174462163,29.677415356986533,32.78179881938718
9,5,21.11056451890754,23.66064302631438,26.278715394006063,21.124552231276244,23.631769329362175,26.150405182841112
12,5,18.097160115296184,20.3350986086038,22.918056262367017,17.51417094258739,19.69519096049752,22.02305145231253
18,5,14.002059089108158,15.80945667307656,17.89799704520495,14.438026346601328,16.267829017791648,18.419284630327947
24,5,11.64641850723733,13.131127614382034,14.829337168824075,11.295267300033803,12.990955812627714,14.934481315848942
48,5,7.544872677526714,8.56007292395827,9.65806511055706,7.98788475305993,9.137510356583617,10.416416738320125
72,5,5.822352908693318,6.61561643401693,7.474089943018283,5.929750754819401,6.712774804101698,7.757457772296536
96,5,4.715677597900307,5.359298740066992,6.090768415594502,4.609675422268701,5.213395365999431,5.895929287301827
120,5,4.033271460418383,4.569196039393927,5.186967853075876,4.177013414431281,4.666440378058034,5.323711389237865
144,5,3.5965286632709064,4.031772129732731,4.510171029859948,3.6459813674911032,4.091170967064971,4.599075213441452
168,5,3.259546897921367,3.7064488584146162,4.218167359961481,3.3259476373458208,3.7649224955614087,4.325201377468069
3,10,37.05478035423832,43.640838399515864,50.78362350471431,38.104307100003,44.18792783737718,51.82892063912564
6,10,29.035817866411477,33.28253455624318,38.264968039788876,30.0824713471712,33.896394711831874,38.319792236139605
9,10,23.653788774513362,27.310269515639156,30.89615113160942,24.241233554749527,27.655505507824188,31.561162281481874
12,10,20.402670252693312,23.566090347527545,27.16677469677828,19.90324672901844,23.00211087339483,26.43478023573878
18,10,15.938806193702508,18.44946406611541,21.61881596233949,16.71088064055296,19.220436221367276,22.326666313970428
24,10,13.310791609089549,15.342943429262093,17.759493271925347,13.138901268612926,15.551140383342261,18.39321437535829
48,10,8.581990320722568,10.075567631392474,11.609453730336753,9.352985081628184,11.27084585512998,13.301243646960728
72,10,6.623395499410722,7.849259744088118,9.175581499754971,7.056107285182731,8.449536275194701,10.252083396997639
96,10,5.398186602966863,6.334666450635103,7.374636930237957,5.431034887659718,6.339996243363309,7.313281387145354
120,10,4.591685470400844,5.356856668296599,6.248086125937205,4.910598353534468,5.660817600311674,6.609765628576696
144,10,4.047026503442474,4.69886036272988,5.433219476746064,4.192132660721382,4.929003668688648,5.7167708901763685
168,10,3.6875459049788475,4.371128957841757,5.061875409062515,3.8538345252613366,4.479168530227512,5.268493707896125
3,25,42.37542866611105,52.97059859521055,66.80522214795234,44.419488328190184,54.45537486375902,67.79997604490308
6,25,32.33325840691256,38.76041189356893,47.152897812756635,33.323204482366776,39.24305692486281,46.2862013881053
9,25,26.227533580246536,32.08366133558765,38.78192000905789,27.436930057920392,33.27219908200321,41.138893849375094
12,25,22.927616983902194,27.73160962235992,33.87801534989258,22.38227806166936,27.461384574368026,33.105096989604476
18,25,17.902654618692665,21.988101442252447,27.739299249021368,19.036823541086235,23.301022002268866,28.81109929982228
24,25,15.152708418096879,18.32843444049481,22.880295441377257,14.977977884793638,19.363799867112174,24.652038310347884
48,25,9.630018611848975,12.102881205396951,14.659800074815449,10.8529903372792,14.332556748086372,18.503465768929622
72,25,7.477866638967689,9.50752879174195,11.793302668386968,8.399198944745716,11.237557033667622,14.959577966818884
96,25,6.1866651188468165,7.679327498805917,9.653809438373834,6.402188471327519,8.01600724934143,9.952501916455951
120,25,5.191503454175918,6.429879701775579,8.191746451220586,5.781750305190746,7.131049014293508,8.884202298991376
144,25,4.540340531926729,5.608878950019821,6.873838288470941,4.79962342740325,6.202411500205466,7.738499833782692
168,25,4.18208550184245,5.300639250719827,6.5525712874949935,4.392507422057458,5.4832049149060245,6.917711723497439
3,50,45.47135437029273,60.66989162614539,83.96405876114176,48.533724597743145,63.2647806755666,84.70940452129247
6,50,34.20537010201734,42.86291939350012,54.47364525072801,35.36969496219458,43.25664282681535,53.782729975126756
9,50,27.728467047814526,35.74561372706107,45.715203414351585,30.004033092446303,37.90572710961658,49.91694569441326
12,50,24.442126819734376,30.882959967548842,39.648011896677865,23.91243350379225,31.01556569264512,39.87174211692752
18,50,19.079383933074453,24.768051872451434,32.631335551788005,20.325046068159253,26.64185004421622,34.9975708991218
24,50,16.298237897473122,20.689742392684295,27.160186739636373,16.14326430376543,22.716580302709332,31.050769379661688
48,50,10.297995763707393,13.692473177395117,17.499010930098482,11.820099676739641,16.930979346659406,23.714503736245412
72,50,8.057236633269323,10.813850063164622,14.242914706515936,9.35507465473109,13.874530619827489,19.959776992287683
96,50,6.641803036753069,8.76478832935663,11.838015167016337,6.989684272594167,9.483583914527177,12.645650302576133
120,50,5.620149126819674,7.286156940758133,10.073859405698624,6.40893366120368,8.41116404069978,11.143892575460733
144,50,4.8600134034465015,6.33604292200827,8.188678517579387,5.224488417144005,7.346282766980099,9.902970302886182
168,50,4.538698189785066,6.061371772196097,8.037112693131302,4.77827905121272,6.31740045645328,8.563723368079366
3,100,48.032444576480614,69.03733309175888,105.79535007316085,52.57999920378471,73.23340218546062,106.17410196855292
6,100,35.713100742567036,46.96803390418172,63.42008785363264,36.91103956967139,47.310278601688545,62.473755239976086
9,100,28.945802998336294,39.48555708307987,54.440857256473336,31.699522320365247,42.980116120550214,61.06213394036557
12,100,25.76749487884839,34.063502356903484,46.13864822450182,25.389462829054843,34.792088406020376,48.12247375745334
18,100,19.947410372186745,27.665147800852218,39.144086517301396,21.380639347674975,30.2824586367579,43.47759261100409
24,100,17.422313660050698,23.16475455027296,33.30422332846223,17.14506921305361,26.599643521947602,40.18901333207246
48,100,10.892856391761006,15.346337383050155,20.956748679496805,12.618420641032376,19.84978764544661,30.50190245491263
72,100,8.475363431499149,12.178408108051043,17.24618047732768,10.311659055404323,17.126880738002548,27.020155564193722
96,100,7.0518374399296455,9.92246931171019,14.400832070519566,7.50681363495419,11.172566501464312,16.35634674230308
