Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,22.778944595359178,25.279283681011425,28.353003870338746,24.188179924868862,27.506312720392334,31.147639795913527
6,2,17.731175372136963,19.69086748609338,21.76077621204046,17.56380025055101,19.77977793736977,22.180265659732875
9,2,15.009488012155305,16.514341164700284,18.07580403479731,15.221957799926527,17.027215472659197,18.922110380430137
12,2,12.925801847806293,14.233801023960698,15.635458680756582,13.180955878423003,14.704721724227245,16.198265121174945
18,2,10.398659675526831,11.442897530786723,12.50348076536462,10.393737513416099,11.483717671206307,12.564202931699143
24,2,8.657250407975232,9.565914964161307,10.412636128191432,9.108275960918116,9.984397999484049,10.947291102585286
48,2,5.139005275847159,5.749697013001457,6.40694223268757,5.229436139537684,5.8484345765366115,6.472619252543348
72,2,3.8867567891697483,4.3574037036227145,4.8110962753378494,3.7633257535581026,4.193726606909361,4.6414271747162354
96,2,3.210950551188294,3.5807516858635315,3.995231470313776,3.2138333065942026,3.623528586770954,4.10727525522497
120,2,2.696583188695071,3.010815229489214,3.380982721203318,2.615649095915424,2.922259233657644,3.2901048403722273
144,2,2.327472754751958,2.6219812728192684,2.9384786549862185,2.244008177428032,2.563624667809296,2.93470547650678
168,2,2.0769453213066518,2.3357146059068823,2.628436034496391,1.921274529470632,2.158199176976039,2.442821363353125
3,5,29.795852087661064,34.17916238013417,39.25598004807635,33.90152485220587,39.9684428135377,46.681106612748344
6,5,22.676427911843817,25.554167096448843,28.38304748901504,23.730674894675442,26.912455483736004,30.703962452672478
9,5,19.05635901375871,20.962702249709995,22.66544606365892,20.26393586659079,22.645911549947424,25.1932389262952
12,5,16.316469460732133,17.87663026944388,19.346695875234833,17.465668839801346,19.351821034869257,21.33395078426084
18,5,13.015052265752129,14.096273370872261,15.167597936218243,13.31648483952264,14.5127066579788,15.587040250994082
24,5,10.777553520505933,11.691108769503874,12.439183500695215,11.501402441433093,12.332319002324041,13.222918781503058
48,5,6.657731900787461,7.365558838237789,8.021948954857299,6.870271331220634,7.702608441527529,8.509459988206622
72,5,5.0205595234603235,5.564842586007568,6.073961086289465,4.874930345798464,5.442309090833902,6.083711542584206
96,5,4.253505251534862,4.685326964419102,5.19213509366855,4.594983610362743,5.28002271595813,5.950550444908875
120,5,3.593099161847705,4.004949866060358,4.487069342013298,3.5804570602387473,4.111411294758305,4.718230708541904
144,5,3.0876663521169334,3.5029444586896457,3.928290230346276,3.1064332274248194,3.626022902130214,4.252414195140534
168,5,2.783280801551541,3.1457807126585298,3.5718752985041315,2.6681870874451366,3.0947031956974387,3.6109983933360743
3,10,34.34546548486229,41.092934019914274,49.088808487242545,40.0733719572956,50.46795043029182,62.50252431603121
6,10,25.610661235129044,29.367398111690022,32.94253919262988,27.29815502037266,31.81970810777623,36.32961092177844
9,10,21.12449841796231,23.500884833793112,25.702483596280757,23.140865905571633,26.15856817114278,29.370708913097708
12,10,17.983901561533976,19.835507543716375,21.525446502461822,19.82725793506639,22.020113082728397,24.29399936050317
18,10,14.197379364887134,15.343796381165383,16.379337671694977,14.69808529364801,16.02664312502288,17.27850647611123
24,10,11.704478354661257,12.652240640708353,13.417172368278848,12.549115698814163,13.424777743698073,14.285455060525937
48,10,7.387488086633319,8.227366624413527,8.978523921620297,7.780643279644895,8.818370553883131,9.78739478502337
72,10,5.578126487649015,6.224612132780525,6.856616266260602,5.4440247309124175,6.220436103481119,7.046739539430169
96,10,4.763531118017657,5.300819286688258,5.846275707048945,5.578871559364848,6.517372407793088,7.403872066411241
120,10,4.050897603804854,4.612568808401968,5.239376827528122,4.216243318247653,5.020101679715855,5.889101660554313
144,10,3.471693062490025,4.0524331692237645,4.568251638534714,3.6827011951045434,4.4585827307552455,5.319714200345182
168,10,3.1978253125737837,3.6893683391963585,4.271989963873344,3.2014283606702296,3.8408701453209746,4.59667014746929
3,25,39.2311177072761,51.19476401157239,65.95214212630967,47.85565828654144,67.28145249779209,91.67825134104658
6,25,28.629759647753588,34.10845515431315,39.73374984600669,31.179664917971706,38.31266006557718,45.500446739217594
9,25,22.941868633675867,26.308252539400122,29.8193456158837,26.00714814791267,30.41058061838583,35.26744791072388
12,25,19.23098072390077,21.891301374650126,24.280393253658787,22.055134046987604,25.01461646807093,28.340392883579483
18,25,15.0694081418873,16.507599689067504,17.886104677177585,15.721750461331592,17.533649867534475,19.233416238363496
24,25,12.373156277635974,13.519103281237381,14.4597359276896,13.31224841443851,14.445670764922205,15.60323097366174
48,25,8.032773842574374,9.12529000198131,10.111065865539132,8.689178549491862,10.12439409026295,11.612879803000514
72,25,6.062548886082072,6.926896062121654,7.794520579815579,6.1186429219782665,7.161429169844059,8.42656426148391
96,25,5.1922056513287345,5.967421329603845,6.775867733288047,6.765759722094477,8.273263068980024,9.707994363536434
120,25,4.499704376729175,5.327100872835596,6.282977899898592,4.927190801954496,6.345856708415015,7.94090255422901
144,25,3.8789048475693684,4.710455498103015,5.505978158457448,4.36128209140629,5.700634902640064,7.219105971015286
168,25,3.666753656842062,4.384568175380807,5.3169890983594374,3.833150472757745,4.968624934461875,6.427282172950658
3,50,42.86628695320546,59.81853618366036,85.39508107989471,53.44267194873457,83.1589974809785,127.18892422596491
6,50,30.213879490548123,37.57095866310891,46.26801223617305,33.483921775808895,43.39653629795862,54.45401574480799
9,50,24.077298698409397,28.136746827851724,33.05850759043976,27.761280186751407,33.45718783530935,39.64012716862787
12,50,19.812118608243495,23.162728930547367,26.28106611311138,23.233711634436325,27.00771958621346,31.656656857549898
18,50,15.464356388115613,17.14791983653905,18.8559352173933,16.15576902204971,18.42652955125132,20.739737226811712
24,50,12.67228318402066,13.980216376534937,15.173415354900506,13.728765236535809,15.013444363443341,16.429355675670074
48,50,8.34217659754253,9.676661327836705,11.090567429030987,9.176676993798907,11.030459657370166,12.966589197897157
72,50,6.324335238921331,7.367345711936608,8.493515697462135,6.4999305230873885,7.836105667347659,9.565407469041933
96,50,5.388929040091021,6.392696217379026,7.459430301838125,7.478894459077308,9.738421458625066,11.84438312137631
120,50,4.738599033009116,5.821325962950926,7.177513802658023,5.359552966870683,7.487988868101923,9.94501943773733
144,50,4.157237614721564,5.173751566679362,6.322086883578952,4.739193634177432,6.792966183515281,8.947144147918602
168,50,3.9254200456670483,4.906417899901204,6.212631334016702,4.314474332503835,5.971516403041834,8.345507092076417
3,100,46.35819288918013,69.46579331759818,111.78941784449826,58.55624084307438,102.73287519684345,177.2867499115628
6,100,31.710030819781025,40.962510444109114,53.20222152401766,35.2896995299904,48.71937065137142,65.00318120184775
9,100,24.78109690083001,29.76249705478054,36.711556137277924,29.068228229661884,36.41011800703445,44.88146244622061
12,100,20.291724636202208,24.244945871367804,28.478401707296925,24.052592089403568,28.823479791036284,34.874026667134345
18,100,15.748096699726531,17.64200750240607,19.85467555733657,16.5119487370034,19.165269475457674,22.09082151590358
24,100,12.879312322747847,14.32612203772635,15.813429038249623,13.920426394715319,15.4588245361819,17.19980601812062
48,100,8.56679579169942,10.143163078855043,12.190169167284605,9.606839945700393,11.885400069806773,14.44736194883016
72,100,6.488929630079459,7.746685667336649,9.133761132900126,6.787791394537905,8.491305333443435,10.86611715498086
96,100,5.572131698742473,6.764274895378106,8.251022872888068,8.2134340459078,11.352644197414246,14.422099100455483
120,100,4.942575284080653,6.283638804744035,8.248762464502995,5.797398693716279,8.786438045997668,12.506528901836521
144,100,4.349392158743259,5.613695992050907,7.18142831149566,5.080923916418681,8.056099621678756,11.483053606058402
168,100,4.165973854488877,5.429619849275761,7.294093645470641,4.712721310884634,7.141341146746203,10.829582960264222
