Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,25.03900523719556,26.693960233712716,28.19644273500986,24.012874941840344,25.59575763869325,27.31214950910102
6,2,18.598425448612105,19.810849511601344,21.386952473463232,18.070335191449598,18.993038686245924,20.08802029894754
9,2,15.486465328068348,16.5970695964073,18.120371189083343,14.528032628549493,15.487547503868452,16.511601882008037
12,2,13.775435799900412,14.99966128642027,16.279253619693797,13.183813175956566,14.139622836708199,15.197767092401165
18,2,11.31222760554065,12.278741353247092,13.426539342429429,10.573170745092568,11.52504640034395,12.662630769149455
24,2,9.722928915132659,10.567807267871562,11.543518462989796,9.239440945343368,9.980353409277503,10.867307426704125
48,2,6.4745556052344835,7.064512162235179,7.8236760648292965,5.819407579021256,6.271076642348078,6.803814604917946
72,2,4.946007058207874,5.476167652297501,6.064076780881659,4.512994190280831,4.858199024527268,5.226375773761684
96,2,3.979331790899283,4.424013089597546,5.029989194177675,3.6614517618173164,4.110554085709828,4.638529962910349
120,2,3.432910285913928,3.825518859149277,4.291365841453327,3.2588553161263003,3.604693392957996,3.994727787294045
144,2,3.0221770314116196,3.3583142677181335,3.828427449528507,2.8413135887880703,3.1281909053620938,3.4687558969772825
168,2,2.7011750310581766,3.0176023908498855,3.3890398154509906,2.5352978963387365,2.8148614830347105,3.1612281643902103
3,5,28.954864186632733,31.53195239052925,33.983221404819844,29.16083619415827,31.861907730328248,35.054797133281895
6,5,22.007303009833116,23.968358839115385,26.169434410924644,21.016868437088185,22.71835429630984,24.556290810607496
9,5,18.742885763975533,20.46454521860724,22.563043411364777,17.267254700225337,19.06072564041042,20.803262314660795
12,5,16.89472403453455,18.5840545742112,20.078875186828252,15.906696575466622,17.38510331002187,18.89931934261456
18,5,13.900364946507121,15.150369373291998,16.535099010731134,13.15236890137749,14.414722006211907,15.934284950532392
24,5,11.991090973292804,13.019219036217855,14.26256335683866,11.423129559469531,12.535780090463987,13.658420899410672
