Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,30.930261659971343,33.29441798001139,35.56535653070938,37.76523872450802,40.84081931824854,44.1045469499712
6,2,24.004951069164,25.78741079728524,27.626799390524724,25.865494631270806,28.03569651871889,30.4796631614498
9,2,20.19683578637395,21.727722626974213,23.3799704021969,21.610654929794986,23.5705719116107,25.47348819254841
12,2,17.96590357288786,19.16413263519147,20.549986804283648,18.46442104394317,19.844859947291397,21.13610783774184
18,2,14.860834515989106,15.883107148951426,17.142683836950763,15.312579007385455,16.44484416574718,17.541888154859432
24,2,13.045654043260658,14.012660443359415,15.083490608874275,12.841153093027343,13.915989549395572,14.867746980468514
48,2,8.838728109192814,9.5474031237334,10.248633418718114,8.51970535648567,9.496941186697365,10.556992263594992
72,2,6.8636550782951975,7.434313978988352,8.04087958639774,6.164904120828961,6.850983579251677,7.608154500907653
96,2,5.684261892738233,6.113606362550434,6.605254430729145,5.224772015471604,5.586361945871057,6.009701706403785
120,2,4.864863631399712,5.262787885840786,5.716238956454149,4.5745112168424535,5.071211344369449,5.658200022928019
144,2,4.328066523106043,4.654429645590415,5.008067393394703,4.245944902453801,4.5042561935223455,4.78356380954664
168,2,3.992216240501903,4.247751479611565,4.5615806881889185,3.538230553066782,3.7493697696470454,3.9683556498031667
3,5,36.74437978686338,40.189535252118006,43.52246575628784,48.761882911713116,52.581488724607425,56.304196186002
6,5,28.718530409638667,31.240351376344634,33.84849948036717,33.02829460694215,36.09671641114455,39.37933361775808
9,5,24.069962500341,26.28100669057969,28.36805392190309,26.266067201949163,28.266823748924985,30.203972484386
12,5,21.33041731426096,23.077932094415228,24.925023898680124,22.04237466083137,23.587250290262947,25.028614887039453
18,5,17.69876071246042,19.052892954585303,20.461997730277506,18.13895490151563,19.230513662742453,20.390228927877086
24,5,15.593876361858353,16.80956773292323,18.051413051800704,15.369514029573299,16.352968223744647,17.23911703851402
48,5,10.563910561325425,11.471754806044085,12.278672004372943,11.287563561060441,12.365206548689656,13.372189176842635
72,5,8.192569788519661,8.871351856849916,9.526134176156914,8.011110216946351,9.000233821221236,9.939676002580285
96,5,6.848917043664493,7.415929930272618,8.050084352278992,6.469622888462804,6.996556116095764,7.600780882753794
120,5,5.8844366945547035,6.397217869095759,6.966273295006474,6.008733398325379,6.843638884247302,7.728698284307612
144,5,5.150189684970275,5.634641165598877,6.152286303499084,5.014562517436371,5.38308363124433,5.733685596734969
168,5,4.7250828846856745,5.070847491267655,5.4487914115786396,4.428607918794151,4.754873091458338,5.138356878791781
3,10,40.08888504030038,44.53501307869738,48.58937393478293,56.27900709273409,60.37684671749338,63.87501170615535
6,10,31.349616078638782,34.749864682260025,38.32962705710534,36.52138794158793,40.8039744862556,44.91454597902958
9,10,26.367029822194148,29.167649964962187,31.763108677329953,28.55285885538985,30.86057882185711,33.04977870497312
12,10,23.279493459266476,25.484504352395554,28.020589048836953,23.72671925774097,25.582349565192366,27.25697403592403
18,10,19.235348287170215,20.95927940129674,22.77301124002355,19.356045628446466,20.555107083227583,21.715538136855074
24,10,16.895304492696514,18.413495187276055,19.953352877163027,16.4920621580874,17.491901111204957,18.499509209395004
48,10,11.443668698013077,12.577036685959259,13.52070985194095,12.59882727299572,13.883635262915663,14.801533840338891
72,10,8.905418548624723,9.680272327404897,10.437137846572632,9.125500067280143,10.384285918371138,11.48229702284461
96,10,7.441665833264407,8.21668214152999,9.03447996380136,7.106377278575559,7.931700170793775,8.799943137401689
120,10,6.450024520970587,7.104368667964528,7.8255643557343575,7.034755143204221,8.178925450252002,9.305658977907076
144,10,5.624657146894512,6.260407632545645,6.926754774564347,5.463701589657176,5.934697462176809,6.417681809018726
168,10,5.134834211553737,5.587876006530471,6.064251094605542,4.954727204275287,5.474248576961054,6.004027585875807
3,25,43.88407947114345,49.78731478808407,56.31511207219654,65.81544138216799,70.2976896405123,74.09775244013922
6,25,33.792795331560164,39.07251101502577,45.0974731809039,40.039552138686716,46.161158973630336,51.738359313003244
9,25,28.680294526279745,32.67527982628622,36.513520621536536,30.839123946363863,33.67592848601848,36.698278748551836
12,25,25.097068531105904,28.329803824871775,32.1777468592697,25.2282922242807,27.681614965998914,29.905492890182973
18,25,20.90718621826765,23.16902249750006,25.944625322320576,20.267382434772227,21.816559866073426,23.165980754083535
24,25,18.11656085812701,20.195468078373118,22.541465931018468,17.304156575949094,18.56116250469481,19.802248808579463
48,25,12.372970098633395,13.80672605464736,15.24586417119999,13.999352664371484,15.463439200930168,16.41748737944724
72,25,9.483683799078664,10.564286481508926,11.494125926185033,10.271944487110238,12.100208845932777,13.498861811287451
96,25,7.9898603391236165,9.163373365325654,10.318782459122623,7.739848703895506,9.127362732865642,10.473771077867639
120,25,6.917535673207576,7.950728252881488,9.074745539369045,8.369443647050534,10.085401116835314,11.623981258737109
144,25,6.1809767500908395,7.025561023797609,8.07948314897562,5.874250196509396,6.606336007890146,7.408545573377738
168,25,5.510324598501323,6.210953809638685,7.069324248892414,5.557451312763029,6.456059374511247,7.341240422479962
3,50,45.8216828906915,53.518983383333605,63.14940057139617,72.13641793389144,77.73746995677122,83.45910909392028
6,50,35.179710659996665,42.20068750298512,50.57364821253533,41.93807020524284,49.77256109454619,57.475762946776236
9,50,29.688692476932147,35.180350102761274,41.18955760239035,31.95306279765041,35.49097269004122,39.66104889672587
12,50,26.032608226147524,30.308224618480324,35.56430935890044,25.87909679649345,28.994300983734256,31.851476428167913
18,50,21.767965985084963,24.676034183442468,28.495505268364276,20.644733214418807,22.531390954815443,24.216312102571113
24,50,18.804023103811527,21.3612121478341,24.247389748536634,17.745625525117806,19.1589409791571,20.684397320993238
48,50,12.920774572841669,14.612277630438243,16.50399740354449,14.762385075193606,16.43631029176043,17.654388431518136
72,50,9.831981076158733,11.133287792032778,12.47008541767319,11.007764287120626,13.355894878192192,15.205770710220047
96,50,8.301761971285735,9.821607770880806,11.403125622250194,8.132010809557244,10.032064265036919,11.95118804677546
120,50,7.2223438503596835,8.546307352949755,10.150549002358055,9.376188670460639,11.683423631105896,13.702104871458168
144,50,6.450636374514415,7.575359228903177,9.065976364939699,6.119907474440045,7.091256113870587,8.295676784283827
168,50,5.744030968809339,6.6523635481923655,7.9090587593314865,5.897480366397865,7.24523233610726,8.573307320700017
3,100,47.695422797403964,57.08985637741543,70.00528004943591,77.22880928082216,85.2134088242266,94.01162333429146
6,100,36.302430806932605,45.24108693151416,57.00529574517749,43.43349654073465,53.09517639501783,63.583588037717874
9,100,30.59894576440049,37.588033167088824,46.74375190048545,32.795756685821225,37.10183412378008,42.431751701255486
12,100,26.70609233404453,32.16716276753979,39.03610886764109,26.42994545792051,30.12984066804769,33.98122363058525
18,100,22.29480949789831,26.069018741752632,31.32245821913,20.82829880432192,23.100892681748032,25.19159300394081
24,100,19.2678601633801,22.4015456594082,26.069521791641648,17.920822965822197,19.630102426517553,21.579537317800586
48,100,13.219584818726673,15.332000553991751,17.769323548444724,15.319421655376516,17.26434042529124,18.917052647232158
72,100,10.098244898283387,11.634174571832707,13.465333541691546,11.523825651840237,14.59264871520425,17.062312826880365
96,100,8.601773838877737,10.440067230312005,12.623033579209224,8.449045283141444,10.951265228093714,13.675283302579352
120,100,7.466780393333211,9.111610020220729,11.446768971737814,10.270304125233945,13.448890712950528,16.24139793702658
144,100,6.65453393934781,8.106520896599253,10.206246666348072,6.299523866528629,7.565076351900556,9.26674012408268
168,100,5.908602921925088,7.073721812371008,8.786469174918619,6.20593394704855,8.087511734124044,10.055183784298343
