Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,21.23128657903135,23.817064725752005,26.735443305821633,19.438536922642868,21.711733034188576,24.373293739268085
6,2,16.827941261363357,19.202954283576904,21.734084610057124,15.988585649978422,18.26483730297122,20.81529194656932
9,2,14.592706269829028,16.670482856026734,18.910113596713487,13.968668074862094,16.035570865121837,18.475069319607126
12,2,12.88943674396792,14.500363503380765,16.346674581149436,12.681002332452,14.41829862506933,16.11005032695369
18,2,9.807437671064719,11.185529070336939,12.680548529196042,9.788981241686223,11.31663272722805,12.889762290554156
24,2,7.8061248347403325,8.977291921595983,10.338507637862321,7.781193978402701,9.103803538893397,10.639484072597146
48,2,4.3092058996086084,4.956918481172528,5.724787710792167,3.908311557169858,4.566777523604662,5.281749800059211
72,2,3.1679285038497476,3.579632162680845,4.029176771787029,2.994645994713926,3.3649346316963165,3.816651146868412
96,2,2.6020335792598743,2.923182835086737,3.354471086431165,2.402965603320788,2.697668462713018,3.0701993840868695
120,2,2.191762379056671,2.4616972360584963,2.782274877319227,1.9801880163543566,2.149904533677001,2.363703001931743
144,2,1.931900487900974,2.1585471847910873,2.4221389275256064,1.8267232803713802,1.9742086009224027,2.1302737043337507
168,2,1.7317656565684965,1.9339346014444778,2.1659897109371693,1.6621470224263801,1.7612198089508329,1.8995195910922407
3,5,28.320098333683433,32.20172253334626,36.67256596153828,26.74753431745659,30.690488443343185,35.49921293352679
6,5,23.042564531650783,26.71023265696708,30.429530788869137,22.981280547046158,27.167757441872354,31.739915098072274
9,5,20.251710165551263,23.332078312248164,26.489913430162176,20.16385152351087,23.32523856987787,27.334921378156686
12,5,17.593926093166303,20.21341895849834,22.824835618035102,17.265656268841607,19.786629389552463,22.27587193169764
18,5,13.68460331326953,15.804961835402137,17.943437833003895,13.849431809633515,15.937346196852625,18.106474674698063
24,5,11.07722370249666,12.68327640712576,14.938035786266795,11.625374319910163,13.671539147427918,15.994520221127427
