Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,20.676616523421156,22.40963871289661,24.373019079591728,17.851776169303996,19.791054760602126,21.91243589048198
6,2,14.869786535055365,16.392942508314533,17.946298309154088,13.196695866688657,14.794812532126215,16.130967717066156
9,2,12.249744492572663,13.288156015347358,14.466640417735523,10.75772799600127,11.838747789412874,12.953059646967011
12,2,10.445380701322033,11.370582923803214,12.452833253160467,9.105579556287157,10.037154556785529,11.029570969001714
18,2,8.320470658735815,9.120195855656654,10.05154043229592,7.34346232049549,7.928282857067207,8.614201152748459
24,2,7.022451799496601,7.765732296896973,8.676950599116056,6.092876559371847,6.718187267185122,7.3874617903703985
48,2,4.528141214535015,4.977147622294625,5.551584149668333,4.278603150502436,4.671022712580332,5.159721460965125
72,2,3.513918296943574,3.882164447684824,4.292417393484088,3.529758097878685,3.8900274166763014,4.280999781986375
96,2,3.007565906783428,3.312014553403129,3.676079054536417,2.8302127311117156,3.1464553962942317,3.4789020433438154
120,2,2.671415987346227,2.953061948759778,3.254566895410319,2.540639615690397,2.819888921037968,3.086621051365319
144,2,2.3663137380626056,2.5994703472672045,2.8828928638496016,2.3523562901192916,2.672027043804298,3.0138629444910126
168,2,2.1638725817992235,2.352649623328794,2.6113981126664942,2.157702575317025,2.384778533663356,2.660291827684095
3,5,25.62670013810809,27.901212878046188,30.006218686105647,24.21788160001033,26.837901439827625,29.54619473204557
6,5,18.45502533374947,20.39506743965909,22.17437063993402,17.30877601196431,18.905409539382028,20.201476856634358
9,5,15.279082430459614,16.63505275024554,18.118796949234117,13.807336380820516,14.980840148671522,16.180433823370553
12,5,13.030728821549875,14.403045252169363,15.75736549528418,11.713333419845732,12.822668124744048,13.954091762853224
18,5,10.55619770398125,11.867125652766635,13.300720314175468,9.209414703372099,10.144877174274912,11.22182604267205
24,5,9.12399842212401,10.357864539346721,11.72926142187022,7.929160597537198,8.869891048037529,9.917483650532322
48,5,5.7894747527765595,6.616541786118203,7.514271909411173,5.584551264590532,6.327719171712333,7.181007838577262
72,5,4.525490580759129,5.075801521728527,5.669157695798354,4.770543322625856,5.341899486285108,5.976211566346369
96,5,3.8388554202838536,4.267047067121259,4.761604571429961,3.785692952548641,4.259394800572903,4.71066478548051
120,5,3.4370761002754464,3.7911210823510224,4.167997738322806,3.3430804071175584,3.7577593563655682,4.180100312218097
144,5,3.0141306812263027,3.367253749261888,3.7660531157302044,3.273555654406721,3.7557219741969377,4.229876135163641
168,5,2.7386112291596287,3.0683516618067004,3.4471987325848885,2.9090080714674027,3.29773580656942,3.723636610240065
3,10,28.387994163914144,30.976692040108553,33.709667321716374,27.322375687076203,30.959953297512502,34.28598558445405
6,10,20.42104845700363,22.75195389171612,24.974915849957526,19.095683129493736,20.87467269754706,22.399824665536045
9,10,16.83607088222692,18.672779299519743,20.684386047086083,15.014698437276213,16.534448671637293,17.836160502616217
12,10,14.441948588277683,16.380536481532296,18.243225749790493,12.992243856075035,14.372772277820978,15.772236806040159
18,10,11.82035602229054,13.843133051021143,15.83687548925197,10.367987986515729,11.660728949950828,13.130644928543742
24,10,10.543881393245353,12.254852044037545,14.303469446226895,9.001480807099115,10.362828391800818,11.851243847028158
48,10,6.598484273323381,7.844662350264892,9.280986511517172,6.47234688476569,7.725609283051442,9.098003842747856
72,10,5.099838839119744,5.893757212557389,6.748255320681965,5.534464119291391,6.433352463583809,7.2771964363572685
