Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,13.676550797849089,15.104704541413128,16.701753796653147,12.835743487781134,14.060041223131005,15.730306683530667
6,2,10.550756355531064,11.522348067588167,12.843953752834748,9.94058144826429,10.841300263902852,11.81112784473925
9,2,8.627794241558389,9.352975323948797,10.288036534400076,7.839206890900217,8.506452929947327,9.252373883346472
12,2,7.321725144629115,7.956762469440701,8.691125486521887,6.764725721945618,7.32045866076546,7.949232124026231
18,2,5.651392712447225,6.20767533843512,6.79298430520668,5.485930579675402,5.924704959748984,6.396391024252134
24,2,4.694494531284838,5.176338017859529,5.704488784342238,4.591681446098338,4.9595082258662435,5.3675332767901365
48,2,3.0344804936078136,3.3030986355384577,3.5582130896840987,3.291094311757088,3.528487245061531,3.7992140535825683
72,2,2.2715468419893856,2.479742164843665,2.692595903149112,2.517633187855008,2.7335479274711973,2.947887548719973
96,2,1.849465631699886,2.0054707857035683,2.1935774637563306,2.044655109069171,2.228751850878939,2.407348189953696
120,2,1.6226541344500447,1.7524738743919346,1.91591276015364,1.6437667429748157,1.7833493500106612,1.9533125328129337
144,2,1.4642017178615228,1.5866168704988743,1.7223614629753663,1.457594425232993,1.5789972664512075,1.7130716732490279
168,2,1.3524337824662562,1.4537114691740047,1.568256929071413,1.378128052570209,1.4701734523011156,1.5671867146503557
3,5,17.545542490917953,19.75444889980467,22.108400885748335,16.612672140129337,18.731751041003488,21.22574937809052
6,5,13.352870605751818,14.86327412712982,16.723223759641932,12.73547501723267,14.17201050093675,15.681633612163054
9,5,10.79974133749335,12.135770368577994,13.640995335050249,9.940960103563297,11.111140363813234,12.36231085946471
12,5,9.11787461611081,10.274779777478862,11.552682923355624,8.690199000502197,9.476174863766035,10.507456081491615
18,5,7.179665729776152,7.982207545544627,8.837995760215517,6.798669403510956,7.493898058059506,8.24190807661732
24,5,5.9820146925735544,6.635548851902307,7.438717281758983,5.659632680177233,6.279522092770118,6.962198336484734
48,5,3.731492745939816,4.09120422450865,4.459823752966901,4.063359262529507,4.330478443455178,4.6253819282921285
72,5,2.832776204048192,3.116563751350985,3.4226156871482805,3.1460672850371827,3.4126928380797223,3.6531236992457288
96,5,2.2850283815674963,2.531736383682196,2.802415220841993,2.584630386119528,2.8249599083642036,3.0619536718487748
120,5,1.9929035133714246,2.1943040236771694,2.4350977723977794,2.055580315565881,2.286336921709088,2.5371016068460337
144,5,1.78823884395098,1.9764117347989894,2.161151278783385,1.8275477322055358,2.016200467131148,2.2337521198355264
168,5,1.6348257361080958,1.7938848594941692,1.9582455530351006,1.6800396933953834,1.8142742897573292,1.9609224147950197
3,10,19.838917646910687,23.07201296220925,26.785081914253716,19.09205729871159,22.606681490343064,26.409074121461202
6,10,14.945701296296068,17.18822619493269,19.560808976890556,14.454960886782983,16.63591666391563,19.084091648069244
9,10,12.135228246128014,14.17885885800553,16.395807330897313,11.415239301686833,13.142214852967268,15.271015808798964
12,10,10.296835147510208,11.96277842809226,13.927216490371032,9.839049028084005,11.086295232778285,12.665304274677638
18,10,8.085341442742779,9.204132571757453,10.47829204089875,7.579439275207319,8.639912600255743,9.822350299473898
24,10,6.695563369485125,7.6417436821935105,8.794241456660476,6.301809621245333,7.222908986335044,8.232865149971268
48,10,4.149084273903996,4.602175463772772,5.076006207205975,4.514014069103975,4.809038675522019,5.1265357100881825
72,10,3.1324941483410065,3.5226426707291405,3.929654982475081,3.543190215180652,3.832843281829398,4.079934125507398
96,10,2.5466779266412347,2.8835461799402706,3.21984537057583,2.929959822082891,3.213428846805992,3.508515306362863
120,10,2.200814703492242,2.4976540482636493,2.791291147335984,2.3299770139156255,2.665649965244638,3.007368275340059
144,10,1.992247528455551,2.238039399619673,2.5162758625250436,2.051235701050898,2.3156579561655897,2.6174497902822194
168,10,1.7831069604687548,2.0241163132682454,2.2617943533525473,1.8467193060948834,2.0392973144608577,2.2588067888795926
