Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,30.468241922890442,33.398898716022046,36.04246548604041,24.179519419681085,25.559038328714806,27.17025141055735
6,2,24.10188279717518,25.950362722151745,28.090187344443997,20.72774672135952,22.480111886249162,24.50096578425974
9,2,19.54873766017053,21.39872769154146,23.47984227162495,17.104367101679404,18.545054429058382,19.918473957867675
12,2,16.868195187997458,18.468166871914498,20.064908548879117,15.159773106395246,16.42380010418124,17.873637825646668
18,2,13.642173185662084,15.064442236177147,16.52455877474291,11.811186896491781,12.98537800117511,14.17806118893851
24,2,11.790649721678127,13.060026302259761,14.27050386816778,8.84174289424313,9.524542758272581,10.382167208811426
48,2,8.07065325128293,8.975673104133111,9.904486811368038,6.053577580175467,6.843175937495846,7.732267692077752
72,2,6.177843832606632,6.913562392445209,7.607498569492293,6.802497284008204,7.8137830201002165,8.846408755559299
96,2,5.289101256270889,5.824859600440052,6.366501032170085,5.0594623433699475,5.602860890851117,6.182015028934305
120,2,4.643662141975763,5.091810905279111,5.573355285387187,4.300253221552776,4.796663601226638,5.315211911919603
144,2,4.118025389010267,4.493476549776182,4.875699260367047,3.6668959141294835,4.025130380942373,4.451343476650525
168,2,3.7281956783590666,4.105340481424157,4.508697857112616,3.174441487845554,3.4866051502745643,3.8270330182630645
3,5,37.62719708090135,41.27885402428939,44.890131250000984,32.25822253810613,34.0599356153061,36.03159395676869
6,5,29.373533894922403,31.669661584006143,34.15804876080652,25.90084797846171,28.016330436022407,30.119003885232807
9,5,24.706675911868743,26.936598080600383,29.626057767649762,21.83521468514657,23.661388979668303,25.565007099775322
12,5,21.17354263700683,23.482520460112667,25.720983037982705,19.618532788865792,21.64544665407786,23.616548556867308
18,5,17.354954749060322,19.2128441044517,21.027833540167453,15.517545781112068,17.68850269538521,19.728150965123938
24,5,14.937071377691971,16.828909415540124,18.462445104734382,11.452446990242578,12.632242062941557,13.954593109413175
48,5,10.421514332049563,11.671703482121634,12.822733662941832,8.32684549830357,9.614790107334148,11.040697572927737
72,5,7.980047807156088,8.974533305176845,9.87968278144146,9.765656903350186,11.287337700451866,12.745200106630902
96,5,6.755449044803781,7.45874168151702,8.098626257970498,6.734970691826909,7.552715189570202,8.424969967898532
120,5,5.80285969115037,6.422934274672452,6.948491472742987,5.742159396176573,6.36894523668682,7.014662864789719
144,5,5.164220693109632,5.647531122406587,6.15481663614573,4.721660661948265,5.245699292472489,5.809325817665793
168,5,4.64946331100696,5.108249595183304,5.596732320346101,4.282545392657433,4.766748511900837,5.25872831286567
3,10,41.43792604599319,46.07099587177214,50.85974443710653,36.738365465718616,39.15266394361189,41.47771500167445
6,10,32.017577663918324,34.87072361469844,37.99167056826472,28.419375466866995,30.691195231104444,32.98754361533442
9,10,27.296892529067527,30.30901640821061,33.63297719966822,24.48612139564589,26.732092642614564,28.890203165642173
12,10,23.72689839344637,26.690906649918738,29.551396216649337,22.660775829793955,25.200486048924603,27.59422092342146
18,10,19.410649046874116,21.79615137148274,24.281433050359755,18.26228291171222,21.501673999195745,24.5640793227983
