Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,18.74468167957965,21.102995437649227,24.48788146582485,18.50228350321229,20.780307784309265,23.368431162015327
6,2,14.027199991985523,16.049572315792293,18.41781602024487,14.922026961230458,17.08084848338239,19.285085266921456
9,2,11.393680220322135,13.105497559226931,14.889104916390966,12.296725060403645,13.690571371810668,15.310824074596104
12,2,9.623240781680384,11.090552471130719,12.624173951964789,10.317409886279725,11.701369793809924,12.98565529769935
18,2,7.597401533866131,8.486243696960647,9.616281078969338,7.218771538265619,8.476445901865477,9.758961744875496
24,2,6.124518193071791,6.872771489153632,7.655469469715439,6.072990983344662,6.832619631395914,7.618570869400754
48,2,3.6240198240419517,4.122769032606198,4.611966535918249,3.572413386806333,4.464512789313367,5.589764983306459
72,2,2.700869610973955,3.047046376425614,3.4559998383793635,2.680849946251808,3.0429775263415175,3.446796388411938
96,2,2.192356628457603,2.466471187247823,2.7873246396542575,1.957953492379285,2.1796155602416465,2.4041435817380306
120,2,1.865649263726997,2.1157841825000303,2.3625353133763585,1.8116658783951407,2.052926236274597,2.3332053907846912
144,2,1.665040912902684,1.8696363988921103,2.1016959986461816,1.7225913907990567,1.9873884325747482,2.292234825400052
168,2,1.4974087842509165,1.6765649165205716,1.879397037025793,1.3990164606738866,1.5663240901219382,1.7590607915456375
3,5,25.796424637436388,30.108497024018632,35.40278858210985,24.669416512613168,27.884034466406888,31.325717963223298
6,5,19.736095885001355,22.69063158185603,26.477821161871802,20.359950849685568,23.313331392402585,26.06866688297452
9,5,15.509295196740808,18.09232709383751,20.66189210430214,16.225645515441986,17.84544964457943,19.78444233993443
12,5,13.048909717637184,15.04207272641494,17.014154460944305,14.070149379174406,15.503784250282756,16.875733933442746
18,5,10.24700372278845,11.330588063519368,12.639735254452003,10.427160007229656,11.971879584019586,13.353060238483696
24,5,8.150270883500669,9.167906211930124,10.2948133394645,8.232958768967283,9.228273033922335,10.23030493746507
48,5,4.877285211978407,5.591726705522846,6.275400903654161,6.040188271218975,7.6644117095842645,9.429611230439711
72,5,3.603356931353562,4.136957135555442,4.68845042999674,3.674876713909801,4.34042535883075,5.056582235448664
96,5,2.905216571868462,3.370418794212435,3.9200163087816726,2.6764722353364605,3.0492711644581325,3.472424131223324
120,5,2.4812254090559054,2.903588697277037,3.311899349305018,2.6867581188270417,3.173313539429435,3.7024059690478177
144,5,2.20607902590681,2.553521063594909,2.9217991695857943,2.9785999018998144,3.555865485338966,4.2837937770321135
168,5,1.9816429473123414,2.2951932652160187,2.621355438044029,2.0550904469710067,2.3860287837516454,2.742389392230787
3,10,30.337026988334586,37.02978829648241,45.56368759427437,28.11818688261973,32.6830673695446,37.45187075402173
6,10,23.05578284904638,27.49881300737202,33.620199506985955,24.044714993401946,27.20043738440527,30.704421627292547
9,10,17.96798006445811,21.420353569281723,24.812834624531597,18.15955199525614,20.151588814502,22.168294193221076
12,10,14.829399772864699,17.50822106600921,19.979269591120826,15.869355534663303,17.479501744474053,18.956425559833036
18,10,11.645385723954918,13.021494569871322,14.767127811821865,12.20648395245529,13.955849225372813,15.612719743639639
24,10,9.18348714112699,10.594745062570333,12.169023391216363,9.448706101438027,10.732604834491077,12.063645443927037
48,10,5.667089043355915,6.57239467482748,7.586376957043032,7.966431229780735,10.180441384829505,12.316799164299471
72,10,4.16636076226417,4.891706313852364,5.680032143245664,4.255637865452668,5.307409256083808,6.434050239851884
96,10,3.378070048398162,4.033424729271953,4.86012628461152,3.202294046337582,3.746432957289244,4.453841372326638
120,10,2.9102163429610073,3.469871002522863,4.090899707881883,3.342585587719265,4.224452649107253,5.198794513892358
144,10,2.5557848959543517,3.051242840799248,3.646085828283483,4.058535456571524,5.055698716834138,6.246380048216913
168,10,2.2923002040021934,2.7531343409230473,3.2394079172190358,2.5609698804725918,3.076549257952644,3.6969686945055216
3,25,35.912677275769205,47.04385064179025,63.395699673782985,32.04808910093359,38.92304170292825,46.96130739700619
6,25,27.015204094495402,34.0864366572125,44.82054683211479,27.158599710478356,31.8990434583922,36.77627928601398
9,25,20.083447049729575,25.65553850913446,31.107889175568225,19.746405086911842,22.66628166456517,25.415978032318815
12,25,16.58443837375719,20.463024929791132,24.296483707119638,17.236025858896156,19.509778152263696,21.53138857035557
18,25,12.901982374523318,14.9612632468616,17.55413615797318,13.871640230177732,16.158633219559434,18.4754337789768
24,25,10.336394972123827,12.298360852309674,14.719479853235278,10.688162241764708,12.560502337252412,14.691433920512825
48,25,6.332459058407158,7.820764818279715,9.631229614069614,10.1965108799597,13.914907137883006,16.765150188191786
72,25,4.725758951523059,5.88481961096696,7.221820940064488,4.912086552905413,6.6880063565488435,8.813380023324006
96,25,3.9159174564767723,4.95258827828378,6.479705682100329,3.815826923295856,4.808308870463696,6.233445688195182
120,25,3.3383279338360197,4.240658351721502,5.371173958033477,4.186836160007863,6.072447901431897,7.997985345559629
144,25,2.93743114077283,3.7364028877126083,4.802096925080611,5.764286643165518,7.7224499573355745,9.72322432224077
