Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,22.627793911735132,25.099536428741978,27.570385191989104,22.836155046800194,25.739768707782414,28.970601657765485
6,2,16.788833567346074,18.38224323580124,20.11038913209144,16.54857825995677,18.28206343132714,20.103097834355488
9,2,13.774694354596997,15.158574427325584,16.52117479674915,14.204919141309787,15.93774127273527,17.588264869894207
12,2,11.95438458027391,12.990340089764981,14.213495080179555,12.093362386844742,13.299248603207527,14.472771069721798
18,2,9.67522434091585,10.502717447663386,11.417751575630154,9.674957463898643,10.523027629120492,11.342778781515062
24,2,8.344255215884429,9.102898670777087,9.869791483364214,8.276600073915603,9.096234459596339,9.874477079249095
48,2,5.217044610128001,5.739770960123206,6.259387732334156,5.018565504095317,5.538078570241891,6.121709256298839
72,2,3.8980352312254363,4.283735794422706,4.6679741480680805,3.9848685418030456,4.350114414510766,4.798611241367417
96,2,3.2495411511688665,3.5630512468901254,3.899051029077519,3.1739588499506275,3.527660768526723,3.9324728702901144
120,2,2.7754763187525993,3.0400444753511695,3.357679713214346,2.6384276161640163,3.005670439014265,3.3985509673620795
144,2,2.427647741417182,2.6789608952337183,2.932060328793585,2.4163286496587744,2.742727823274497,3.122015905292714
168,2,2.2097862226429497,2.4194728554470473,2.6399890636455154,2.2268818019990295,2.5265019778620568,2.839589382649181
3,5,28.88549189565142,31.86281533456407,34.90339709800884,31.416622619949933,35.567377471139885,40.38704673740625
6,5,20.922730952470634,22.974184820891224,25.205473540717577,21.701952100044764,24.049528264640223,26.65283393367489
9,5,17.039577170020756,18.882354852995324,20.358827831590684,18.518394609627066,20.370849094409444,21.87062513180312
12,5,14.767270576541328,16.18374982782408,17.750765204611206,15.308878219632225,16.610133510723706,17.796939539298226
18,5,11.95010546272072,13.010971177737094,14.181276520488918,11.674880303295446,12.4505174804788,13.144030328485972
24,5,10.427233262877056,11.292525121571737,12.194411975990107,10.303449866818523,10.995401650259687,11.581912391288725
48,5,6.537473128449543,7.214785600927586,7.806344035281601,6.467542553872928,7.087012533494221,7.744417538211943
72,5,4.910208536267042,5.374336637637974,5.881213735661085,5.132792153217548,5.610565267358255,6.091627509000318
96,5,4.0171325382342715,4.4290206102075445,4.817724050603021,4.219120857868736,4.715259376296976,5.187502806942504
120,5,3.5275668226997032,3.8944970898854185,4.319514928393305,3.8017493951056256,4.31620288220158,4.920941690424637
144,5,3.066245244726524,3.4393976580627665,3.8297332613004285,3.337774382854145,3.8424927854038713,4.368780786345733
168,5,2.784418750548449,3.1067893766271,3.454331764208044,3.1920343065337997,3.6876964357327644,4.237426552249338
3,10,32.35141183490715,35.92648839879391,40.062784909474544,36.64567579707837,42.446066748754795,48.703614229661795
6,10,23.196433249052337,25.644237521218578,28.333078899279016,24.700294756294618,27.606953891626965,30.96260768149773
9,10,18.930046543071246,21.01901086862152,22.865955160698345,20.92725617477338,22.7121399332994,24.131602065000067
12,10,16.338045479164236,18.05715820036781,19.772760816399504,16.94760280068585,18.267471280011353,19.45212593326897
18,10,13.211087114536536,14.447086657364462,15.763512644374519,12.530474794120245,13.300528668781777,13.94001536701461
24,10,11.37562040975741,12.460226147561578,13.455802790832355,11.046709680305211,11.79769142836236,12.34669689972132
48,10,7.2806496530184095,8.074157265596776,8.792579514029754,7.222335818496397,7.975299914076574,8.664443712731607
72,10,5.463984549852402,5.999069938711692,6.570673505970326,5.777604396608171,6.354211159876705,6.9446660201940515
96,10,4.439196021146964,4.908847430817811,5.348875381387771,4.845320346678456,5.46320607514671,6.036853476437377
120,10,3.945410793084169,4.427622496434701,4.944020057935539,4.47291576647643,5.252555296713618,6.051726478725065
144,10,3.4424968668433618,3.9420529528168156,4.470563535729412,4.013688103731252,4.67215922507414,5.3397018286740545
168,10,3.120005507623718,3.574200478003973,4.0838000700494685,3.8636858247211814,4.653151711611004,5.550556144178428
3,25,35.785510768945386,40.632738671155956,46.771831718089786,42.34332952408273,51.66500329583615,61.22605321306068
6,25,25.095077999527675,28.647450791675958,32.226201180550085,27.30903172196031,31.861784977557214,36.4486310101335
9,25,20.6705498811615,23.394033208878565,26.043751051937583,22.84884589861636,25.153255768831656,27.0740001552291
12,25,17.58841675196291,20.181037792194694,22.98582571972194,18.260815196760532,19.91525837417515,21.215855154131233
18,25,14.32551951521043,16.040372860940494,18.095144560822142,13.183501983581685,14.05968360434058,14.84089674209917
24,25,12.267369880901423,13.676751657026045,15.120955924015355,11.627409438190433,12.487787097311854,13.135977888546272
48,25,7.958320050294473,9.042465787705389,10.142103874790962,7.899920598115361,8.971394982283883,9.935502757726548
72,25,5.972171366346423,6.692474165084304,7.523134943092272,6.376431975259679,7.209558088317715,8.057493976824707
96,25,4.822506612198519,5.425933267277006,6.053782171458838,5.578506730611246,6.374546522577186,7.222869080021324
120,25,4.374430098146663,5.066234451910092,5.853480393663323,5.11988861736603,6.535532007274703,7.825698350079996
144,25,3.8160323072346705,4.576226579871195,5.456501812903433,4.7501891027621745,5.8638665319985295,6.95527875214057
168,25,3.4929187730784257,4.179225547645655,5.064709875333586,4.676723208873032,6.170760872420075,7.842902270193649
3,50,37.672316936156435,43.83961995823661,52.36211247737009,45.740187283916185,58.95607220000336,73.1234669666153
6,50,26.2867930234248,30.636043523936095,35.281027471447445,29.25241708403494,34.87533695449366,40.98380923225943
9,50,21.594611581249477,24.948505211371774,28.82870455552017,23.804755196087687,26.664944006942275,29.2083076482346
12,50,18.366399575518685,21.598326816978947,25.411759441411327,19.02944849880631,20.88840192995815,22.695340846487326
18,50,14.892238790883823,17.081237343849747,19.680537170259726,13.432505474317967,14.463515187543846,15.415194021627064
24,50,12.729349738364732,14.423694298334496,16.290495941304464,11.844949397517787,12.841312556262192,13.810081292530448
48,50,8.318151075209595,9.684748319420418,11.281094483312456,8.295630191553562,9.633857728596217,10.826571090879883
72,50,6.209481888916245,7.145654603168159,8.247540650006572,6.703893905594083,7.7929378130195435,8.939680755007421
96,50,4.993493400352856,5.7542030756163705,6.665693169954325,5.897928214843881,7.031666541780435,8.259259736503873
120,50,4.615558719774269,5.5159914442745865,6.696202418591489,5.579002197068368,7.574775783713405,9.523691050197513
144,50,4.060655184231347,5.046020981759566,6.366834407033379,5.272381820113059,6.872265415813974,8.452629777565091
168,50,3.7430925774599815,4.6387308248653385,5.907452707401604,5.259232092984457,7.571359381384413,10.210687673983246
3,100,39.08791121955804,46.80173826456446,58.167572585064505,48.671952849720185,66.63964882621758,86.34642576835762
6,100,26.948887881391684,32.42892460620051,38.59556833067759,30.492778769692713,37.768260085795525,45.891878133307316
9,100,22.31525295429223,26.336321644475582,31.810762915495644,24.473208082596106,27.961304678477845,31.648554382475666
12,100,19.067088316478916,22.88452536257871,27.871981758025804,19.38236706024748,21.690067514950712,24.035200996712224
18,100,15.325432374564649,18.00904081971396,21.535468919385607,13.58619946760707,14.768848843051954,15.97631666033583
24,100,13.070061907857035,15.05561657917124,17.491176745133025,11.991442233579729,13.100431224262728,14.271103204852015
48,100,8.600531847261024,10.264666951963697,12.403624965133698,8.61327410653006,10.2368540337264,11.841728495304102
72,100,6.426523357061444,7.549754181748343,9.007600351707845,6.9289305368161624,8.335579157255554,9.93867658616602
96,100,5.112433102684555,6.0398394742503925,7.211834157624354,6.164232615092255,7.671933128884369,9.405392066963245
120,100,4.830958032103949,5.943181527174286,7.615979264624352,5.9152897266832145,8.69467298125466,11.524618635095738
144,100,4.2459072107912,5.511781326314599,7.465035519426754,5.692146756305541,7.998678977307424,10.283021950759519
168,100,3.9943656443851148,5.104027963814032,6.859615585485972,5.793686402226822,9.25686702951741,13.145167638291758
